,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
22427,22428,A Comedy of Errors,132.0,,OCTAVIUS CAESAR,ACT I
22428,22429,A Comedy of Errors,132.0,,OCTAVIUS CAESAR,SCENE I. A hall in DUKE SOLINUS'S palace.
22429,22430,A Comedy of Errors,132.0,,OCTAVIUS CAESAR,"Enter DUKE SOLINUS, AEGEON, Gaoler, Officers, and other Attendants"
22430,22431,A Comedy of Errors,1.0,1.1.1,AEGEON,"Proceed, Solinus, to procure my fall"
22431,22432,A Comedy of Errors,1.0,1.1.2,AEGEON,And by the doom of death end woes and all.
22432,22433,A Comedy of Errors,2.0,1.1.3,DUKE SOLINUS,"Merchant of Syracuse, plead no more,"
22433,22434,A Comedy of Errors,2.0,1.1.4,DUKE SOLINUS,I am not partial to infringe our laws:
22434,22435,A Comedy of Errors,2.0,1.1.5,DUKE SOLINUS,The enmity and discord which of late
22435,22436,A Comedy of Errors,2.0,1.1.6,DUKE SOLINUS,Sprung from the rancorous outrage of your duke
22436,22437,A Comedy of Errors,2.0,1.1.7,DUKE SOLINUS,"To merchants, our well-dealing countrymen,"
22437,22438,A Comedy of Errors,2.0,1.1.8,DUKE SOLINUS,Who wanting guilders to redeem their lives
22438,22439,A Comedy of Errors,2.0,1.1.9,DUKE SOLINUS,"Have seal'd his rigorous statutes with their bloods,"
22439,22440,A Comedy of Errors,2.0,1.1.10,DUKE SOLINUS,Excludes all pity from our threatening looks.
22440,22441,A Comedy of Errors,2.0,1.1.11,DUKE SOLINUS,"For, since the mortal and intestine jars"
22441,22442,A Comedy of Errors,2.0,1.1.12,DUKE SOLINUS,"'Twixt thy seditious countrymen and us,"
22442,22443,A Comedy of Errors,2.0,1.1.13,DUKE SOLINUS,It hath in solemn synods been decreed
22443,22444,A Comedy of Errors,2.0,1.1.14,DUKE SOLINUS,"Both by the Syracusians and ourselves,"
22444,22445,A Comedy of Errors,2.0,1.1.15,DUKE SOLINUS,"To admit no traffic to our adverse towns Nay, more,"
22445,22446,A Comedy of Errors,2.0,1.1.16,DUKE SOLINUS,If any born at Ephesus be seen
22446,22447,A Comedy of Errors,2.0,1.1.17,DUKE SOLINUS,"At any Syracusian marts and fairs,"
22447,22448,A Comedy of Errors,2.0,1.1.18,DUKE SOLINUS,Again: if any Syracusian born
22448,22449,A Comedy of Errors,2.0,1.1.19,DUKE SOLINUS,"Come to the bay of Ephesus, he dies,"
22449,22450,A Comedy of Errors,2.0,1.1.20,DUKE SOLINUS,"His goods confiscate to the duke's dispose,"
22450,22451,A Comedy of Errors,2.0,1.1.21,DUKE SOLINUS,"Unless a thousand marks be levied,"
22451,22452,A Comedy of Errors,2.0,1.1.22,DUKE SOLINUS,To quit the penalty and to ransom him.
22452,22453,A Comedy of Errors,2.0,1.1.23,DUKE SOLINUS,"Thy substance, valued at the highest rate,"
22453,22454,A Comedy of Errors,2.0,1.1.24,DUKE SOLINUS,"Cannot amount unto a hundred marks,"
22454,22455,A Comedy of Errors,2.0,1.1.25,DUKE SOLINUS,Therefore by law thou art condemned to die.
22455,22456,A Comedy of Errors,3.0,1.1.26,AEGEON,"Yet this my comfort: when your words are done,"
22456,22457,A Comedy of Errors,3.0,1.1.27,AEGEON,My woes end likewise with the evening sun.
22457,22458,A Comedy of Errors,4.0,1.1.28,DUKE SOLINUS,"Well, Syracusian, say in brief the cause"
22458,22459,A Comedy of Errors,4.0,1.1.29,DUKE SOLINUS,Why thou departed'st from thy native home
22459,22460,A Comedy of Errors,4.0,1.1.30,DUKE SOLINUS,And for what cause thou camest to Ephesus.
22460,22461,A Comedy of Errors,5.0,1.1.31,AEGEON,A heavier task could not have been imposed
22461,22462,A Comedy of Errors,5.0,1.1.32,AEGEON,Than I to speak my griefs unspeakable:
22462,22463,A Comedy of Errors,5.0,1.1.33,AEGEON,"Yet, that the world may witness that my end"
22463,22464,A Comedy of Errors,5.0,1.1.34,AEGEON,"Was wrought by nature, not by vile offence,"
22464,22465,A Comedy of Errors,5.0,1.1.35,AEGEON,I'll utter what my sorrows give me leave.
22465,22466,A Comedy of Errors,5.0,1.1.36,AEGEON,"In Syracusa was I born, and wed"
22466,22467,A Comedy of Errors,5.0,1.1.37,AEGEON,"Unto a woman, happy but for me,"
22467,22468,A Comedy of Errors,5.0,1.1.38,AEGEON,"And by me, had not our hap been bad."
22468,22469,A Comedy of Errors,5.0,1.1.39,AEGEON,"With her I lived in joy, our wealth increased"
22469,22470,A Comedy of Errors,5.0,1.1.40,AEGEON,By prosperous voyages I often made
22470,22471,A Comedy of Errors,5.0,1.1.41,AEGEON,"To Epidamnum, till my factor's death"
22471,22472,A Comedy of Errors,5.0,1.1.42,AEGEON,And the great care of goods at random left
22472,22473,A Comedy of Errors,5.0,1.1.43,AEGEON,Drew me from kind embracements of my spouse:
22473,22474,A Comedy of Errors,5.0,1.1.44,AEGEON,From whom my absence was not six months old
22474,22475,A Comedy of Errors,5.0,1.1.45,AEGEON,"Before herself, almost at fainting under"
22475,22476,A Comedy of Errors,5.0,1.1.46,AEGEON,"The pleasing punishment that women bear,"
22476,22477,A Comedy of Errors,5.0,1.1.47,AEGEON,Had made provision for her following me
22477,22478,A Comedy of Errors,5.0,1.1.48,AEGEON,And soon and safe arrived where I was.
22478,22479,A Comedy of Errors,5.0,1.1.49,AEGEON,"There had she not been long, but she became"
22479,22480,A Comedy of Errors,5.0,1.1.50,AEGEON,"A joyful mother of two goodly sons,"
22480,22481,A Comedy of Errors,5.0,1.1.51,AEGEON,"And, which was strange, the one so like the other,"
22481,22482,A Comedy of Errors,5.0,1.1.52,AEGEON,As could not be distinguish'd but by names.
22482,22483,A Comedy of Errors,5.0,1.1.53,AEGEON,"That very hour, and in the self-same inn,"
22483,22484,A Comedy of Errors,5.0,1.1.54,AEGEON,A meaner woman was delivered
22484,22485,A Comedy of Errors,5.0,1.1.55,AEGEON,"Of such a burden, male twins, both alike:"
22485,22486,A Comedy of Errors,5.0,1.1.56,AEGEON,"Those,--for their parents were exceeding poor,--"
22486,22487,A Comedy of Errors,5.0,1.1.57,AEGEON,I bought and brought up to attend my sons.
22487,22488,A Comedy of Errors,5.0,1.1.58,AEGEON,"My wife, not meanly proud of two such boys,"
22488,22489,A Comedy of Errors,5.0,1.1.59,AEGEON,Made daily motions for our home return:
22489,22490,A Comedy of Errors,5.0,1.1.60,AEGEON,"Unwilling I agreed. Alas! too soon,"
22490,22491,A Comedy of Errors,5.0,1.1.61,AEGEON,We came aboard.
22491,22492,A Comedy of Errors,5.0,1.1.62,AEGEON,"A league from Epidamnum had we sail'd,"
22492,22493,A Comedy of Errors,5.0,1.1.63,AEGEON,Before the always wind-obeying deep
22493,22494,A Comedy of Errors,5.0,1.1.64,AEGEON,Gave any tragic instance of our harm:
22494,22495,A Comedy of Errors,5.0,1.1.65,AEGEON,"But longer did we not retain much hope,"
22495,22496,A Comedy of Errors,5.0,1.1.66,AEGEON,For what obscured light the heavens did grant
22496,22497,A Comedy of Errors,5.0,1.1.67,AEGEON,Did but convey unto our fearful minds
22497,22498,A Comedy of Errors,5.0,1.1.68,AEGEON,"A doubtful warrant of immediate death,"
22498,22499,A Comedy of Errors,5.0,1.1.69,AEGEON,"Which though myself would gladly have embraced,"
22499,22500,A Comedy of Errors,5.0,1.1.70,AEGEON,"Yet the incessant weepings of my wife,"
22500,22501,A Comedy of Errors,5.0,1.1.71,AEGEON,"Weeping before for what she saw must come,"
22501,22502,A Comedy of Errors,5.0,1.1.72,AEGEON,"And piteous plainings of the pretty babes,"
22502,22503,A Comedy of Errors,5.0,1.1.73,AEGEON,"That mourn'd for fashion, ignorant what to fear,"
22503,22504,A Comedy of Errors,5.0,1.1.74,AEGEON,Forced me to seek delays for them and me.
22504,22505,A Comedy of Errors,5.0,1.1.75,AEGEON,"And this it was, for other means was none:"
22505,22506,A Comedy of Errors,5.0,1.1.76,AEGEON,"The sailors sought for safety by our boat,"
22506,22507,A Comedy of Errors,5.0,1.1.77,AEGEON,"And left the ship, then sinking-ripe, to us:"
22507,22508,A Comedy of Errors,5.0,1.1.78,AEGEON,"My wife, more careful for the latter-born,"
22508,22509,A Comedy of Errors,5.0,1.1.79,AEGEON,"Had fasten'd him unto a small spare mast,"
22509,22510,A Comedy of Errors,5.0,1.1.80,AEGEON,"Such as seafaring men provide for storms,"
22510,22511,A Comedy of Errors,5.0,1.1.81,AEGEON,"To him one of the other twins was bound,"
22511,22512,A Comedy of Errors,5.0,1.1.82,AEGEON,Whilst I had been like heedful of the other:
22512,22513,A Comedy of Errors,5.0,1.1.83,AEGEON,"The children thus disposed, my wife and I,"
22513,22514,A Comedy of Errors,5.0,1.1.84,AEGEON,"Fixing our eyes on whom our care was fix'd,"
22514,22515,A Comedy of Errors,5.0,1.1.85,AEGEON,"Fasten'd ourselves at either end the mast,"
22515,22516,A Comedy of Errors,5.0,1.1.86,AEGEON,"And floating straight, obedient to the stream,"
22516,22517,A Comedy of Errors,5.0,1.1.87,AEGEON,"Was carried towards Corinth, as we thought."
22517,22518,A Comedy of Errors,5.0,1.1.88,AEGEON,"At length the sun, gazing upon the earth,"
22518,22519,A Comedy of Errors,5.0,1.1.89,AEGEON,"Dispersed those vapours that offended us,"
22519,22520,A Comedy of Errors,5.0,1.1.90,AEGEON,"And by the benefit of his wished light,"
22520,22521,A Comedy of Errors,5.0,1.1.91,AEGEON,"The seas wax'd calm, and we discovered"
22521,22522,A Comedy of Errors,5.0,1.1.92,AEGEON,"Two ships from far making amain to us,"
22522,22523,A Comedy of Errors,5.0,1.1.93,AEGEON,"Of Corinth that, of Epidaurus this:"
22523,22524,A Comedy of Errors,5.0,1.1.94,AEGEON,"But ere they came,--O, let me say no more!"
22524,22525,A Comedy of Errors,5.0,1.1.95,AEGEON,Gather the sequel by that went before.
22525,22526,A Comedy of Errors,6.0,1.1.96,DUKE SOLINUS,"Nay, forward, old man, do not break off so,"
22526,22527,A Comedy of Errors,6.0,1.1.97,DUKE SOLINUS,"For we may pity, though not pardon thee."
22527,22528,A Comedy of Errors,7.0,1.1.98,AEGEON,"O, had the gods done so, I had not now"
22528,22529,A Comedy of Errors,7.0,1.1.99,AEGEON,Worthily term'd them merciless to us!
22529,22530,A Comedy of Errors,7.0,1.1.100,AEGEON,"For, ere the ships could meet by twice five leagues,"
22530,22531,A Comedy of Errors,7.0,1.1.101,AEGEON,"We were encounterd by a mighty rock,"
22531,22532,A Comedy of Errors,7.0,1.1.102,AEGEON,"Which being violently borne upon,"
22532,22533,A Comedy of Errors,7.0,1.1.103,AEGEON,"Our helpful ship was splitted in the midst,"
22533,22534,A Comedy of Errors,7.0,1.1.104,AEGEON,"So that, in this unjust divorce of us,"
22534,22535,A Comedy of Errors,7.0,1.1.105,AEGEON,Fortune had left to both of us alike
22535,22536,A Comedy of Errors,7.0,1.1.106,AEGEON,"What to delight in, what to sorrow for."
22536,22537,A Comedy of Errors,7.0,1.1.107,AEGEON,"Her part, poor soul! seeming as burdened"
22537,22538,A Comedy of Errors,7.0,1.1.108,AEGEON,"With lesser weight but not with lesser woe,"
22538,22539,A Comedy of Errors,7.0,1.1.109,AEGEON,"Was carried with more speed before the wind,"
22539,22540,A Comedy of Errors,7.0,1.1.110,AEGEON,And in our sight they three were taken up
22540,22541,A Comedy of Errors,7.0,1.1.111,AEGEON,"By fishermen of Corinth, as we thought."
22541,22542,A Comedy of Errors,7.0,1.1.112,AEGEON,"At length, another ship had seized on us,"
22542,22543,A Comedy of Errors,7.0,1.1.113,AEGEON,"And, knowing whom it was their hap to save,"
22543,22544,A Comedy of Errors,7.0,1.1.114,AEGEON,"Gave healthful welcome to their shipwreck'd guests,"
22544,22545,A Comedy of Errors,7.0,1.1.115,AEGEON,"And would have reft the fishers of their prey,"
22545,22546,A Comedy of Errors,7.0,1.1.116,AEGEON,"Had not their bark been very slow of sail,"
22546,22547,A Comedy of Errors,7.0,1.1.117,AEGEON,And therefore homeward did they bend their course.
22547,22548,A Comedy of Errors,7.0,1.1.118,AEGEON,"Thus have you heard me sever'd from my bliss,"
22548,22549,A Comedy of Errors,7.0,1.1.119,AEGEON,"That by misfortunes was my life prolong'd,"
22549,22550,A Comedy of Errors,7.0,1.1.120,AEGEON,To tell sad stories of my own mishaps.
22550,22551,A Comedy of Errors,8.0,1.1.121,DUKE SOLINUS,"And for the sake of them thou sorrowest for,"
22551,22552,A Comedy of Errors,8.0,1.1.122,DUKE SOLINUS,Do me the favour to dilate at full
22552,22553,A Comedy of Errors,8.0,1.1.123,DUKE SOLINUS,What hath befall'n of them and thee till now.
22553,22554,A Comedy of Errors,9.0,1.1.124,AEGEON,"My youngest boy, and yet my eldest care,"
22554,22555,A Comedy of Errors,9.0,1.1.125,AEGEON,At eighteen years became inquisitive
22555,22556,A Comedy of Errors,9.0,1.1.126,AEGEON,After his brother: and importuned me
22556,22557,A Comedy of Errors,9.0,1.1.127,AEGEON,"That his attendant--so his case was like,"
22557,22558,A Comedy of Errors,9.0,1.1.128,AEGEON,"Reft of his brother, but retain'd his name--"
22558,22559,A Comedy of Errors,9.0,1.1.129,AEGEON,Might bear him company in the quest of him:
22559,22560,A Comedy of Errors,9.0,1.1.130,AEGEON,"Whom whilst I labour'd of a love to see,"
22560,22561,A Comedy of Errors,9.0,1.1.131,AEGEON,I hazarded the loss of whom I loved.
22561,22562,A Comedy of Errors,9.0,1.1.132,AEGEON,"Five summers have I spent in furthest Greece,"
22562,22563,A Comedy of Errors,9.0,1.1.133,AEGEON,"Roaming clean through the bounds of Asia,"
22563,22564,A Comedy of Errors,9.0,1.1.134,AEGEON,"And, coasting homeward, came to Ephesus,"
22564,22565,A Comedy of Errors,9.0,1.1.135,AEGEON,"Hopeless to find, yet loath to leave unsought"
22565,22566,A Comedy of Errors,9.0,1.1.136,AEGEON,Or that or any place that harbours men.
22566,22567,A Comedy of Errors,9.0,1.1.137,AEGEON,"But here must end the story of my life,"
22567,22568,A Comedy of Errors,9.0,1.1.138,AEGEON,"And happy were I in my timely death,"
22568,22569,A Comedy of Errors,9.0,1.1.139,AEGEON,Could all my travels warrant me they live.
