,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
107907,107908,A Winters Tale,52.0,,VALENTINE,ACT I
107908,107909,A Winters Tale,52.0,,VALENTINE,SCENE I. Antechamber in LEONTES' palace.
107909,107910,A Winters Tale,52.0,,VALENTINE,Enter CAMILLO and ARCHIDAMUS
107910,107911,A Winters Tale,1.0,1.1.1,ARCHIDAMUS,"If you shall chance, Camillo, to visit Bohemia, on"
107911,107912,A Winters Tale,1.0,1.1.2,ARCHIDAMUS,the like occasion whereon my services are now on
107912,107913,A Winters Tale,1.0,1.1.3,ARCHIDAMUS,"foot, you shall see, as I have said, great"
107913,107914,A Winters Tale,1.0,1.1.4,ARCHIDAMUS,difference betwixt our Bohemia and your Sicilia.
107914,107915,A Winters Tale,2.0,1.1.5,CAMILLO,"I think, this coming summer, the King of Sicilia"
107915,107916,A Winters Tale,2.0,1.1.6,CAMILLO,means to pay Bohemia the visitation which he justly owes him.
107916,107917,A Winters Tale,3.0,1.1.7,ARCHIDAMUS,Wherein our entertainment shall shame us we will be
107917,107918,A Winters Tale,3.0,1.1.8,ARCHIDAMUS,"justified in our loves, for indeed--"
107918,107919,A Winters Tale,4.0,1.1.9,CAMILLO,"Beseech you,--"
107919,107920,A Winters Tale,5.0,1.1.10,ARCHIDAMUS,"Verily, I speak it in the freedom of my knowledge:"
107920,107921,A Winters Tale,5.0,1.1.11,ARCHIDAMUS,we cannot with such magnificence--in so rare--I know
107921,107922,A Winters Tale,5.0,1.1.12,ARCHIDAMUS,"not what to say. We will give you sleepy drinks,"
107922,107923,A Winters Tale,5.0,1.1.13,ARCHIDAMUS,"that your senses, unintelligent of our insufficience,"
107923,107924,A Winters Tale,5.0,1.1.14,ARCHIDAMUS,"may, though they cannot praise us, as little accuse"
107924,107925,A Winters Tale,5.0,1.1.15,ARCHIDAMUS,us.
107925,107926,A Winters Tale,6.0,1.1.16,CAMILLO,You pay a great deal too dear for what's given freely.
107926,107927,A Winters Tale,7.0,1.1.17,ARCHIDAMUS,"Believe me, I speak as my understanding instructs me"
107927,107928,A Winters Tale,7.0,1.1.18,ARCHIDAMUS,and as mine honesty puts it to utterance.
107928,107929,A Winters Tale,8.0,1.1.19,CAMILLO,Sicilia cannot show himself over-kind to Bohemia.
107929,107930,A Winters Tale,8.0,1.1.20,CAMILLO,"They were trained together in their childhoods, and"
107930,107931,A Winters Tale,8.0,1.1.21,CAMILLO,"there rooted betwixt them then such an affection,"
