,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
12660,12661,Alls well that ends well,9.0,,KING EDWARD IV,ACT I
12661,12662,Alls well that ends well,9.0,,KING EDWARD IV,SCENE I. Rousillon. The COUNT's palace.
12662,12663,Alls well that ends well,9.0,,KING EDWARD IV,"Enter BERTRAM, the COUNTESS of Rousillon, HELENA, and LAFEU, all in black"
12663,12664,Alls well that ends well,1.0,1.1.1,COUNTESS,"In delivering my son from me, I bury a second husband."
12664,12665,Alls well that ends well,2.0,1.1.2,BERTRAM,"And I in going, madam, weep o'er my father's death"
12665,12666,Alls well that ends well,2.0,1.1.3,BERTRAM,"anew: but I must attend his majesty's command, to"
12666,12667,Alls well that ends well,2.0,1.1.4,BERTRAM,"whom I am now in ward, evermore in subjection."
12667,12668,Alls well that ends well,3.0,1.1.5,LAFEU,"You shall find of the king a husband, madam, you,"
12668,12669,Alls well that ends well,3.0,1.1.6,LAFEU,"sir, a father: he that so generally is at all times"
12669,12670,Alls well that ends well,3.0,1.1.7,LAFEU,"good must of necessity hold his virtue to you, whose"
12670,12671,Alls well that ends well,3.0,1.1.8,LAFEU,worthiness would stir it up where it wanted rather
12671,12672,Alls well that ends well,3.0,1.1.9,LAFEU,than lack it where there is such abundance.
12672,12673,Alls well that ends well,4.0,1.1.10,COUNTESS,What hope is there of his majesty's amendment?
12673,12674,Alls well that ends well,5.0,1.1.11,LAFEU,"He hath abandoned his physicians, madam, under whose"
12674,12675,Alls well that ends well,5.0,1.1.12,LAFEU,"practises he hath persecuted time with hope, and"
12675,12676,Alls well that ends well,5.0,1.1.13,LAFEU,finds no other advantage in the process but only the
12676,12677,Alls well that ends well,5.0,1.1.14,LAFEU,losing of hope by time.
12677,12678,Alls well that ends well,6.0,1.1.15,COUNTESS,"This young gentlewoman had a father,--O, that"
12678,12679,Alls well that ends well,6.0,1.1.16,COUNTESS,'had'! how sad a passage 'tis!--whose skill was
12679,12680,Alls well that ends well,6.0,1.1.17,COUNTESS,"almost as great as his honesty, had it stretched so"
12680,12681,Alls well that ends well,6.0,1.1.18,COUNTESS,"far, would have made nature immortal, and death"
12681,12682,Alls well that ends well,6.0,1.1.19,COUNTESS,"should have play for lack of work. Would, for the"
12682,12683,Alls well that ends well,6.0,1.1.20,COUNTESS,"king's sake, he were living! I think it would be"
