,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
18565,18566,Antony and Cleopatra,52.0,,ROSALIND,ACT I
18566,18567,Antony and Cleopatra,52.0,,ROSALIND,SCENE I. Alexandria. A room in CLEOPATRA's palace.
18567,18568,Antony and Cleopatra,52.0,,ROSALIND,Enter DEMETRIUS and PHILO
18568,18569,Antony and Cleopatra,1.0,1.1.1,PHILO,"Nay, but this dotage of our general's"
18569,18570,Antony and Cleopatra,1.0,1.1.2,PHILO,"O'erflows the measure: those his goodly eyes,"
18570,18571,Antony and Cleopatra,1.0,1.1.3,PHILO,That o'er the files and musters of the war
18571,18572,Antony and Cleopatra,1.0,1.1.4,PHILO,"Have glow'd like plated Mars, now bend, now turn,"
18572,18573,Antony and Cleopatra,1.0,1.1.5,PHILO,The office and devotion of their view
18573,18574,Antony and Cleopatra,1.0,1.1.6,PHILO,"Upon a tawny front: his captain's heart,"
18574,18575,Antony and Cleopatra,1.0,1.1.7,PHILO,Which in the scuffles of great fights hath burst
18575,18576,Antony and Cleopatra,1.0,1.1.8,PHILO,"The buckles on his breast, reneges all temper,"
18576,18577,Antony and Cleopatra,1.0,1.1.9,PHILO,And is become the bellows and the fan
18577,18578,Antony and Cleopatra,1.0,1.1.10,PHILO,To cool a gipsy's lust.
18578,18579,Antony and Cleopatra,1.0,,PHILO,"Flourish. Enter ANTONY, CLEOPATRA, her Ladies, the Train, with Eunuchs fanning her"
18579,18580,Antony and Cleopatra,1.0,1.1.11,PHILO,"Look, where they come:"
18580,18581,Antony and Cleopatra,1.0,1.1.12,PHILO,"Take but good note, and you shall see in him."
18581,18582,Antony and Cleopatra,1.0,1.1.13,PHILO,The triple pillar of the world transform'd
18582,18583,Antony and Cleopatra,1.0,1.1.14,PHILO,Into a strumpet's fool: behold and see.
18583,18584,Antony and Cleopatra,2.0,1.1.15,CLEOPATRA,"If it be love indeed, tell me how much."
18584,18585,Antony and Cleopatra,3.0,1.1.16,MARK ANTONY,There's beggary in the love that can be reckon'd.
18585,18586,Antony and Cleopatra,4.0,1.1.17,CLEOPATRA,I'll set a bourn how far to be beloved.
18586,18587,Antony and Cleopatra,5.0,1.1.18,MARK ANTONY,"Then must thou needs find out new heaven, new earth."
18587,18588,Antony and Cleopatra,5.0,,MARK ANTONY,Enter an Attendant
18588,18589,Antony and Cleopatra,6.0,1.1.19,Attendant,"News, my good lord, from Rome."
