,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
15743,15744,As you like it,114.0,,KING,ACT I
15744,15745,As you like it,114.0,,KING,SCENE I. Orchard of Oliver's house.
15745,15746,As you like it,114.0,,KING,Enter ORLANDO and ADAM
15746,15747,As you like it,1.0,1.1.1,ORLANDO,"As I remember, Adam, it was upon this fashion"
15747,15748,As you like it,1.0,1.1.2,ORLANDO,"bequeathed me by will but poor a thousand crowns,"
15748,15749,As you like it,1.0,1.1.3,ORLANDO,"and, as thou sayest, charged my brother, on his"
15749,15750,As you like it,1.0,1.1.4,ORLANDO,"blessing, to breed me well: and there begins my"
15750,15751,As you like it,1.0,1.1.5,ORLANDO,"sadness. My brother Jaques he keeps at school, and"
15751,15752,As you like it,1.0,1.1.6,ORLANDO,"report speaks goldenly of his profit: for my part,"
15752,15753,As you like it,1.0,1.1.7,ORLANDO,"he keeps me rustically at home, or, to speak more"
15753,15754,As you like it,1.0,1.1.8,ORLANDO,"properly, stays me here at home unkept, for call you"
15754,15755,As you like it,1.0,1.1.9,ORLANDO,"that keeping for a gentleman of my birth, that"
15755,15756,As you like it,1.0,1.1.10,ORLANDO,differs not from the stalling of an ox? His horses
15756,15757,As you like it,1.0,1.1.11,ORLANDO,"are bred better, for, besides that they are fair"
15757,15758,As you like it,1.0,1.1.12,ORLANDO,"with their feeding, they are taught their manage,"
15758,15759,As you like it,1.0,1.1.13,ORLANDO,"and to that end riders dearly hired: but I, his"
15759,15760,As you like it,1.0,1.1.14,ORLANDO,"brother, gain nothing under him but growth, for the"
15760,15761,As you like it,1.0,1.1.15,ORLANDO,which his animals on his dunghills are as much
15761,15762,As you like it,1.0,1.1.16,ORLANDO,bound to him as I. Besides this nothing that he so
15762,15763,As you like it,1.0,1.1.17,ORLANDO,"plentifully gives me, the something that nature gave"
15763,15764,As you like it,1.0,1.1.18,ORLANDO,me his countenance seems to take from me: he lets
15764,15765,As you like it,1.0,1.1.19,ORLANDO,"me feed with his hinds, bars me the place of a"
15765,15766,As you like it,1.0,1.1.20,ORLANDO,"brother, and, as much as in him lies, mines my"
15766,15767,As you like it,1.0,1.1.21,ORLANDO,"gentility with my education. This is it, Adam, that"
15767,15768,As you like it,1.0,1.1.22,ORLANDO,"grieves me, and the spirit of my father, which I"
15768,15769,As you like it,1.0,1.1.23,ORLANDO,"think is within me, begins to mutiny against this"
15769,15770,As you like it,1.0,1.1.24,ORLANDO,"servitude: I will no longer endure it, though yet I"
15770,15771,As you like it,1.0,1.1.25,ORLANDO,know no wise remedy how to avoid it.
15771,15772,As you like it,2.0,1.1.26,ADAM,"Yonder comes my master, your brother."
15772,15773,As you like it,3.0,1.1.27,ORLANDO,"Go apart, Adam, and thou shalt hear how he will"
15773,15774,As you like it,3.0,1.1.28,ORLANDO,shake me up.
15774,15775,As you like it,3.0,,ORLANDO,Enter OLIVER
15775,15776,As you like it,4.0,1.1.29,OLIVER,"Now, sir! what make you here?"
15776,15777,As you like it,5.0,1.1.30,ORLANDO,Nothing: I am not taught to make any thing.
15777,15778,As you like it,6.0,1.1.31,OLIVER,"What mar you then, sir?"
15778,15779,As you like it,7.0,1.1.32,ORLANDO,"Marry, sir, I am helping you to mar that which God"
15779,15780,As you like it,7.0,1.1.33,ORLANDO,"made, a poor unworthy brother of yours, with idleness."
15780,15781,As you like it,8.0,1.1.34,OLIVER,"Marry, sir, be better employed, and be naught awhile."
15781,15782,As you like it,9.0,1.1.35,ORLANDO,Shall I keep your hogs and eat husks with them?
15782,15783,As you like it,9.0,1.1.36,ORLANDO,"What prodigal portion have I spent, that I should"
15783,15784,As you like it,9.0,1.1.37,ORLANDO,come to such penury?
15784,15785,As you like it,10.0,1.1.38,OLIVER,"Know you where your are, sir?"
15785,15786,As you like it,11.0,1.1.39,ORLANDO,"O, sir, very well, here in your orchard."
15786,15787,As you like it,12.0,1.1.40,OLIVER,"Know you before whom, sir?"
15787,15788,As you like it,13.0,1.1.41,ORLANDO,"Ay, better than him I am before knows me. I know"
15788,15789,As you like it,13.0,1.1.42,ORLANDO,"you are my eldest brother, and, in the gentle"
15789,15790,As you like it,13.0,1.1.43,ORLANDO,"condition of blood, you should so know me. The"
15790,15791,As you like it,13.0,1.1.44,ORLANDO,"courtesy of nations allows you my better, in that"
15791,15792,As you like it,13.0,1.1.45,ORLANDO,"you are the first-born, but the same tradition"
15792,15793,As you like it,13.0,1.1.46,ORLANDO,"takes not away my blood, were there twenty brothers"
15793,15794,As you like it,13.0,1.1.47,ORLANDO,betwixt us: I have as much of my father in me as
15794,15795,As you like it,13.0,1.1.48,ORLANDO,"you, albeit, I confess, your coming before me is"
15795,15796,As you like it,13.0,1.1.49,ORLANDO,nearer to his reverence.
15796,15797,As you like it,14.0,1.1.50,OLIVER,"What, boy!"
15797,15798,As you like it,15.0,1.1.51,ORLANDO,"Come, come, elder brother, you are too young in this."
15798,15799,As you like it,16.0,1.1.52,OLIVER,"Wilt thou lay hands on me, villain?"
15799,15800,As you like it,17.0,1.1.53,ORLANDO,"I am no villain, I am the youngest son of Sir"
15800,15801,As you like it,17.0,1.1.54,ORLANDO,"Rowland de Boys, he was my father, and he is thrice"
15801,15802,As you like it,17.0,1.1.55,ORLANDO,a villain that says such a father begot villains.
15802,15803,As you like it,17.0,1.1.56,ORLANDO,"Wert thou not my brother, I would not take this hand"
15803,15804,As you like it,17.0,1.1.57,ORLANDO,from thy throat till this other had pulled out thy
15804,15805,As you like it,17.0,1.1.58,ORLANDO,tongue for saying so: thou hast railed on thyself.
15805,15806,As you like it,18.0,1.1.59,ADAM,"Sweet masters, be patient: for your father's"
15806,15807,As you like it,18.0,1.1.60,ADAM,"remembrance, be at accord."
15807,15808,As you like it,19.0,1.1.61,OLIVER,"Let me go, I say."
15808,15809,As you like it,20.0,1.1.62,ORLANDO,"I will not, till I please: you shall hear me. My"
15809,15810,As you like it,20.0,1.1.63,ORLANDO,father charged you in his will to give me good
15810,15811,As you like it,20.0,1.1.64,ORLANDO,"education: you have trained me like a peasant,"
15811,15812,As you like it,20.0,1.1.65,ORLANDO,obscuring and hiding from me all gentleman-like
15812,15813,As you like it,20.0,1.1.66,ORLANDO,qualities. The spirit of my father grows strong in
