,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
24482,24483,Coriolanus,141.0,,DROMIO OF EPHESUS,ACT I
24483,24484,Coriolanus,141.0,,DROMIO OF EPHESUS,SCENE I. Rome. A street.
24484,24485,Coriolanus,141.0,,DROMIO OF EPHESUS,"Enter a company of mutinous Citizens, with staves, clubs, and other weapons"
24485,24486,Coriolanus,1.0,1.1.1,First Citizen,"Before we proceed any further, hear me speak."
24486,24487,Coriolanus,2.0,1.1.2,All,"Speak, speak."
24487,24488,Coriolanus,3.0,1.1.3,First Citizen,You are all resolved rather to die than to famish?
24488,24489,Coriolanus,4.0,1.1.4,All,Resolved. resolved.
24489,24490,Coriolanus,5.0,1.1.5,First Citizen,"First, you know Caius Marcius is chief enemy to the people."
24490,24491,Coriolanus,6.0,1.1.6,All,"We know't, we know't."
24491,24492,Coriolanus,7.0,1.1.7,First Citizen,"Let us kill him, and we'll have corn at our own price."
24492,24493,Coriolanus,7.0,1.1.8,First Citizen,Is't a verdict?
24493,24494,Coriolanus,8.0,1.1.9,All,"No more talking on't, let it be done: away, away!"
24494,24495,Coriolanus,9.0,1.1.10,Second Citizen,"One word, good citizens."
24495,24496,Coriolanus,10.0,1.1.11,First Citizen,"We are accounted poor citizens, the patricians good."
24496,24497,Coriolanus,10.0,1.1.12,First Citizen,What authority surfeits on would relieve us: if they
24497,24498,Coriolanus,10.0,1.1.13,First Citizen,"would yield us but the superfluity, while it were"
24498,24499,Coriolanus,10.0,1.1.14,First Citizen,"wholesome, we might guess they relieved us humanely,"
24499,24500,Coriolanus,10.0,1.1.15,First Citizen,but they think we are too dear: the leanness that
24500,24501,Coriolanus,10.0,1.1.16,First Citizen,"afflicts us, the object of our misery, is as an"
24501,24502,Coriolanus,10.0,1.1.17,First Citizen,"inventory to particularise their abundance, our"
24502,24503,Coriolanus,10.0,1.1.18,First Citizen,sufferance is a gain to them Let us revenge this with
24503,24504,Coriolanus,10.0,1.1.19,First Citizen,"our pikes, ere we become rakes: for the gods know I"
24504,24505,Coriolanus,10.0,1.1.20,First Citizen,"speak this in hunger for bread, not in thirst for revenge."
24505,24506,Coriolanus,11.0,1.1.21,Second Citizen,Would you proceed especially against Caius Marcius?
24506,24507,Coriolanus,12.0,1.1.22,All,Against him first: he's a very dog to the commonalty.
24507,24508,Coriolanus,13.0,1.1.23,Second Citizen,Consider you what services he has done for his country?
24508,24509,Coriolanus,14.0,1.1.24,First Citizen,"Very well, and could be content to give him good"
24509,24510,Coriolanus,14.0,1.1.25,First Citizen,"report fort, but that he pays himself with being proud."
24510,24511,Coriolanus,15.0,1.1.26,Second Citizen,"Nay, but speak not maliciously."
24511,24512,Coriolanus,16.0,1.1.27,First Citizen,"I say unto you, what he hath done famously, he did"
24512,24513,Coriolanus,16.0,1.1.28,First Citizen,it to that end: though soft-conscienced men can be
24513,24514,Coriolanus,16.0,1.1.29,First Citizen,content to say it was for his country he did it to
24514,24515,Coriolanus,16.0,1.1.30,First Citizen,"please his mother and to be partly proud, which he"
24515,24516,Coriolanus,16.0,1.1.31,First Citizen,"is, even till the altitude of his virtue."
24516,24517,Coriolanus,17.0,1.1.32,Second Citizen,"What he cannot help in his nature, you account a"
24517,24518,Coriolanus,17.0,1.1.33,Second Citizen,vice in him. You must in no way say he is covetous.
24518,24519,Coriolanus,18.0,1.1.34,First Citizen,"If I must not, I need not be barren of accusations,"
24519,24520,Coriolanus,18.0,1.1.35,First Citizen,"he hath faults, with surplus, to tire in repetition."
24520,24521,Coriolanus,18.0,,First Citizen,Shouts within
24521,24522,Coriolanus,18.0,1.1.36,First Citizen,What shouts are these? The other side o' the city
24522,24523,Coriolanus,18.0,1.1.37,First Citizen,is risen: why stay we prating here? to the Capitol!
24523,24524,Coriolanus,19.0,1.1.38,All,"Come, come."
24524,24525,Coriolanus,20.0,1.1.39,First Citizen,Soft! who comes here?
24525,24526,Coriolanus,20.0,,First Citizen,Enter MENENIUS AGRIPPA
24526,24527,Coriolanus,21.0,1.1.40,Second Citizen,"Worthy Menenius Agrippa, one that hath always loved"
24527,24528,Coriolanus,21.0,1.1.41,Second Citizen,the people.
24528,24529,Coriolanus,22.0,1.1.42,First Citizen,He's one honest enough: would all the rest were so!
24529,24530,Coriolanus,23.0,1.1.43,MENENIUS,"What work's, my countrymen, in hand? where go you"
24530,24531,Coriolanus,23.0,1.1.44,MENENIUS,"With bats and clubs? The matter? speak, I pray you."
24531,24532,Coriolanus,24.0,1.1.45,First Citizen,"Our business is not unknown to the senate, they have"
24532,24533,Coriolanus,24.0,1.1.46,First Citizen,"had inkling this fortnight what we intend to do,"
24533,24534,Coriolanus,24.0,1.1.47,First Citizen,which now we'll show 'em in deeds. They say poor
24534,24535,Coriolanus,24.0,1.1.48,First Citizen,suitors have strong breaths: they shall know we
24535,24536,Coriolanus,24.0,1.1.49,First Citizen,have strong arms too.
24536,24537,Coriolanus,25.0,1.1.50,MENENIUS,"Why, masters, my good friends, mine honest neighbours,"
24537,24538,Coriolanus,25.0,1.1.51,MENENIUS,Will you undo yourselves?
24538,24539,Coriolanus,26.0,1.1.52,First Citizen,"We cannot, sir, we are undone already."
24539,24540,Coriolanus,27.0,1.1.53,MENENIUS,"I tell you, friends, most charitable care"
24540,24541,Coriolanus,27.0,1.1.54,MENENIUS,"Have the patricians of you. For your wants,"
24541,24542,Coriolanus,27.0,1.1.55,MENENIUS,"Your suffering in this dearth, you may as well"
24542,24543,Coriolanus,27.0,1.1.56,MENENIUS,Strike at the heaven with your staves as lift them
24543,24544,Coriolanus,27.0,1.1.57,MENENIUS,"Against the Roman state, whose course will on"
24544,24545,Coriolanus,27.0,1.1.58,MENENIUS,"The way it takes, cracking ten thousand curbs"
24545,24546,Coriolanus,27.0,1.1.59,MENENIUS,Of more strong link asunder than can ever
24546,24547,Coriolanus,27.0,1.1.60,MENENIUS,"Appear in your impediment. For the dearth,"
24547,24548,Coriolanus,27.0,1.1.61,MENENIUS,"The gods, not the patricians, make it, and"
24548,24549,Coriolanus,27.0,1.1.62,MENENIUS,"Your knees to them, not arms, must help. Alack,"
24549,24550,Coriolanus,27.0,1.1.63,MENENIUS,You are transported by calamity
24550,24551,Coriolanus,27.0,1.1.64,MENENIUS,"Thither where more attends you, and you slander"
24551,24552,Coriolanus,27.0,1.1.65,MENENIUS,"The helms o' the state, who care for you like fathers,"
24552,24553,Coriolanus,27.0,1.1.66,MENENIUS,When you curse them as enemies.
24553,24554,Coriolanus,28.0,1.1.67,First Citizen,"Care for us! True, indeed! They ne'er cared for us"
24554,24555,Coriolanus,28.0,1.1.68,First Citizen,"yet: suffer us to famish, and their store-houses"
