,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
28474,28475,Cymbeline,49.0,,AUFIDIUS,ACT I
28475,28476,Cymbeline,49.0,,AUFIDIUS,SCENE I. Britain. The garden of Cymbeline's palace.
28476,28477,Cymbeline,49.0,,AUFIDIUS,Enter two Gentlemen
28477,28478,Cymbeline,1.0,1.1.1,First Gentleman,You do not meet a man but frowns: our bloods
28478,28479,Cymbeline,1.0,1.1.2,First Gentleman,No more obey the heavens than our courtiers
28479,28480,Cymbeline,1.0,1.1.3,First Gentleman,Still seem as does the king.
28480,28481,Cymbeline,2.0,1.1.4,Second Gentleman,But what's the matter?
28481,28482,Cymbeline,3.0,1.1.5,First Gentleman,"His daughter, and the heir of's kingdom, whom"
28482,28483,Cymbeline,3.0,1.1.6,First Gentleman,He purposed to his wife's sole son--a widow
28483,28484,Cymbeline,3.0,1.1.7,First Gentleman,That late he married--hath referr'd herself
28484,28485,Cymbeline,3.0,1.1.8,First Gentleman,"Unto a poor but worthy gentleman: she's wedded,"
28485,28486,Cymbeline,3.0,1.1.9,First Gentleman,"Her husband banish'd, she imprison'd: all"
28486,28487,Cymbeline,3.0,1.1.10,First Gentleman,"Is outward sorrow, though I think the king"
28487,28488,Cymbeline,3.0,1.1.11,First Gentleman,Be touch'd at very heart.
28488,28489,Cymbeline,4.0,1.1.12,Second Gentleman,None but the king?
28489,28490,Cymbeline,5.0,1.1.13,First Gentleman,"He that hath lost her too, so is the queen,"
28490,28491,Cymbeline,5.0,1.1.14,First Gentleman,"That most desired the match, but not a courtier,"
28491,28492,Cymbeline,5.0,1.1.15,First Gentleman,Although they wear their faces to the bent
28492,28493,Cymbeline,5.0,1.1.16,First Gentleman,"Of the king's look's, hath a heart that is not"
28493,28494,Cymbeline,5.0,1.1.17,First Gentleman,Glad at the thing they scowl at.
28494,28495,Cymbeline,6.0,1.1.18,Second Gentleman,And why so?
28495,28496,Cymbeline,7.0,1.1.19,First Gentleman,He that hath miss'd the princess is a thing
28496,28497,Cymbeline,7.0,1.1.20,First Gentleman,Too bad for bad report: and he that hath her--
28497,28498,Cymbeline,7.0,1.1.21,First Gentleman,"I mean, that married her, alack, good man!"
28498,28499,Cymbeline,7.0,1.1.22,First Gentleman,And therefore banish'd--is a creature such
28499,28500,Cymbeline,7.0,1.1.23,First Gentleman,"As, to seek through the regions of the earth"
28500,28501,Cymbeline,7.0,1.1.24,First Gentleman,"For one his like, there would be something failing"
28501,28502,Cymbeline,7.0,1.1.25,First Gentleman,In him that should compare. I do not think
28502,28503,Cymbeline,7.0,1.1.26,First Gentleman,So fair an outward and such stuff within
28503,28504,Cymbeline,7.0,1.1.27,First Gentleman,Endows a man but he.
28504,28505,Cymbeline,8.0,1.1.28,Second Gentleman,You speak him far.
28505,28506,Cymbeline,9.0,1.1.29,First Gentleman,"I do extend him, sir, within himself,"
28506,28507,Cymbeline,9.0,1.1.30,First Gentleman,Crush him together rather than unfold
28507,28508,Cymbeline,9.0,1.1.31,First Gentleman,His measure duly.
28508,28509,Cymbeline,10.0,1.1.32,Second Gentleman,What's his name and birth?
28509,28510,Cymbeline,11.0,1.1.33,First Gentleman,I cannot delve him to the root: his father
28510,28511,Cymbeline,11.0,1.1.34,First Gentleman,"Was call'd Sicilius, who did join his honour"
28511,28512,Cymbeline,11.0,1.1.35,First Gentleman,"Against the Romans with Cassibelan,"
28512,28513,Cymbeline,11.0,1.1.36,First Gentleman,But had his titles by Tenantius whom
28513,28514,Cymbeline,11.0,1.1.37,First Gentleman,"He served with glory and admired success,"
28514,28515,Cymbeline,11.0,1.1.38,First Gentleman,"So gain'd the sur-addition Leonatus,"
28515,28516,Cymbeline,11.0,1.1.39,First Gentleman,"And had, besides this gentleman in question,"
28516,28517,Cymbeline,11.0,1.1.40,First Gentleman,"Two other sons, who in the wars o' the time"
28517,28518,Cymbeline,11.0,1.1.41,First Gentleman,"Died with their swords in hand, for which"
28518,28519,Cymbeline,11.0,1.1.42,First Gentleman,"their father,"
28519,28520,Cymbeline,11.0,1.1.43,First Gentleman,"Then old and fond of issue, took such sorrow"
28520,28521,Cymbeline,11.0,1.1.44,First Gentleman,"That he quit being, and his gentle lady,"
28521,28522,Cymbeline,11.0,1.1.45,First Gentleman,"Big of this gentleman our theme, deceased"
28522,28523,Cymbeline,11.0,1.1.46,First Gentleman,As he was born. The king he takes the babe
28523,28524,Cymbeline,11.0,1.1.47,First Gentleman,"To his protection, calls him Posthumus Leonatus,"
28524,28525,Cymbeline,11.0,1.1.48,First Gentleman,"Breeds him and makes him of his bed-chamber,"
28525,28526,Cymbeline,11.0,1.1.49,First Gentleman,Puts to him all the learnings that his time
28526,28527,Cymbeline,11.0,1.1.50,First Gentleman,"Could make him the receiver of, which he took,"
28527,28528,Cymbeline,11.0,1.1.51,First Gentleman,"As we do air, fast as 'twas minister'd,"
28528,28529,Cymbeline,11.0,1.1.52,First Gentleman,"And in's spring became a harvest, lived in court--"
28529,28530,Cymbeline,11.0,1.1.53,First Gentleman,"Which rare it is to do--most praised, most loved,"
28530,28531,Cymbeline,11.0,1.1.54,First Gentleman,"A sample to the youngest, to the more mature"
28531,28532,Cymbeline,11.0,1.1.55,First Gentleman,"A glass that feated them, and to the graver"
28532,28533,Cymbeline,11.0,1.1.56,First Gentleman,"A child that guided dotards, to his mistress,"
28533,28534,Cymbeline,11.0,1.1.57,First Gentleman,"For whom he now is banish'd, her own price"
28534,28535,Cymbeline,11.0,1.1.58,First Gentleman,"Proclaims how she esteem'd him and his virtue,"
28535,28536,Cymbeline,11.0,1.1.59,First Gentleman,By her election may be truly read
28536,28537,Cymbeline,11.0,1.1.60,First Gentleman,What kind of man he is.
28537,28538,Cymbeline,12.0,1.1.61,Second Gentleman,I honour him
28538,28539,Cymbeline,12.0,1.1.62,Second Gentleman,"Even out of your report. But, pray you, tell me,"
28539,28540,Cymbeline,12.0,1.1.63,Second Gentleman,Is she sole child to the king?
28540,28541,Cymbeline,13.0,1.1.64,First Gentleman,His only child.
28541,28542,Cymbeline,13.0,1.1.65,First Gentleman,"He had two sons: if this be worth your hearing,"
28542,28543,Cymbeline,13.0,1.1.66,First Gentleman,"Mark it: the eldest of them at three years old,"
28543,28544,Cymbeline,13.0,1.1.67,First Gentleman,"I' the swathing-clothes the other, from their nursery"
28544,28545,Cymbeline,13.0,1.1.68,First Gentleman,"Were stol'n, and to this hour no guess in knowledge"
28545,28546,Cymbeline,13.0,1.1.69,First Gentleman,Which way they went.
28546,28547,Cymbeline,14.0,1.1.70,Second Gentleman,How long is this ago?
28547,28548,Cymbeline,15.0,1.1.71,First Gentleman,Some twenty years.
28548,28549,Cymbeline,16.0,1.1.72,Second Gentleman,"That a king's children should be so convey'd,"
28549,28550,Cymbeline,16.0,1.1.73,Second Gentleman,"So slackly guarded, and the search so slow,"
28550,28551,Cymbeline,16.0,1.1.74,Second Gentleman,That could not trace them!
28551,28552,Cymbeline,17.0,1.1.75,First Gentleman,"Howsoe'er 'tis strange,"
28552,28553,Cymbeline,17.0,1.1.76,First Gentleman,"Or that the negligence may well be laugh'd at,"
28553,28554,Cymbeline,17.0,1.1.77,First Gentleman,"Yet is it true, sir."
28554,28555,Cymbeline,18.0,1.1.78,Second Gentleman,I do well believe you.
28555,28556,Cymbeline,19.0,1.1.79,First Gentleman,"We must forbear: here comes the gentleman,"
28556,28557,Cymbeline,19.0,1.1.80,First Gentleman,"The queen, and princess."
28557,28558,Cymbeline,19.0,,First Gentleman,Exeunt
28558,28559,Cymbeline,19.0,,First Gentleman,"Enter the QUEEN, POSTHUMUS LEONATUS, and IMOGEN"
28559,28560,Cymbeline,20.0,1.1.81,QUEEN,"No, be assured you shall not find me, daughter,"
28560,28561,Cymbeline,20.0,1.1.82,QUEEN,"After the slander of most stepmothers,"
28561,28562,Cymbeline,20.0,1.1.83,QUEEN,"Evil-eyed unto you: you're my prisoner, but"
28562,28563,Cymbeline,20.0,1.1.84,QUEEN,Your gaoler shall deliver you the keys
28563,28564,Cymbeline,20.0,1.1.85,QUEEN,"That lock up your restraint. For you, Posthumus,"
28564,28565,Cymbeline,20.0,1.1.86,QUEEN,"So soon as I can win the offended king,"
28565,28566,Cymbeline,20.0,1.1.87,QUEEN,"I will be known your advocate: marry, yet"
28566,28567,Cymbeline,20.0,1.1.88,QUEEN,"The fire of rage is in him, and 'twere good"
28567,28568,Cymbeline,20.0,1.1.89,QUEEN,You lean'd unto his sentence with what patience
28568,28569,Cymbeline,20.0,1.1.90,QUEEN,Your wisdom may inform you.
28569,28570,Cymbeline,21.0,1.1.91,POSTHUMUS LEONATUS,"Please your highness,"
28570,28571,Cymbeline,21.0,1.1.92,POSTHUMUS LEONATUS,I will from hence to-day.
28571,28572,Cymbeline,22.0,1.1.93,QUEEN,You know the peril.
28572,28573,Cymbeline,22.0,1.1.94,QUEEN,"I'll fetch a turn about the garden, pitying"
28573,28574,Cymbeline,22.0,1.1.95,QUEEN,"The pangs of barr'd affections, though the king"
28574,28575,Cymbeline,22.0,1.1.96,QUEEN,Hath charged you should not speak together.
28575,28576,Cymbeline,22.0,,QUEEN,Exit
28576,28577,Cymbeline,23.0,1.1.97,IMOGEN,O
28577,28578,Cymbeline,23.0,1.1.98,IMOGEN,Dissembling courtesy! How fine this tyrant
28578,28579,Cymbeline,23.0,1.1.99,IMOGEN,"Can tickle where she wounds! My dearest husband,"
28579,28580,Cymbeline,23.0,1.1.100,IMOGEN,"I something fear my father's wrath, but nothing--"
28580,28581,Cymbeline,23.0,1.1.101,IMOGEN,Always reserved my holy duty--what
28581,28582,Cymbeline,23.0,1.1.102,IMOGEN,"His rage can do on me: you must be gone,"
28582,28583,Cymbeline,23.0,1.1.103,IMOGEN,And I shall here abide the hourly shot
28583,28584,Cymbeline,23.0,1.1.104,IMOGEN,"Of angry eyes, not comforted to live,"
28584,28585,Cymbeline,23.0,1.1.105,IMOGEN,But that there is this jewel in the world
28585,28586,Cymbeline,23.0,1.1.106,IMOGEN,That I may see again.
28586,28587,Cymbeline,24.0,1.1.107,POSTHUMUS LEONATUS,My queen! my mistress!
28587,28588,Cymbeline,24.0,1.1.108,POSTHUMUS LEONATUS,"O lady, weep no more, lest I give cause"
28588,28589,Cymbeline,24.0,1.1.109,POSTHUMUS LEONATUS,To be suspected of more tenderness
28589,28590,Cymbeline,24.0,1.1.110,POSTHUMUS LEONATUS,Than doth become a man. I will remain
28590,28591,Cymbeline,24.0,1.1.111,POSTHUMUS LEONATUS,The loyal'st husband that did e'er plight troth:
28591,28592,Cymbeline,24.0,1.1.112,POSTHUMUS LEONATUS,"My residence in Rome at one Philario's,"
28592,28593,Cymbeline,24.0,1.1.113,POSTHUMUS LEONATUS,"Who to my father was a friend, to me"
28593,28594,Cymbeline,24.0,1.1.114,POSTHUMUS LEONATUS,"Known but by letter: thither write, my queen,"
28594,28595,Cymbeline,24.0,1.1.115,POSTHUMUS LEONATUS,"And with mine eyes I'll drink the words you send,"
28595,28596,Cymbeline,24.0,1.1.116,POSTHUMUS LEONATUS,Though ink be made of gall.
28596,28597,Cymbeline,24.0,,POSTHUMUS LEONATUS,Re-enter QUEEN
28597,28598,Cymbeline,25.0,1.1.117,QUEEN,"Be brief, I pray you:"
28598,28599,Cymbeline,25.0,1.1.118,QUEEN,"If the king come, I shall incur I know not"
28599,28600,Cymbeline,25.0,1.1.119,QUEEN,How much of his displeasure.
28600,28601,Cymbeline,25.0,,QUEEN,Aside
28601,28602,Cymbeline,25.0,1.1.120,QUEEN,Yet I'll move him
28602,28603,Cymbeline,25.0,1.1.121,QUEEN,"To walk this way: I never do him wrong,"
28603,28604,Cymbeline,25.0,1.1.122,QUEEN,"But he does buy my injuries, to be friends,"
28604,28605,Cymbeline,25.0,1.1.123,QUEEN,Pays dear for my offences.
28605,28606,Cymbeline,25.0,,QUEEN,Exit
28606,28607,Cymbeline,26.0,1.1.124,POSTHUMUS LEONATUS,Should we be taking leave
28607,28608,Cymbeline,26.0,1.1.125,POSTHUMUS LEONATUS,"As long a term as yet we have to live,"
28608,28609,Cymbeline,26.0,1.1.126,POSTHUMUS LEONATUS,The loathness to depart would grow. Adieu!
28609,28610,Cymbeline,27.0,1.1.127,IMOGEN,"Nay, stay a little:"
28610,28611,Cymbeline,27.0,1.1.128,IMOGEN,"Were you but riding forth to air yourself,"
28611,28612,Cymbeline,27.0,1.1.129,IMOGEN,"Such parting were too petty. Look here, love,"
28612,28613,Cymbeline,27.0,1.1.130,IMOGEN,"This diamond was my mother's: take it, heart,"
28613,28614,Cymbeline,27.0,1.1.131,IMOGEN,"But keep it till you woo another wife,"
28614,28615,Cymbeline,27.0,1.1.132,IMOGEN,When Imogen is dead.
28615,28616,Cymbeline,28.0,1.1.133,POSTHUMUS LEONATUS,"How, how! another?"
28616,28617,Cymbeline,28.0,1.1.134,POSTHUMUS LEONATUS,"You gentle gods, give me but this I have,"
28617,28618,Cymbeline,28.0,1.1.135,POSTHUMUS LEONATUS,And sear up my embracements from a next
28618,28619,Cymbeline,28.0,1.1.136,POSTHUMUS LEONATUS,With bonds of death!
28619,28620,Cymbeline,28.0,,POSTHUMUS LEONATUS,Putting on the ring
28620,28621,Cymbeline,28.0,1.1.137,POSTHUMUS LEONATUS,"Remain, remain thou here"
28621,28622,Cymbeline,28.0,1.1.138,POSTHUMUS LEONATUS,"While sense can keep it on. And, sweetest, fairest,"
28622,28623,Cymbeline,28.0,1.1.139,POSTHUMUS LEONATUS,"As I my poor self did exchange for you,"
28623,28624,Cymbeline,28.0,1.1.140,POSTHUMUS LEONATUS,"To your so infinite loss, so in our trifles"
28624,28625,Cymbeline,28.0,1.1.141,POSTHUMUS LEONATUS,"I still win of you: for my sake wear this,"
28625,28626,Cymbeline,28.0,1.1.142,POSTHUMUS LEONATUS,"It is a manacle of love, I'll place it"
28626,28627,Cymbeline,28.0,1.1.143,POSTHUMUS LEONATUS,Upon this fairest prisoner.
28627,28628,Cymbeline,28.0,,POSTHUMUS LEONATUS,Putting a bracelet upon her arm
28628,28629,Cymbeline,29.0,1.1.144,IMOGEN,O the gods!
28629,28630,Cymbeline,29.0,1.1.145,IMOGEN,When shall we see again?
28630,28631,Cymbeline,29.0,,IMOGEN,Enter CYMBELINE and Lords
28631,28632,Cymbeline,30.0,1.1.146,POSTHUMUS LEONATUS,"Alack, the king!"
28632,28633,Cymbeline,31.0,1.1.147,CYMBELINE,"Thou basest thing, avoid! hence, from my sight!"
28633,28634,Cymbeline,31.0,1.1.148,CYMBELINE,If after this command thou fraught the court
28634,28635,Cymbeline,31.0,1.1.149,CYMBELINE,"With thy unworthiness, thou diest: away!"
28635,28636,Cymbeline,31.0,1.1.150,CYMBELINE,Thou'rt poison to my blood.
28636,28637,Cymbeline,32.0,1.1.151,POSTHUMUS LEONATUS,The gods protect you!
28637,28638,Cymbeline,32.0,1.1.152,POSTHUMUS LEONATUS,And bless the good remainders of the court! I am gone.
28638,28639,Cymbeline,32.0,,POSTHUMUS LEONATUS,Exit
28639,28640,Cymbeline,33.0,1.1.153,IMOGEN,There cannot be a pinch in death
28640,28641,Cymbeline,33.0,1.1.154,IMOGEN,More sharp than this is.
28641,28642,Cymbeline,34.0,1.1.155,CYMBELINE,"O disloyal thing,"
28642,28643,Cymbeline,34.0,1.1.156,CYMBELINE,"That shouldst repair my youth, thou heap'st"
28643,28644,Cymbeline,34.0,1.1.157,CYMBELINE,A year's age on me.
28644,28645,Cymbeline,35.0,1.1.158,IMOGEN,"I beseech you, sir,"
28645,28646,Cymbeline,35.0,1.1.159,IMOGEN,Harm not yourself with your vexation
28646,28647,Cymbeline,35.0,1.1.160,IMOGEN,"I am senseless of your wrath, a touch more rare"
28647,28648,Cymbeline,35.0,1.1.161,IMOGEN,"Subdues all pangs, all fears."
28648,28649,Cymbeline,36.0,1.1.162,CYMBELINE,Past grace? obedience?
28649,28650,Cymbeline,37.0,1.1.163,IMOGEN,"Past hope, and in despair, that way, past grace."
28650,28651,Cymbeline,38.0,1.1.164,CYMBELINE,That mightst have had the sole son of my queen!
28651,28652,Cymbeline,39.0,1.1.165,IMOGEN,"O blest, that I might not! I chose an eagle,"
28652,28653,Cymbeline,39.0,1.1.166,IMOGEN,And did avoid a puttock.
28653,28654,Cymbeline,40.0,1.1.167,CYMBELINE,"Thou took'st a beggar, wouldst have made my throne"
28654,28655,Cymbeline,40.0,1.1.168,CYMBELINE,A seat for baseness.
28655,28656,Cymbeline,41.0,1.1.169,IMOGEN,"No, I rather added"
28656,28657,Cymbeline,41.0,1.1.170,IMOGEN,A lustre to it.
28657,28658,Cymbeline,42.0,1.1.171,CYMBELINE,O thou vile one!
28658,28659,Cymbeline,43.0,1.1.172,IMOGEN,"Sir,"
28659,28660,Cymbeline,43.0,1.1.173,IMOGEN,It is your fault that I have loved Posthumus:
28660,28661,Cymbeline,43.0,1.1.174,IMOGEN,"You bred him as my playfellow, and he is"
28661,28662,Cymbeline,43.0,1.1.175,IMOGEN,"A man worth any woman, overbuys me"
28662,28663,Cymbeline,43.0,1.1.176,IMOGEN,Almost the sum he pays.
28663,28664,Cymbeline,44.0,1.1.177,CYMBELINE,"What, art thou mad?"
28664,28665,Cymbeline,45.0,1.1.178,IMOGEN,"Almost, sir: heaven restore me! Would I were"
28665,28666,Cymbeline,45.0,1.1.179,IMOGEN,"A neat-herd's daughter, and my Leonatus"
28666,28667,Cymbeline,45.0,1.1.180,IMOGEN,Our neighbour shepherd's son!
28667,28668,Cymbeline,46.0,1.1.181,CYMBELINE,Thou foolish thing!
28668,28669,Cymbeline,46.0,,CYMBELINE,Re-enter QUEEN
28669,28670,Cymbeline,46.0,1.1.182,CYMBELINE,They were again together: you have done
28670,28671,Cymbeline,46.0,1.1.183,CYMBELINE,"Not after our command. Away with her,"
28671,28672,Cymbeline,46.0,1.1.184,CYMBELINE,And pen her up.
28672,28673,Cymbeline,47.0,1.1.185,QUEEN,"Beseech your patience. Peace,"
28673,28674,Cymbeline,47.0,1.1.186,QUEEN,"Dear lady daughter, peace! Sweet sovereign,"
28674,28675,Cymbeline,47.0,1.1.187,QUEEN,"Leave us to ourselves, and make yourself some comfort"
28675,28676,Cymbeline,47.0,1.1.188,QUEEN,Out of your best advice.
28676,28677,Cymbeline,48.0,1.1.189,CYMBELINE,"Nay, let her languish"
28677,28678,Cymbeline,48.0,1.1.190,CYMBELINE,"A drop of blood a day, and, being aged,"
28678,28679,Cymbeline,48.0,1.1.191,CYMBELINE,Die of this folly!
28679,28680,Cymbeline,48.0,,CYMBELINE,Exeunt CYMBELINE and Lords
28680,28681,Cymbeline,49.0,1.1.192,QUEEN,Fie! you must give way.
28681,28682,Cymbeline,49.0,,QUEEN,Enter PISANIO
28682,28683,Cymbeline,49.0,1.1.193,QUEEN,"Here is your servant. How now, sir! What news?"
28683,28684,Cymbeline,50.0,1.1.194,PISANIO,My lord your son drew on my master.
28684,28685,Cymbeline,51.0,1.1.195,QUEEN,Ha!
28685,28686,Cymbeline,51.0,1.1.196,QUEEN,"No harm, I trust, is done?"
28686,28687,Cymbeline,52.0,1.1.197,PISANIO,"There might have been,"
28687,28688,Cymbeline,52.0,1.1.198,PISANIO,But that my master rather play'd than fought
28688,28689,Cymbeline,52.0,1.1.199,PISANIO,And had no help of anger: they were parted
28689,28690,Cymbeline,52.0,1.1.200,PISANIO,By gentlemen at hand.
28690,28691,Cymbeline,53.0,1.1.201,QUEEN,I am very glad on't.
28691,28692,Cymbeline,54.0,1.1.202,IMOGEN,"Your son's my father's friend, he takes his part."
28692,28693,Cymbeline,54.0,1.1.203,IMOGEN,To draw upon an exile! O brave sir!
28693,28694,Cymbeline,54.0,1.1.204,IMOGEN,"I would they were in Afric both together,"
28694,28695,Cymbeline,54.0,1.1.205,IMOGEN,"Myself by with a needle, that I might prick"
28695,28696,Cymbeline,54.0,1.1.206,IMOGEN,The goer-back. Why came you from your master?
28696,28697,Cymbeline,55.0,1.1.207,PISANIO,On his command: he would not suffer me
28697,28698,Cymbeline,55.0,1.1.208,PISANIO,"To bring him to the haven, left these notes"
28698,28699,Cymbeline,55.0,1.1.209,PISANIO,"Of what commands I should be subject to,"
28699,28700,Cymbeline,55.0,1.1.210,PISANIO,When 't pleased you to employ me.
28700,28701,Cymbeline,56.0,1.1.211,QUEEN,This hath been
28701,28702,Cymbeline,56.0,1.1.212,QUEEN,Your faithful servant: I dare lay mine honour
28702,28703,Cymbeline,56.0,1.1.213,QUEEN,He will remain so.
28703,28704,Cymbeline,57.0,1.1.214,PISANIO,I humbly thank your highness.
28704,28705,Cymbeline,58.0,1.1.215,QUEEN,"Pray, walk awhile."
28705,28706,Cymbeline,59.0,1.1.216,IMOGEN,"About some half-hour hence,"
28706,28707,Cymbeline,59.0,1.1.217,IMOGEN,"I pray you, speak with me: you shall at least"
28707,28708,Cymbeline,59.0,1.1.218,IMOGEN,Go see my lord aboard: for this time leave me.
28708,28709,Cymbeline,59.0,,IMOGEN,Exeunt
28709,28710,Cymbeline,59.0,,IMOGEN,SCENE II. The same. A public place.
28710,28711,Cymbeline,59.0,,IMOGEN,Enter CLOTEN and two Lords
28711,28712,Cymbeline,1.0,1.2.1,First Lord,"Sir, I would advise you to shift a shirt, the"
28712,28713,Cymbeline,1.0,1.2.2,First Lord,violence of action hath made you reek as a
28713,28714,Cymbeline,1.0,1.2.3,First Lord,"sacrifice: where air comes out, air comes in:"
28714,28715,Cymbeline,1.0,1.2.4,First Lord,there's none abroad so wholesome as that you vent.
28715,28716,Cymbeline,2.0,1.2.5,CLOTEN,"If my shirt were bloody, then to shift it. Have I hurt him?"
28716,28717,Cymbeline,3.0,1.2.6,Second Lord,"[Aside]  No, 'faith, not so much as his patience."
28717,28718,Cymbeline,4.0,1.2.7,First Lord,"Hurt him! his body's a passable carcass, if he be"
28718,28719,Cymbeline,4.0,1.2.8,First Lord,"not hurt: it is a thoroughfare for steel, if it be not hurt."
28719,28720,Cymbeline,5.0,1.2.9,Second Lord,"[Aside]  His steel was in debt, it went o' the"
28720,28721,Cymbeline,5.0,1.2.10,Second Lord,backside the town.
28721,28722,Cymbeline,6.0,1.2.11,CLOTEN,The villain would not stand me.
28722,28723,Cymbeline,7.0,1.2.12,Second Lord,"[Aside]  No, but he fled forward still, toward your face."
28723,28724,Cymbeline,8.0,1.2.13,First Lord,Stand you! You have land enough of your own: but
28724,28725,Cymbeline,8.0,1.2.14,First Lord,"he added to your having, gave you some ground."
28725,28726,Cymbeline,9.0,1.2.15,Second Lord,[Aside]  As many inches as you have oceans. Puppies!
28726,28727,Cymbeline,10.0,1.2.16,CLOTEN,I would they had not come between us.
28727,28728,Cymbeline,11.0,1.2.17,Second Lord,"[Aside]  So would I, till you had measured how long"
28728,28729,Cymbeline,11.0,1.2.18,Second Lord,a fool you were upon the ground.
28729,28730,Cymbeline,12.0,1.2.19,CLOTEN,And that she should love this fellow and refuse me!
28730,28731,Cymbeline,13.0,1.2.20,Second Lord,"[Aside]  If it be a sin to make a true election, she"
28731,28732,Cymbeline,13.0,1.2.21,Second Lord,is damned.
28732,28733,Cymbeline,14.0,1.2.22,First Lord,"Sir, as I told you always, her beauty and her brain"
28733,28734,Cymbeline,14.0,1.2.23,First Lord,"go not together: she's a good sign, but I have seen"
28734,28735,Cymbeline,14.0,1.2.24,First Lord,small reflection of her wit.
28735,28736,Cymbeline,15.0,1.2.25,Second Lord,"[Aside]  She shines not upon fools, lest the"
28736,28737,Cymbeline,15.0,1.2.26,Second Lord,reflection should hurt her.
28737,28738,Cymbeline,16.0,1.2.27,CLOTEN,"Come, I'll to my chamber. Would there had been some"
28738,28739,Cymbeline,16.0,1.2.28,CLOTEN,hurt done!
28739,28740,Cymbeline,17.0,1.2.29,Second Lord,"[Aside]  I wish not so, unless it had been the fall"
28740,28741,Cymbeline,17.0,1.2.30,Second Lord,"of an ass, which is no great hurt."
28741,28742,Cymbeline,18.0,1.2.31,CLOTEN,You'll go with us?
28742,28743,Cymbeline,19.0,1.2.32,First Lord,I'll attend your lordship.
28743,28744,Cymbeline,20.0,1.2.33,CLOTEN,"Nay, come, let's go together."
28744,28745,Cymbeline,21.0,1.2.34,Second Lord,"Well, my lord."
28745,28746,Cymbeline,21.0,,Second Lord,Exeunt
28746,28747,Cymbeline,21.0,,Second Lord,SCENE III. A room in Cymbeline's palace.
28747,28748,Cymbeline,21.0,,Second Lord,Enter IMOGEN and PISANIO
28748,28749,Cymbeline,1.0,1.3.1,IMOGEN,"I would thou grew'st unto the shores o' the haven,"
28749,28750,Cymbeline,1.0,1.3.2,IMOGEN,And question'dst every sail: if he should write
28750,28751,Cymbeline,1.0,1.3.3,IMOGEN,"And not have it, 'twere a paper lost,"
28751,28752,Cymbeline,1.0,1.3.4,IMOGEN,As offer'd mercy is. What was the last
28752,28753,Cymbeline,1.0,1.3.5,IMOGEN,That he spake to thee?
28753,28754,Cymbeline,2.0,1.3.6,PISANIO,"It was his queen, his queen!"
28754,28755,Cymbeline,3.0,1.3.7,IMOGEN,Then waved his handkerchief?
28755,28756,Cymbeline,4.0,1.3.8,PISANIO,"And kiss'd it, madam."
