,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
32432,32433,Hamlet,138.0,,CYMBELINE,ACT I
32433,32434,Hamlet,138.0,,CYMBELINE,SCENE I. Elsinore. A platform before the castle.
32434,32435,Hamlet,138.0,,CYMBELINE,FRANCISCO at his post. Enter to him BERNARDO
32435,32436,Hamlet,1.0,1.1.1,BERNARDO,Who's there?
32436,32437,Hamlet,2.0,1.1.2,FRANCISCO,"Nay, answer me: stand, and unfold yourself."
32437,32438,Hamlet,3.0,1.1.3,BERNARDO,Long live the king!
32438,32439,Hamlet,4.0,1.1.4,FRANCISCO,Bernardo?
32439,32440,Hamlet,5.0,1.1.5,BERNARDO,He.
32440,32441,Hamlet,6.0,1.1.6,FRANCISCO,You come most carefully upon your hour.
32441,32442,Hamlet,7.0,1.1.7,BERNARDO,"'Tis now struck twelve, get thee to bed, Francisco."
32442,32443,Hamlet,8.0,1.1.8,FRANCISCO,"For this relief much thanks: 'tis bitter cold,"
32443,32444,Hamlet,8.0,1.1.9,FRANCISCO,And I am sick at heart.
32444,32445,Hamlet,9.0,1.1.10,BERNARDO,Have you had quiet guard?
32445,32446,Hamlet,10.0,1.1.11,FRANCISCO,Not a mouse stirring.
32446,32447,Hamlet,11.0,1.1.12,BERNARDO,"Well, good night."
32447,32448,Hamlet,11.0,1.1.13,BERNARDO,"If you do meet Horatio and Marcellus,"
32448,32449,Hamlet,11.0,1.1.14,BERNARDO,"The rivals of my watch, bid them make haste."
32449,32450,Hamlet,12.0,1.1.15,FRANCISCO,"I think I hear them. Stand, ho! Who's there?"
32450,32451,Hamlet,12.0,,FRANCISCO,Enter HORATIO and MARCELLUS
32451,32452,Hamlet,13.0,1.1.16,HORATIO,Friends to this ground.
32452,32453,Hamlet,14.0,1.1.17,MARCELLUS,And liegemen to the Dane.
32453,32454,Hamlet,15.0,1.1.18,FRANCISCO,Give you good night.
32454,32455,Hamlet,16.0,1.1.19,MARCELLUS,"O, farewell, honest soldier:"
32455,32456,Hamlet,16.0,1.1.20,MARCELLUS,Who hath relieved you?
32456,32457,Hamlet,17.0,1.1.21,FRANCISCO,Bernardo has my place.
32457,32458,Hamlet,17.0,1.1.22,FRANCISCO,Give you good night.
32458,32459,Hamlet,17.0,,FRANCISCO,Exit
32459,32460,Hamlet,18.0,1.1.23,MARCELLUS,Holla! Bernardo!
32460,32461,Hamlet,19.0,1.1.24,BERNARDO,"Say,"
32461,32462,Hamlet,19.0,1.1.25,BERNARDO,"What, is Horatio there?"
32462,32463,Hamlet,20.0,1.1.26,HORATIO,A piece of him.
32463,32464,Hamlet,21.0,1.1.27,BERNARDO,"Welcome, Horatio: welcome, good Marcellus."
32464,32465,Hamlet,22.0,1.1.28,MARCELLUS,"What, has this thing appear'd again to-night?"
