,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
0,1,Henry IV,,,,ACT I
1,2,Henry IV,,,,SCENE I. London. The palace.
2,3,Henry IV,,,,"Enter KING HENRY, LORD JOHN OF LANCASTER, the EARL of WESTMORELAND, SIR WALTER BLUNT, and others"
3,4,Henry IV,1.0,1.1.1,KING HENRY IV,"So shaken as we are, so wan with care,"
4,5,Henry IV,1.0,1.1.2,KING HENRY IV,"Find we a time for frighted peace to pant,"
5,6,Henry IV,1.0,1.1.3,KING HENRY IV,And breathe short-winded accents of new broils
6,7,Henry IV,1.0,1.1.4,KING HENRY IV,To be commenced in strands afar remote.
7,8,Henry IV,1.0,1.1.5,KING HENRY IV,No more the thirsty entrance of this soil
8,9,Henry IV,1.0,1.1.6,KING HENRY IV,"Shall daub her lips with her own children's blood,"
9,10,Henry IV,1.0,1.1.7,KING HENRY IV,"Nor more shall trenching war channel her fields,"
10,11,Henry IV,1.0,1.1.8,KING HENRY IV,Nor bruise her flowerets with the armed hoofs
11,12,Henry IV,1.0,1.1.9,KING HENRY IV,"Of hostile paces: those opposed eyes,"
12,13,Henry IV,1.0,1.1.10,KING HENRY IV,"Which, like the meteors of a troubled heaven,"
13,14,Henry IV,1.0,1.1.11,KING HENRY IV,"All of one nature, of one substance bred,"
14,15,Henry IV,1.0,1.1.12,KING HENRY IV,Did lately meet in the intestine shock
15,16,Henry IV,1.0,1.1.13,KING HENRY IV,And furious close of civil butchery
16,17,Henry IV,1.0,1.1.14,KING HENRY IV,"Shall now, in mutual well-beseeming ranks,"
17,18,Henry IV,1.0,1.1.15,KING HENRY IV,March all one way and be no more opposed
18,19,Henry IV,1.0,1.1.16,KING HENRY IV,"Against acquaintance, kindred and allies:"
19,20,Henry IV,1.0,1.1.17,KING HENRY IV,"The edge of war, like an ill-sheathed knife,"
20,21,Henry IV,1.0,1.1.18,KING HENRY IV,"No more shall cut his master. Therefore, friends,"
21,22,Henry IV,1.0,1.1.19,KING HENRY IV,"As far as to the sepulchre of Christ,"
22,23,Henry IV,1.0,1.1.20,KING HENRY IV,"Whose soldier now, under whose blessed cross"
23,24,Henry IV,1.0,1.1.21,KING HENRY IV,"We are impressed and engaged to fight,"
24,25,Henry IV,1.0,1.1.22,KING HENRY IV,"Forthwith a power of English shall we levy,"
25,26,Henry IV,1.0,1.1.23,KING HENRY IV,Whose arms were moulded in their mothers' womb
26,27,Henry IV,1.0,1.1.24,KING HENRY IV,To chase these pagans in those holy fields
27,28,Henry IV,1.0,1.1.25,KING HENRY IV,Over whose acres walk'd those blessed feet
28,29,Henry IV,1.0,1.1.26,KING HENRY IV,Which fourteen hundred years ago were nail'd
29,30,Henry IV,1.0,1.1.27,KING HENRY IV,For our advantage on the bitter cross.
30,31,Henry IV,1.0,1.1.28,KING HENRY IV,"But this our purpose now is twelve month old,"
31,32,Henry IV,1.0,1.1.29,KING HENRY IV,And bootless 'tis to tell you we will go:
32,33,Henry IV,1.0,1.1.30,KING HENRY IV,Therefore we meet not now. Then let me hear
33,34,Henry IV,1.0,1.1.31,KING HENRY IV,"Of you, my gentle cousin Westmoreland,"
34,35,Henry IV,1.0,1.1.32,KING HENRY IV,What yesternight our council did decree
35,36,Henry IV,1.0,1.1.33,KING HENRY IV,In forwarding this dear expedience.
36,37,Henry IV,2.0,1.1.34,WESTMORELAND,"My liege, this haste was hot in question,"
37,38,Henry IV,2.0,1.1.35,WESTMORELAND,And many limits of the charge set down
