,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
36676,36677,Henry V,147.0,5.2.424,PRINCE FORTINBRAS,ACT I
36677,36678,Henry V,147.0,5.2.424,PRINCE FORTINBRAS,PROLOGUE
36678,36679,Henry V,147.0,,PRINCE FORTINBRAS,Enter Chorus
36679,36680,Henry V,1.0,1.0.1,Chorus,"O for a Muse of fire, that would ascend"
36680,36681,Henry V,1.0,1.0.2,Chorus,"The brightest heaven of invention,"
36681,36682,Henry V,1.0,1.0.3,Chorus,"A kingdom for a stage, princes to act"
36682,36683,Henry V,1.0,1.0.4,Chorus,And monarchs to behold the swelling scene!
36683,36684,Henry V,1.0,1.0.5,Chorus,"Then should the warlike Harry, like himself,"
36684,36685,Henry V,1.0,1.0.6,Chorus,"Assume the port of Mars, and at his heels,"
36685,36686,Henry V,1.0,1.0.7,Chorus,"Leash'd in like hounds, should famine, sword and fire"
36686,36687,Henry V,1.0,1.0.8,Chorus,"Crouch for employment. But pardon, and gentles all,"
36687,36688,Henry V,1.0,1.0.9,Chorus,The flat unraised spirits that have dared
36688,36689,Henry V,1.0,1.0.10,Chorus,On this unworthy scaffold to bring forth
36689,36690,Henry V,1.0,1.0.11,Chorus,So great an object: can this cockpit hold
36690,36691,Henry V,1.0,1.0.12,Chorus,The vasty fields of France? or may we cram
36691,36692,Henry V,1.0,1.0.13,Chorus,Within this wooden O the very casques
36692,36693,Henry V,1.0,1.0.14,Chorus,That did affright the air at Agincourt?
36693,36694,Henry V,1.0,1.0.15,Chorus,"O, pardon! since a crooked figure may"
36694,36695,Henry V,1.0,1.0.16,Chorus,"Attest in little place a million,"
36695,36696,Henry V,1.0,1.0.17,Chorus,"And let us, ciphers to this great accompt,"
36696,36697,Henry V,1.0,1.0.18,Chorus,On your imaginary forces work.
36697,36698,Henry V,1.0,1.0.19,Chorus,Suppose within the girdle of these walls
36698,36699,Henry V,1.0,1.0.20,Chorus,"Are now confined two mighty monarchies,"
36699,36700,Henry V,1.0,1.0.21,Chorus,Whose high upreared and abutting fronts
36700,36701,Henry V,1.0,1.0.22,Chorus,The perilous narrow ocean parts asunder:
36701,36702,Henry V,1.0,1.0.23,Chorus,"Piece out our imperfections with your thoughts,"
36702,36703,Henry V,1.0,1.0.24,Chorus,"Into a thousand parts divide on man,"
36703,36704,Henry V,1.0,1.0.25,Chorus,"And make imaginary puissance,"
36704,36705,Henry V,1.0,1.0.26,Chorus,"Think when we talk of horses, that you see them"
36705,36706,Henry V,1.0,1.0.27,Chorus,"Printing their proud hoofs i' the receiving earth,"
36706,36707,Henry V,1.0,1.0.28,Chorus,"For 'tis your thoughts that now must deck our kings,"
36707,36708,Henry V,1.0,1.0.29,Chorus,"Carry them here and there, jumping o'er times,"
36708,36709,Henry V,1.0,1.0.30,Chorus,Turning the accomplishment of many years
36709,36710,Henry V,1.0,1.0.31,Chorus,"Into an hour-glass: for the which supply,"
36710,36711,Henry V,1.0,1.0.32,Chorus,"Admit me Chorus to this history,"
36711,36712,Henry V,1.0,1.0.33,Chorus,"Who prologue-like your humble patience pray,"
36712,36713,Henry V,1.0,1.0.34,Chorus,"Gently to hear, kindly to judge, our play."
36713,36714,Henry V,1.0,,Chorus,Exit
36714,36715,Henry V,1.0,,Chorus,SCENE I. London. An ante-chamber in the KING'S palace.
36715,36716,Henry V,1.0,,Chorus,"Enter the ARCHBISHOP OF CANTERBURY, and the BISHOP OF ELY"
36716,36717,Henry V,1.0,1.1.1,CANTERBURY,"My lord, I'll tell you, that self bill is urged,"
36717,36718,Henry V,1.0,1.1.2,CANTERBURY,Which in the eleventh year of the last king's reign
36718,36719,Henry V,1.0,1.1.3,CANTERBURY,"Was like, and had indeed against us pass'd,"
36719,36720,Henry V,1.0,1.1.4,CANTERBURY,But that the scambling and unquiet time
