,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
6188,6189,Henry VI Part 2,13.0,,SUFFOLK,ACT I
6189,6190,Henry VI Part 2,13.0,,SUFFOLK,SCENE I. London. The palace.
6190,6191,Henry VI Part 2,13.0,,SUFFOLK,"Flourish of trumpets: then hautboys. Enter KING  HENRY VI, GLOUCESTER, SALISBURY, WARWICK, and  CARDINAL, on the one side, QUEEN MARGARET, SUFFOLK, YORK, SOMERSET, and BUCKINGHAM, on the other"
6191,6192,Henry VI Part 2,1.0,1.1.1,SUFFOLK,As by your high imperial majesty
6192,6193,Henry VI Part 2,1.0,1.1.2,SUFFOLK,"I had in charge at my depart for France,"
6193,6194,Henry VI Part 2,1.0,1.1.3,SUFFOLK,"As procurator to your excellence,"
6194,6195,Henry VI Part 2,1.0,1.1.4,SUFFOLK,"To marry Princess Margaret for your grace,"
6195,6196,Henry VI Part 2,1.0,1.1.5,SUFFOLK,"So, in the famous ancient city, Tours,"
6196,6197,Henry VI Part 2,1.0,1.1.6,SUFFOLK,"In presence of the Kings of France and Sicil,"
6197,6198,Henry VI Part 2,1.0,1.1.7,SUFFOLK,"The Dukes of Orleans, Calaber, Bretagne and Alencon,"
6198,6199,Henry VI Part 2,1.0,1.1.8,SUFFOLK,"Seven earls, twelve barons and twenty reverend bishops,"
6199,6200,Henry VI Part 2,1.0,1.1.9,SUFFOLK,I have perform'd my task and was espoused:
6200,6201,Henry VI Part 2,1.0,1.1.10,SUFFOLK,"And humbly now upon my bended knee,"
6201,6202,Henry VI Part 2,1.0,1.1.11,SUFFOLK,"In sight of England and her lordly peers,"
6202,6203,Henry VI Part 2,1.0,1.1.12,SUFFOLK,Deliver up my title in the queen
6203,6204,Henry VI Part 2,1.0,1.1.13,SUFFOLK,"To your most gracious hands, that are the substance"
6204,6205,Henry VI Part 2,1.0,1.1.14,SUFFOLK,"Of that great shadow I did represent,"
6205,6206,Henry VI Part 2,1.0,1.1.15,SUFFOLK,"The happiest gift that ever marquess gave,"
6206,6207,Henry VI Part 2,1.0,1.1.16,SUFFOLK,The fairest queen that ever king received.
6207,6208,Henry VI Part 2,2.0,1.1.17,KING HENRY VI,"Suffolk, arise. Welcome, Queen Margaret:"
6208,6209,Henry VI Part 2,2.0,1.1.18,KING HENRY VI,I can express no kinder sign of love
6209,6210,Henry VI Part 2,2.0,1.1.19,KING HENRY VI,"Than this kind kiss. O Lord, that lends me life,"
6210,6211,Henry VI Part 2,2.0,1.1.20,KING HENRY VI,Lend me a heart replete with thankfulness!
6211,6212,Henry VI Part 2,2.0,1.1.21,KING HENRY VI,For thou hast given me in this beauteous face
6212,6213,Henry VI Part 2,2.0,1.1.22,KING HENRY VI,"A world of earthly blessings to my soul,"
6213,6214,Henry VI Part 2,2.0,1.1.23,KING HENRY VI,If sympathy of love unite our thoughts.
6214,6215,Henry VI Part 2,3.0,1.1.24,QUEEN MARGARET,"Great King of England and my gracious lord,"
6215,6216,Henry VI Part 2,3.0,1.1.25,QUEEN MARGARET,"The mutual conference that my mind hath had,"
6216,6217,Henry VI Part 2,3.0,1.1.26,QUEEN MARGARET,"By day, by night, waking and in my dreams,"
6217,6218,Henry VI Part 2,3.0,1.1.27,QUEEN MARGARET,"In courtly company or at my beads,"
6218,6219,Henry VI Part 2,3.0,1.1.28,QUEEN MARGARET,"With you, mine alder-liefest sovereign,"
6219,6220,Henry VI Part 2,3.0,1.1.29,QUEEN MARGARET,Makes me the bolder to salute my king
6220,6221,Henry VI Part 2,3.0,1.1.30,QUEEN MARGARET,"With ruder terms, such as my wit affords"
6221,6222,Henry VI Part 2,3.0,1.1.31,QUEEN MARGARET,And over-joy of heart doth minister.
6222,6223,Henry VI Part 2,4.0,1.1.32,KING HENRY VI,"Her sight did ravish, but her grace in speech,"
6223,6224,Henry VI Part 2,4.0,1.1.33,KING HENRY VI,"Her words y-clad with wisdom's majesty,"
6224,6225,Henry VI Part 2,4.0,1.1.34,KING HENRY VI,"Makes me from wondering fall to weeping joys,"
6225,6226,Henry VI Part 2,4.0,1.1.35,KING HENRY VI,Such is the fulness of my heart's content.
6226,6227,Henry VI Part 2,4.0,1.1.36,KING HENRY VI,"Lords, with one cheerful voice welcome my love."
6227,6228,Henry VI Part 2,5.0,1.1.37,ALL,"[Kneeling]  Long live Queen Margaret, England's"
6228,6229,Henry VI Part 2,5.0,1.1.38,ALL,happiness!
6229,6230,Henry VI Part 2,6.0,1.1.39,QUEEN MARGARET,We thank you all.
6230,6231,Henry VI Part 2,6.0,,QUEEN MARGARET,Flourish
6231,6232,Henry VI Part 2,7.0,1.1.40,SUFFOLK,"My lord protector, so it please your grace,"
6232,6233,Henry VI Part 2,7.0,1.1.41,SUFFOLK,Here are the articles of contracted peace
6233,6234,Henry VI Part 2,7.0,1.1.42,SUFFOLK,"Between our sovereign and the French king Charles,"
6234,6235,Henry VI Part 2,7.0,1.1.43,SUFFOLK,For eighteen months concluded by consent.
6235,6236,Henry VI Part 2,8.0,1.1.44,GLOUCESTER,"[Reads]  'Imprimis, it is agreed between the French"
6236,6237,Henry VI Part 2,8.0,1.1.45,GLOUCESTER,"king Charles, and William de la Pole, Marquess of"
6237,6238,Henry VI Part 2,8.0,1.1.46,GLOUCESTER,"Suffolk, ambassador for Henry King of England, that"
6238,6239,Henry VI Part 2,8.0,1.1.47,GLOUCESTER,"the said Henry shall espouse the Lady Margaret,"
6239,6240,Henry VI Part 2,8.0,1.1.48,GLOUCESTER,"daughter unto Reignier King of Naples, Sicilia and"
6240,6241,Henry VI Part 2,8.0,1.1.49,GLOUCESTER,"Jerusalem, and crown her Queen of England ere the"
6241,6242,Henry VI Part 2,8.0,1.1.50,GLOUCESTER,"thirtieth of May next ensuing. Item, that the duchy"
6242,6243,Henry VI Part 2,8.0,1.1.51,GLOUCESTER,of Anjou and the county of Maine shall be released
6243,6244,Henry VI Part 2,8.0,1.1.52,GLOUCESTER,and delivered to the king her father'--
6244,6245,Henry VI Part 2,8.0,,GLOUCESTER,Lets the paper fall
6245,6246,Henry VI Part 2,9.0,1.1.53,KING HENRY VI,"Uncle, how now!"
6246,6247,Henry VI Part 2,10.0,1.1.54,GLOUCESTER,"Pardon me, gracious lord,"
6247,6248,Henry VI Part 2,10.0,1.1.55,GLOUCESTER,Some sudden qualm hath struck me at the heart
6248,6249,Henry VI Part 2,10.0,1.1.56,GLOUCESTER,"And dimm'd mine eyes, that I can read no further."
