,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
40071,40072,Henry VIII,83.0,,Chorus,ACT I
40072,40073,Henry VIII,83.0,,Chorus,PROLOGUE
40073,40074,Henry VIII,83.0,1.0.1,Chorus,"I come no more to make you laugh: things now,"
40074,40075,Henry VIII,83.0,1.0.2,Chorus,"That bear a weighty and a serious brow,"
40075,40076,Henry VIII,83.0,1.0.3,Chorus,"Sad, high, and working, full of state and woe,"
40076,40077,Henry VIII,83.0,1.0.4,Chorus,"Such noble scenes as draw the eye to flow,"
40077,40078,Henry VIII,83.0,1.0.5,Chorus,"We now present. Those that can pity, here"
40078,40079,Henry VIII,83.0,1.0.6,Chorus,"May, if they think it well, let fall a tear,"
40079,40080,Henry VIII,83.0,1.0.7,Chorus,The subject will deserve it. Such as give
40080,40081,Henry VIII,83.0,1.0.8,Chorus,"Their money out of hope they may believe,"
40081,40082,Henry VIII,83.0,1.0.9,Chorus,May here find truth too. Those that come to see
40082,40083,Henry VIII,83.0,1.0.10,Chorus,"Only a show or two, and so agree"
40083,40084,Henry VIII,83.0,1.0.11,Chorus,"The play may pass, if they be still and willing,"
40084,40085,Henry VIII,83.0,1.0.12,Chorus,I'll undertake may see away their shilling
40085,40086,Henry VIII,83.0,1.0.13,Chorus,Richly in two short hours. Only they
40086,40087,Henry VIII,83.0,1.0.14,Chorus,"That come to hear a merry bawdy play,"
40087,40088,Henry VIII,83.0,1.0.15,Chorus,"A noise of targets, or to see a fellow"
40088,40089,Henry VIII,83.0,1.0.16,Chorus,"In a long motley coat guarded with yellow,"
40089,40090,Henry VIII,83.0,1.0.17,Chorus,"Will be deceived, for, gentle hearers, know,"
40090,40091,Henry VIII,83.0,1.0.18,Chorus,To rank our chosen truth with such a show
40091,40092,Henry VIII,83.0,1.0.19,Chorus,"As fool and fight is, beside forfeiting"
40092,40093,Henry VIII,83.0,1.0.20,Chorus,"Our own brains, and the opinion that we bring,"
40093,40094,Henry VIII,83.0,1.0.21,Chorus,"To make that only true we now intend,"
40094,40095,Henry VIII,83.0,1.0.22,Chorus,Will leave us never an understanding friend.
40095,40096,Henry VIII,83.0,1.0.23,Chorus,"Therefore, for goodness' sake, and as you are known"
40096,40097,Henry VIII,83.0,1.0.24,Chorus,"The first and happiest hearers of the town,"
40097,40098,Henry VIII,83.0,1.0.25,Chorus,"Be sad, as we would make ye: think ye see"
40098,40099,Henry VIII,83.0,1.0.26,Chorus,The very persons of our noble story
40099,40100,Henry VIII,83.0,1.0.27,Chorus,"As they were living, think you see them great,"
40100,40101,Henry VIII,83.0,1.0.28,Chorus,And follow'd with the general throng and sweat
40101,40102,Henry VIII,83.0,1.0.29,Chorus,"Of thousand friends, then in a moment, see"
40102,40103,Henry VIII,83.0,1.0.30,Chorus,How soon this mightiness meets misery:
40103,40104,Henry VIII,83.0,1.0.31,Chorus,"And, if you can be merry then, I'll say"
40104,40105,Henry VIII,83.0,1.0.32,Chorus,A man may weep upon his wedding-day.
40105,40106,Henry VIII,83.0,1.0.32,Chorus,SCENE I. London. An ante-chamber in the palace.
40106,40107,Henry VIII,83.0,1.0.32,Chorus,"Enter NORFOLK at one door, at the other, BUCKINGHAM and ABERGAVENNY"
40107,40108,Henry VIII,1.0,1.1.1,BUCKINGHAM,"Good morrow, and well met. How have ye done"
40108,40109,Henry VIII,1.0,1.1.2,BUCKINGHAM,Since last we saw in France?
40109,40110,Henry VIII,2.0,1.1.3,NORFOLK,"I thank your grace,"
40110,40111,Henry VIII,2.0,1.1.4,NORFOLK,"Healthful, and ever since a fresh admirer"
40111,40112,Henry VIII,2.0,1.1.5,NORFOLK,Of what I saw there.
40112,40113,Henry VIII,3.0,1.1.6,BUCKINGHAM,An untimely ague
40113,40114,Henry VIII,3.0,1.1.7,BUCKINGHAM,Stay'd me a prisoner in my chamber when
40114,40115,Henry VIII,3.0,1.1.8,BUCKINGHAM,"Those suns of glory, those two lights of men,"
40115,40116,Henry VIII,3.0,1.1.9,BUCKINGHAM,Met in the vale of Andren.
40116,40117,Henry VIII,4.0,1.1.10,NORFOLK,'Twixt Guynes and Arde:
40117,40118,Henry VIII,4.0,1.1.11,NORFOLK,"I was then present, saw them salute on horseback,"
40118,40119,Henry VIII,4.0,1.1.12,NORFOLK,"Beheld them, when they lighted, how they clung"
40119,40120,Henry VIII,4.0,1.1.13,NORFOLK,"In their embracement, as they grew together,"
40120,40121,Henry VIII,4.0,1.1.14,NORFOLK,"Which had they, what four throned ones could have weigh'd"
40121,40122,Henry VIII,4.0,1.1.15,NORFOLK,Such a compounded one?
40122,40123,Henry VIII,5.0,1.1.16,BUCKINGHAM,All the whole time
40123,40124,Henry VIII,5.0,1.1.17,BUCKINGHAM,I was my chamber's prisoner.
40124,40125,Henry VIII,6.0,1.1.18,NORFOLK,Then you lost
40125,40126,Henry VIII,6.0,1.1.19,NORFOLK,"The view of earthly glory: men might say,"
40126,40127,Henry VIII,6.0,1.1.20,NORFOLK,"Till this time pomp was single, but now married"
40127,40128,Henry VIII,6.0,1.1.21,NORFOLK,To one above itself. Each following day
40128,40129,Henry VIII,6.0,1.1.22,NORFOLK,"Became the next day's master, till the last"
40129,40130,Henry VIII,6.0,1.1.23,NORFOLK,"Made former wonders its. To-day the French,"
40130,40131,Henry VIII,6.0,1.1.24,NORFOLK,"All clinquant, all in gold, like heathen gods,"
40131,40132,Henry VIII,6.0,1.1.25,NORFOLK,"Shone down the English, and, to-morrow, they"
40132,40133,Henry VIII,6.0,1.1.26,NORFOLK,Made Britain India: every man that stood
40133,40134,Henry VIII,6.0,1.1.27,NORFOLK,Show'd like a mine. Their dwarfish pages were
40134,40135,Henry VIII,6.0,1.1.28,NORFOLK,"As cherubins, all guilt: the madams too,"
40135,40136,Henry VIII,6.0,1.1.29,NORFOLK,"Not used to toil, did almost sweat to bear"
40136,40137,Henry VIII,6.0,1.1.30,NORFOLK,"The pride upon them, that their very labour"
40137,40138,Henry VIII,6.0,1.1.31,NORFOLK,Was to them as a painting: now this masque
40138,40139,Henry VIII,6.0,1.1.32,NORFOLK,"Was cried incomparable, and the ensuing night"
40139,40140,Henry VIII,6.0,1.1.33,NORFOLK,"Made it a fool and beggar. The two kings,"
40140,40141,Henry VIII,6.0,1.1.34,NORFOLK,"Equal in lustre, were now best, now worst,"
40141,40142,Henry VIII,6.0,1.1.35,NORFOLK,"As presence did present them, him in eye,"
40142,40143,Henry VIII,6.0,1.1.36,NORFOLK,"Still him in praise: and, being present both"
40143,40144,Henry VIII,6.0,1.1.37,NORFOLK,"'Twas said they saw but one, and no discerner"
40144,40145,Henry VIII,6.0,1.1.38,NORFOLK,Durst wag his tongue in censure. When these suns--
40145,40146,Henry VIII,6.0,1.1.39,NORFOLK,For so they phrase 'em--by their heralds challenged
40146,40147,Henry VIII,6.0,1.1.40,NORFOLK,"The noble spirits to arms, they did perform"
40147,40148,Henry VIII,6.0,1.1.41,NORFOLK,"Beyond thought's compass, that former fabulous story,"
40148,40149,Henry VIII,6.0,1.1.42,NORFOLK,"Being now seen possible enough, got credit,"
40149,40150,Henry VIII,6.0,1.1.43,NORFOLK,That Bevis was believed.
40150,40151,Henry VIII,7.0,1.1.44,BUCKINGHAM,"O, you go far."
40151,40152,Henry VIII,8.0,1.1.45,NORFOLK,As I belong to worship and affect
40152,40153,Henry VIII,8.0,1.1.46,NORFOLK,"In honour honesty, the tract of every thing"
40153,40154,Henry VIII,8.0,1.1.47,NORFOLK,"Would by a good discourser lose some life,"
40154,40155,Henry VIII,8.0,1.1.48,NORFOLK,"Which action's self was tongue to. All was royal,"
40155,40156,Henry VIII,8.0,1.1.49,NORFOLK,To the disposing of it nought rebell'd.
40156,40157,Henry VIII,8.0,1.1.50,NORFOLK,"Order gave each thing view, the office did"
40157,40158,Henry VIII,8.0,1.1.51,NORFOLK,Distinctly his full function.
40158,40159,Henry VIII,9.0,1.1.52,BUCKINGHAM,"Who did guide,"
40159,40160,Henry VIII,9.0,1.1.53,BUCKINGHAM,"I mean, who set the body and the limbs"
40160,40161,Henry VIII,9.0,1.1.54,BUCKINGHAM,"Of this great sport together, as you guess?"
40161,40162,Henry VIII,10.0,1.1.55,NORFOLK,"One, certes, that promises no element"
40162,40163,Henry VIII,10.0,1.1.56,NORFOLK,In such a business.
40163,40164,Henry VIII,11.0,1.1.57,BUCKINGHAM,"I pray you, who, my lord?"
40164,40165,Henry VIII,12.0,1.1.58,NORFOLK,All this was order'd by the good discretion
40165,40166,Henry VIII,12.0,1.1.59,NORFOLK,Of the right reverend Cardinal of York.
40166,40167,Henry VIII,13.0,1.1.60,BUCKINGHAM,The devil speed him! no man's pie is freed
40167,40168,Henry VIII,13.0,1.1.61,BUCKINGHAM,From his ambitious finger. What had he
40168,40169,Henry VIII,13.0,1.1.62,BUCKINGHAM,To do in these fierce vanities? I wonder
40169,40170,Henry VIII,13.0,1.1.63,BUCKINGHAM,That such a keech can with his very bulk
40170,40171,Henry VIII,13.0,1.1.64,BUCKINGHAM,Take up the rays o' the beneficial sun
40171,40172,Henry VIII,13.0,1.1.65,BUCKINGHAM,And keep it from the earth.
40172,40173,Henry VIII,14.0,1.1.66,NORFOLK,"Surely, sir,"
40173,40174,Henry VIII,14.0,1.1.67,NORFOLK,"There's in him stuff that puts him to these ends,"
40174,40175,Henry VIII,14.0,1.1.68,NORFOLK,"For, being not propp'd by ancestry, whose grace"
40175,40176,Henry VIII,14.0,1.1.69,NORFOLK,"Chalks successors their way, nor call'd upon"
40176,40177,Henry VIII,14.0,1.1.70,NORFOLK,"For high feats done to the crown, neither allied"
40177,40178,Henry VIII,14.0,1.1.71,NORFOLK,"For eminent assistants, but, spider-like,"
40178,40179,Henry VIII,14.0,1.1.72,NORFOLK,"Out of his self-drawing web, he gives us note,"
40179,40180,Henry VIII,14.0,1.1.73,NORFOLK,The force of his own merit makes his way
40180,40181,Henry VIII,14.0,1.1.74,NORFOLK,"A gift that heaven gives for him, which buys"
40181,40182,Henry VIII,14.0,1.1.75,NORFOLK,A place next to the king.
40182,40183,Henry VIII,15.0,1.1.76,ABERGAVENNY,I cannot tell
40183,40184,Henry VIII,15.0,1.1.77,ABERGAVENNY,"What heaven hath given him,--let some graver eye"
40184,40185,Henry VIII,15.0,1.1.78,ABERGAVENNY,"Pierce into that, but I can see his pride"
40185,40186,Henry VIII,15.0,1.1.79,ABERGAVENNY,"Peep through each part of him: whence has he that,"
40186,40187,Henry VIII,15.0,1.1.80,ABERGAVENNY,"If not from hell? the devil is a niggard,"
40187,40188,Henry VIII,15.0,1.1.81,ABERGAVENNY,"Or has given all before, and he begins"
40188,40189,Henry VIII,15.0,1.1.82,ABERGAVENNY,A new hell in himself.
40189,40190,Henry VIII,16.0,1.1.83,BUCKINGHAM,"Why the devil,"
40190,40191,Henry VIII,16.0,1.1.84,BUCKINGHAM,"Upon this French going out, took he upon him,"
40191,40192,Henry VIII,16.0,1.1.85,BUCKINGHAM,"Without the privity o' the king, to appoint"
40192,40193,Henry VIII,16.0,1.1.86,BUCKINGHAM,Who should attend on him? He makes up the file
40193,40194,Henry VIII,16.0,1.1.87,BUCKINGHAM,"Of all the gentry, for the most part such"
40194,40195,Henry VIII,16.0,1.1.88,BUCKINGHAM,To whom as great a charge as little honour
40195,40196,Henry VIII,16.0,1.1.89,BUCKINGHAM,"He meant to lay upon: and his own letter,"
40196,40197,Henry VIII,16.0,1.1.90,BUCKINGHAM,"The honourable board of council out,"
40197,40198,Henry VIII,16.0,1.1.91,BUCKINGHAM,Must fetch him in the papers.
40198,40199,Henry VIII,17.0,1.1.92,ABERGAVENNY,I do know
40199,40200,Henry VIII,17.0,1.1.93,ABERGAVENNY,"Kinsmen of mine, three at the least, that have"
40200,40201,Henry VIII,17.0,1.1.94,ABERGAVENNY,"By this so sickened their estates, that never"
40201,40202,Henry VIII,17.0,1.1.95,ABERGAVENNY,They shall abound as formerly.
40202,40203,Henry VIII,18.0,1.1.96,BUCKINGHAM,"O, many"
40203,40204,Henry VIII,18.0,1.1.97,BUCKINGHAM,Have broke their backs with laying manors on 'em
40204,40205,Henry VIII,18.0,1.1.98,BUCKINGHAM,For this great journey. What did this vanity
40205,40206,Henry VIII,18.0,1.1.99,BUCKINGHAM,But minister communication of
40206,40207,Henry VIII,18.0,1.1.100,BUCKINGHAM,A most poor issue?
40207,40208,Henry VIII,19.0,1.1.101,NORFOLK,"Grievingly I think,"
40208,40209,Henry VIII,19.0,1.1.102,NORFOLK,The peace between the French and us not values
40209,40210,Henry VIII,19.0,1.1.103,NORFOLK,The cost that did conclude it.
40210,40211,Henry VIII,20.0,1.1.104,BUCKINGHAM,"Every man,"
40211,40212,Henry VIII,20.0,1.1.105,BUCKINGHAM,"After the hideous storm that follow'd, was"
40212,40213,Henry VIII,20.0,1.1.106,BUCKINGHAM,"A thing inspired, and, not consulting, broke"
40213,40214,Henry VIII,20.0,1.1.107,BUCKINGHAM,"Into a general prophecy, That this tempest,"
40214,40215,Henry VIII,20.0,1.1.108,BUCKINGHAM,"Dashing the garment of this peace, aboded"
40215,40216,Henry VIII,20.0,1.1.109,BUCKINGHAM,The sudden breach on't.
40216,40217,Henry VIII,21.0,1.1.110,NORFOLK,"Which is budded out,"
40217,40218,Henry VIII,21.0,1.1.111,NORFOLK,"For France hath flaw'd the league, and hath attach'd"
40218,40219,Henry VIII,21.0,1.1.112,NORFOLK,Our merchants' goods at Bourdeaux.
40219,40220,Henry VIII,22.0,1.1.113,ABERGAVENNY,Is it therefore
40220,40221,Henry VIII,22.0,1.1.114,ABERGAVENNY,The ambassador is silenced?
40221,40222,Henry VIII,23.0,1.1.115,NORFOLK,"Marry, is't."
40222,40223,Henry VIII,24.0,1.1.116,ABERGAVENNY,"A proper title of a peace, and purchased"
40223,40224,Henry VIII,24.0,1.1.117,ABERGAVENNY,At a superfluous rate!
40224,40225,Henry VIII,25.0,1.1.118,BUCKINGHAM,"Why, all this business"
40225,40226,Henry VIII,25.0,1.1.119,BUCKINGHAM,Our reverend cardinal carried.
40226,40227,Henry VIII,26.0,1.1.120,NORFOLK,"Like it your grace,"
40227,40228,Henry VIII,26.0,1.1.121,NORFOLK,The state takes notice of the private difference
40228,40229,Henry VIII,26.0,1.1.122,NORFOLK,Betwixt you and the cardinal. I advise you--
40229,40230,Henry VIII,26.0,1.1.123,NORFOLK,And take it from a heart that wishes towards you
40230,40231,Henry VIII,26.0,1.1.124,NORFOLK,Honour and plenteous safety--that you read
40231,40232,Henry VIII,26.0,1.1.125,NORFOLK,The cardinal's malice and his potency
40232,40233,Henry VIII,26.0,1.1.126,NORFOLK,"Together, to consider further that"
40233,40234,Henry VIII,26.0,1.1.127,NORFOLK,What his high hatred would effect wants not
40234,40235,Henry VIII,26.0,1.1.128,NORFOLK,"A minister in his power. You know his nature,"
40235,40236,Henry VIII,26.0,1.1.129,NORFOLK,"That he's revengeful, and I know his sword"
40236,40237,Henry VIII,26.0,1.1.130,NORFOLK,"Hath a sharp edge: it's long and, 't may be said,"
40237,40238,Henry VIII,26.0,1.1.131,NORFOLK,"It reaches far, and where 'twill not extend,"
40238,40239,Henry VIII,26.0,1.1.132,NORFOLK,"Thither he darts it. Bosom up my counsel,"
40239,40240,Henry VIII,26.0,1.1.133,NORFOLK,"You'll find it wholesome. Lo, where comes that rock"
40240,40241,Henry VIII,26.0,1.1.134,NORFOLK,That I advise your shunning.
40241,40242,Henry VIII,26.0,,NORFOLK,"Enter CARDINAL WOLSEY, the purse borne before him,  certain of the Guard, and two Secretaries with  papers. CARDINAL WOLSEY in his passage fixeth his  eye on BUCKINGHAM, and BUCKINGHAM on him, both full of disdain"
40242,40243,Henry VIII,27.0,1.1.135,CARDINAL WOLSEY,"The Duke of Buckingham's surveyor, ha?"
40243,40244,Henry VIII,27.0,1.1.136,CARDINAL WOLSEY,Where's his examination?
40244,40245,Henry VIII,28.0,1.1.137,First Secretary,"Here, so please you."
40245,40246,Henry VIII,29.0,1.1.138,CARDINAL WOLSEY,Is he in person ready?
40246,40247,Henry VIII,30.0,1.1.139,First Secretary,"Ay, please your grace."
40247,40248,Henry VIII,31.0,1.1.140,CARDINAL WOLSEY,"Well, we shall then know more, and Buckingham"
40248,40249,Henry VIII,31.0,1.1.141,CARDINAL WOLSEY,Shall lessen this big look.
40249,40250,Henry VIII,31.0,,CARDINAL WOLSEY,Exeunt CARDINAL WOLSEY and his Train
40250,40251,Henry VIII,32.0,1.1.142,BUCKINGHAM,"This butcher's cur is venom-mouth'd, and I"
40251,40252,Henry VIII,32.0,1.1.143,BUCKINGHAM,"Have not the power to muzzle him, therefore best"
40252,40253,Henry VIII,32.0,1.1.144,BUCKINGHAM,Not wake him in his slumber. A beggar's book
40253,40254,Henry VIII,32.0,1.1.145,BUCKINGHAM,Outworths a noble's blood.
40254,40255,Henry VIII,33.0,1.1.146,NORFOLK,"What, are you chafed?"
40255,40256,Henry VIII,33.0,1.1.147,NORFOLK,"Ask God for temperance, that's the appliance only"
40256,40257,Henry VIII,33.0,1.1.148,NORFOLK,Which your disease requires.
40257,40258,Henry VIII,34.0,1.1.149,BUCKINGHAM,I read in's looks
40258,40259,Henry VIII,34.0,1.1.150,BUCKINGHAM,"Matter against me, and his eye reviled"
40259,40260,Henry VIII,34.0,1.1.151,BUCKINGHAM,"Me, as his abject object: at this instant"
40260,40261,Henry VIII,34.0,1.1.152,BUCKINGHAM,"He bores me with some trick: he's gone to the king,"
40261,40262,Henry VIII,34.0,1.1.153,BUCKINGHAM,I'll follow and outstare him.
40262,40263,Henry VIII,35.0,1.1.154,NORFOLK,"Stay, my lord,"
40263,40264,Henry VIII,35.0,1.1.155,NORFOLK,And let your reason with your choler question
40264,40265,Henry VIII,35.0,1.1.156,NORFOLK,What 'tis you go about: to climb steep hills
40265,40266,Henry VIII,35.0,1.1.157,NORFOLK,Requires slow pace at first: anger is like
40266,40267,Henry VIII,35.0,1.1.158,NORFOLK,"A full-hot horse, who being allow'd his way,"
40267,40268,Henry VIII,35.0,1.1.159,NORFOLK,Self-mettle tires him. Not a man in England
40268,40269,Henry VIII,35.0,1.1.160,NORFOLK,Can advise me like you: be to yourself
40269,40270,Henry VIII,35.0,1.1.161,NORFOLK,As you would to your friend.
40270,40271,Henry VIII,36.0,1.1.162,BUCKINGHAM,"I'll to the king,"
40271,40272,Henry VIII,36.0,1.1.163,BUCKINGHAM,And from a mouth of honour quite cry down
40272,40273,Henry VIII,36.0,1.1.164,BUCKINGHAM,"This Ipswich fellow's insolence, or proclaim"
40273,40274,Henry VIII,36.0,1.1.165,BUCKINGHAM,There's difference in no persons.
