,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
46256,46257,Julius Caesar,26.0,,BASTARD,ACT I
46257,46258,Julius Caesar,26.0,,BASTARD,SCENE I. Rome. A street.
46258,46259,Julius Caesar,26.0,,BASTARD,"Enter FLAVIUS, MARULLUS, and certain Commoners"
46259,46260,Julius Caesar,1.0,1.1.1,FLAVIUS,"Hence! home, you idle creatures get you home:"
46260,46261,Julius Caesar,1.0,1.1.2,FLAVIUS,"Is this a holiday? what! know you not,"
46261,46262,Julius Caesar,1.0,1.1.3,FLAVIUS,"Being mechanical, you ought not walk"
46262,46263,Julius Caesar,1.0,1.1.4,FLAVIUS,Upon a labouring day without the sign
46263,46264,Julius Caesar,1.0,1.1.5,FLAVIUS,"Of your profession? Speak, what trade art thou?"
46264,46265,Julius Caesar,2.0,1.1.6,First Commoner,"Why, sir, a carpenter."
46265,46266,Julius Caesar,3.0,1.1.7,MARULLUS,Where is thy leather apron and thy rule?
46266,46267,Julius Caesar,3.0,1.1.8,MARULLUS,What dost thou with thy best apparel on?
46267,46268,Julius Caesar,3.0,1.1.9,MARULLUS,"You, sir, what trade are you?"
46268,46269,Julius Caesar,4.0,1.1.10,Second Commoner,"Truly, sir, in respect of a fine workman, I am but,"
46269,46270,Julius Caesar,4.0,1.1.11,Second Commoner,"as you would say, a cobbler."
46270,46271,Julius Caesar,5.0,1.1.12,MARULLUS,But what trade art thou? answer me directly.
46271,46272,Julius Caesar,6.0,1.1.13,Second Commoner,"A trade, sir, that, I hope, I may use with a safe"
46272,46273,Julius Caesar,6.0,1.1.14,Second Commoner,"conscience, which is, indeed, sir, a mender of bad soles."
46273,46274,Julius Caesar,7.0,1.1.15,MARULLUS,"What trade, thou knave? thou naughty knave, what trade?"
46274,46275,Julius Caesar,8.0,1.1.16,Second Commoner,"Nay, I beseech you, sir, be not out with me: yet,"
46275,46276,Julius Caesar,8.0,1.1.17,Second Commoner,"if you be out, sir, I can mend you."
46276,46277,Julius Caesar,9.0,1.1.18,MARULLUS,"What meanest thou by that? mend me, thou saucy fellow!"
46277,46278,Julius Caesar,10.0,1.1.19,Second Commoner,"Why, sir, cobble you."
46278,46279,Julius Caesar,11.0,1.1.20,FLAVIUS,"Thou art a cobbler, art thou?"
46279,46280,Julius Caesar,12.0,1.1.21,Second Commoner,"Truly, sir, all that I live by is with the awl: I"
46280,46281,Julius Caesar,12.0,1.1.22,Second Commoner,"meddle with no tradesman's matters, nor women's"
46281,46282,Julius Caesar,12.0,1.1.23,Second Commoner,"matters, but with awl. I am, indeed, sir, a surgeon"
46282,46283,Julius Caesar,12.0,1.1.24,Second Commoner,"to old shoes, when they are in great danger, I"
46283,46284,Julius Caesar,12.0,1.1.25,Second Commoner,recover them. As proper men as ever trod upon
46284,46285,Julius Caesar,12.0,1.1.26,Second Commoner,neat's leather have gone upon my handiwork.
46285,46286,Julius Caesar,13.0,1.1.27,FLAVIUS,But wherefore art not in thy shop today?
46286,46287,Julius Caesar,13.0,1.1.28,FLAVIUS,Why dost thou lead these men about the streets?
46287,46288,Julius Caesar,14.0,1.1.29,Second Commoner,"Truly, sir, to wear out their shoes, to get myself"
