,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
43490,43491,King John,11.0,5.5.97,KING HENRY VIII,ACT I
43491,43492,King John,11.0,5.5.97,KING HENRY VIII,SCENE I. KING JOHN'S palace.
43492,43493,King John,11.0,,KING HENRY VIII,"Enter KING JOHN, QUEEN ELINOR, PEMBROKE, ESSEX, SALISBURY, and others, with CHATILLON"
43493,43494,King John,1.0,1.1.1,KING JOHN,"Now, say, Chatillon, what would France with us?"
43494,43495,King John,2.0,1.1.2,CHATILLON,"Thus, after greeting, speaks the King of France"
43495,43496,King John,2.0,1.1.3,CHATILLON,"In my behavior to the majesty,"
43496,43497,King John,2.0,1.1.4,CHATILLON,"The borrow'd majesty, of England here."
43497,43498,King John,3.0,1.1.5,QUEEN ELINOR,A strange beginning: 'borrow'd majesty!'
43498,43499,King John,4.0,1.1.6,KING JOHN,"Silence, good mother, hear the embassy."
43499,43500,King John,5.0,1.1.7,CHATILLON,"Philip of France, in right and true behalf"
43500,43501,King John,5.0,1.1.8,CHATILLON,"Of thy deceased brother Geffrey's son,"
43501,43502,King John,5.0,1.1.9,CHATILLON,"Arthur Plantagenet, lays most lawful claim"
43502,43503,King John,5.0,1.1.10,CHATILLON,"To this fair island and the territories,"
43503,43504,King John,5.0,1.1.11,CHATILLON,"To Ireland, Poictiers, Anjou, Touraine, Maine,"
43504,43505,King John,5.0,1.1.12,CHATILLON,Desiring thee to lay aside the sword
43505,43506,King John,5.0,1.1.13,CHATILLON,"Which sways usurpingly these several titles,"
43506,43507,King John,5.0,1.1.14,CHATILLON,"And put these same into young Arthur's hand,"
43507,43508,King John,5.0,1.1.15,CHATILLON,Thy nephew and right royal sovereign.
43508,43509,King John,6.0,1.1.16,KING JOHN,What follows if we disallow of this?
43509,43510,King John,7.0,1.1.17,CHATILLON,"The proud control of fierce and bloody war,"
43510,43511,King John,7.0,1.1.18,CHATILLON,To enforce these rights so forcibly withheld.
43511,43512,King John,8.0,1.1.19,KING JOHN,"Here have we war for war and blood for blood,"
43512,43513,King John,8.0,1.1.20,KING JOHN,Controlment for controlment: so answer France.
43513,43514,King John,9.0,1.1.21,CHATILLON,"Then take my king's defiance from my mouth,"
43514,43515,King John,9.0,1.1.22,CHATILLON,The farthest limit of my embassy.
43515,43516,King John,10.0,1.1.23,KING JOHN,"Bear mine to him, and so depart in peace:"
43516,43517,King John,10.0,1.1.24,KING JOHN,"Be thou as lightning in the eyes of France,"
43517,43518,King John,10.0,1.1.25,KING JOHN,"For ere thou canst report I will be there,"
43518,43519,King John,10.0,1.1.26,KING JOHN,The thunder of my cannon shall be heard:
43519,43520,King John,10.0,1.1.27,KING JOHN,So hence! Be thou the trumpet of our wrath
43520,43521,King John,10.0,1.1.28,KING JOHN,And sullen presage of your own decay.
43521,43522,King John,10.0,1.1.29,KING JOHN,An honourable conduct let him have:
43522,43523,King John,10.0,1.1.30,KING JOHN,"Pembroke, look to 't. Farewell, Chatillon."
43523,43524,King John,10.0,,KING JOHN,Exeunt CHATILLON and PEMBROKE
43524,43525,King John,11.0,1.1.31,QUEEN ELINOR,"What now, my son! have I not ever said"
