,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
49027,49028,King Lear,37.0,,OCTAVIUS,ACT I
49028,49029,King Lear,37.0,,OCTAVIUS,SCENE I. King Lear's palace.
49029,49030,King Lear,37.0,,OCTAVIUS,"Enter KENT, GLOUCESTER, and EDMUND"
49030,49031,King Lear,1.0,1.1.1,KENT,I thought the king had more affected the Duke of
49031,49032,King Lear,1.0,1.1.2,KENT,Albany than Cornwall.
49032,49033,King Lear,2.0,1.1.3,GLOUCESTER,"It did always seem so to us: but now, in the"
49033,49034,King Lear,2.0,1.1.4,GLOUCESTER,"division of the kingdom, it appears not which of"
49034,49035,King Lear,2.0,1.1.5,GLOUCESTER,"the dukes he values most, for equalities are so"
49035,49036,King Lear,2.0,1.1.6,GLOUCESTER,"weighed, that curiosity in neither can make choice"
49036,49037,King Lear,2.0,1.1.7,GLOUCESTER,of either's moiety.
49037,49038,King Lear,3.0,1.1.8,KENT,"Is not this your son, my lord?"
49038,49039,King Lear,4.0,1.1.9,GLOUCESTER,"His breeding, sir, hath been at my charge: I have"
49039,49040,King Lear,4.0,1.1.10,GLOUCESTER,"so often blushed to acknowledge him, that now I am"
49040,49041,King Lear,4.0,1.1.11,GLOUCESTER,brazed to it.
49041,49042,King Lear,5.0,1.1.12,KENT,I cannot conceive you.
49042,49043,King Lear,6.0,1.1.13,GLOUCESTER,"Sir, this young fellow's mother could: whereupon"
49043,49044,King Lear,6.0,1.1.14,GLOUCESTER,"she grew round-wombed, and had, indeed, sir, a son"
49044,49045,King Lear,6.0,1.1.15,GLOUCESTER,for her cradle ere she had a husband for her bed.
49045,49046,King Lear,6.0,1.1.16,GLOUCESTER,Do you smell a fault?
49046,49047,King Lear,7.0,1.1.17,KENT,"I cannot wish the fault undone, the issue of it"
49047,49048,King Lear,7.0,1.1.18,KENT,being so proper.
49048,49049,King Lear,8.0,1.1.19,GLOUCESTER,"But I have, sir, a son by order of law, some year"
49049,49050,King Lear,8.0,1.1.20,GLOUCESTER,"elder than this, who yet is no dearer in my account:"
49050,49051,King Lear,8.0,1.1.21,GLOUCESTER,though this knave came something saucily into the
49051,49052,King Lear,8.0,1.1.22,GLOUCESTER,"world before he was sent for, yet was his mother"
49052,49053,King Lear,8.0,1.1.23,GLOUCESTER,"fair, there was good sport at his making, and the"
49053,49054,King Lear,8.0,1.1.24,GLOUCESTER,whoreson must be acknowledged. Do you know this
49054,49055,King Lear,8.0,1.1.25,GLOUCESTER,"noble gentleman, Edmund?"
49055,49056,King Lear,9.0,1.1.26,EDMUND,"No, my lord."
49056,49057,King Lear,10.0,1.1.27,GLOUCESTER,My lord of Kent: remember him hereafter as my
49057,49058,King Lear,10.0,1.1.28,GLOUCESTER,honourable friend.
49058,49059,King Lear,11.0,1.1.29,EDMUND,My services to your lordship.
49059,49060,King Lear,12.0,1.1.30,KENT,"I must love you, and sue to know you better."
49060,49061,King Lear,13.0,1.1.31,EDMUND,"Sir, I shall study deserving."
49061,49062,King Lear,14.0,1.1.32,GLOUCESTER,"He hath been out nine years, and away he shall"
49062,49063,King Lear,14.0,1.1.33,GLOUCESTER,again. The king is coming.
49063,49064,King Lear,14.0,,GLOUCESTER,"Sennet. Enter KING LEAR, CORNWALL, ALBANY, GONERIL, REGAN, CORDELIA, and Attendants"
49064,49065,King Lear,15.0,1.1.34,KING LEAR,"Attend the lords of France and Burgundy, Gloucester."
49065,49066,King Lear,16.0,1.1.35,GLOUCESTER,"I shall, my liege."
