,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
52793,52794,Loves Labours Lost,124.0,,ALBANY,ACT I
52794,52795,Loves Labours Lost,124.0,,ALBANY,SCENE I. The king of Navarre's park.
52795,52796,Loves Labours Lost,124.0,,ALBANY,"Enter FERDINAND king of Navarre, BIRON, LONGAVILLE and DUMAIN"
52796,52797,Loves Labours Lost,1.0,1.1.1,FERDINAND,"Let fame, that all hunt after in their lives,"
52797,52798,Loves Labours Lost,1.0,1.1.2,FERDINAND,Live register'd upon our brazen tombs
52798,52799,Loves Labours Lost,1.0,1.1.3,FERDINAND,"And then grace us in the disgrace of death,"
52799,52800,Loves Labours Lost,1.0,1.1.4,FERDINAND,"When, spite of cormorant devouring Time,"
52800,52801,Loves Labours Lost,1.0,1.1.5,FERDINAND,The endeavor of this present breath may buy
52801,52802,Loves Labours Lost,1.0,1.1.6,FERDINAND,That honour which shall bate his scythe's keen edge
52802,52803,Loves Labours Lost,1.0,1.1.7,FERDINAND,And make us heirs of all eternity.
52803,52804,Loves Labours Lost,1.0,1.1.8,FERDINAND,"Therefore, brave conquerors,--for so you are,"
52804,52805,Loves Labours Lost,1.0,1.1.9,FERDINAND,That war against your own affections
52805,52806,Loves Labours Lost,1.0,1.1.10,FERDINAND,"And the huge army of the world's desires,--"
52806,52807,Loves Labours Lost,1.0,1.1.11,FERDINAND,Our late edict shall strongly stand in force:
52807,52808,Loves Labours Lost,1.0,1.1.12,FERDINAND,"Navarre shall be the wonder of the world,"
52808,52809,Loves Labours Lost,1.0,1.1.13,FERDINAND,"Our court shall be a little Academe,"
52809,52810,Loves Labours Lost,1.0,1.1.14,FERDINAND,Still and contemplative in living art.
52810,52811,Loves Labours Lost,1.0,1.1.15,FERDINAND,"You three, Biron, Dumain, and Longaville,"
52811,52812,Loves Labours Lost,1.0,1.1.16,FERDINAND,Have sworn for three years' term to live with me
52812,52813,Loves Labours Lost,1.0,1.1.17,FERDINAND,"My fellow-scholars, and to keep those statutes"
52813,52814,Loves Labours Lost,1.0,1.1.18,FERDINAND,That are recorded in this schedule here:
52814,52815,Loves Labours Lost,1.0,1.1.19,FERDINAND,"Your oaths are pass'd, and now subscribe your names,"
52815,52816,Loves Labours Lost,1.0,1.1.20,FERDINAND,That his own hand may strike his honour down
52816,52817,Loves Labours Lost,1.0,1.1.21,FERDINAND,That violates the smallest branch herein:
52817,52818,Loves Labours Lost,1.0,1.1.22,FERDINAND,"If you are arm'd to do as sworn to do,"
52818,52819,Loves Labours Lost,1.0,1.1.23,FERDINAND,"Subscribe to your deep oaths, and keep it too."
52819,52820,Loves Labours Lost,2.0,1.1.24,LONGAVILLE,"I am resolved, 'tis but a three years' fast:"
52820,52821,Loves Labours Lost,2.0,1.1.25,LONGAVILLE,"The mind shall banquet, though the body pine:"
52821,52822,Loves Labours Lost,2.0,1.1.26,LONGAVILLE,"Fat paunches have lean pates, and dainty bits"
