,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
58365,58366,Measure for measure,23.0,,MALCOLM,ACT I
58366,58367,Measure for measure,23.0,,MALCOLM,SCENE I. An apartment in the DUKE'S palace.
58367,58368,Measure for measure,23.0,,MALCOLM,"Enter DUKE VINCENTIO, ESCALUS, Lords and Attendants"
58368,58369,Measure for measure,1.0,1.1.1,DUKE VINCENTIO,Escalus.
58369,58370,Measure for measure,2.0,1.1.2,ESCALUS,My lord.
58370,58371,Measure for measure,3.0,1.1.3,DUKE VINCENTIO,"Of government the properties to unfold,"
58371,58372,Measure for measure,3.0,1.1.4,DUKE VINCENTIO,"Would seem in me to affect speech and discourse,"
58372,58373,Measure for measure,3.0,1.1.5,DUKE VINCENTIO,Since I am put to know that your own science
58373,58374,Measure for measure,3.0,1.1.6,DUKE VINCENTIO,"Exceeds, in that, the lists of all advice"
58374,58375,Measure for measure,3.0,1.1.7,DUKE VINCENTIO,"My strength can give you: then no more remains,"
58375,58376,Measure for measure,3.0,1.1.8,DUKE VINCENTIO,"But that to your sufficiency as your Worth is able,"
58376,58377,Measure for measure,3.0,1.1.9,DUKE VINCENTIO,"And let them work. The nature of our people,"
58377,58378,Measure for measure,3.0,1.1.10,DUKE VINCENTIO,"Our city's institutions, and the terms"
58378,58379,Measure for measure,3.0,1.1.11,DUKE VINCENTIO,"For common justice, you're as pregnant in"
58379,58380,Measure for measure,3.0,1.1.12,DUKE VINCENTIO,As art and practise hath enriched any
58380,58381,Measure for measure,3.0,1.1.13,DUKE VINCENTIO,"That we remember. There is our commission,"
58381,58382,Measure for measure,3.0,1.1.14,DUKE VINCENTIO,"From which we would not have you warp. Call hither,"
58382,58383,Measure for measure,3.0,1.1.15,DUKE VINCENTIO,"I say, bid come before us Angelo."
58383,58384,Measure for measure,3.0,,DUKE VINCENTIO,Exit an Attendant
58384,58385,Measure for measure,3.0,1.1.16,DUKE VINCENTIO,What figure of us think you he will bear?
58385,58386,Measure for measure,3.0,1.1.17,DUKE VINCENTIO,"For you must know, we have with special soul"
58386,58387,Measure for measure,3.0,1.1.18,DUKE VINCENTIO,"Elected him our absence to supply,"
58387,58388,Measure for measure,3.0,1.1.19,DUKE VINCENTIO,"Lent him our terror, dress'd him with our love,"
58388,58389,Measure for measure,3.0,1.1.20,DUKE VINCENTIO,And given his deputation all the organs
58389,58390,Measure for measure,3.0,1.1.21,DUKE VINCENTIO,Of our own power: what think you of it?
58390,58391,Measure for measure,4.0,1.1.22,ESCALUS,If any in Vienna be of worth
58391,58392,Measure for measure,4.0,1.1.23,ESCALUS,"To undergo such ample grace and honour,"
58392,58393,Measure for measure,4.0,1.1.24,ESCALUS,It is Lord Angelo.
58393,58394,Measure for measure,5.0,1.1.25,DUKE VINCENTIO,Look where he comes.
58394,58395,Measure for measure,5.0,,DUKE VINCENTIO,Enter ANGELO
58395,58396,Measure for measure,6.0,1.1.26,ANGELO,"Always obedient to your grace's will,"
58396,58397,Measure for measure,6.0,1.1.27,ANGELO,I come to know your pleasure.
58397,58398,Measure for measure,7.0,1.1.28,DUKE VINCENTIO,"Angelo,"
58398,58399,Measure for measure,7.0,1.1.29,DUKE VINCENTIO,"There is a kind of character in thy life,"
58399,58400,Measure for measure,7.0,1.1.30,DUKE VINCENTIO,That to the observer doth thy history
58400,58401,Measure for measure,7.0,1.1.31,DUKE VINCENTIO,Fully unfold. Thyself and thy belongings
58401,58402,Measure for measure,7.0,1.1.32,DUKE VINCENTIO,Are not thine own so proper as to waste
58402,58403,Measure for measure,7.0,1.1.33,DUKE VINCENTIO,"Thyself upon thy virtues, they on thee."
58403,58404,Measure for measure,7.0,1.1.34,DUKE VINCENTIO,"Heaven doth with us as we with torches do,"
58404,58405,Measure for measure,7.0,1.1.35,DUKE VINCENTIO,"Not light them for themselves, for if our virtues"
58405,58406,Measure for measure,7.0,1.1.36,DUKE VINCENTIO,"Did not go forth of us, 'twere all alike"
58406,58407,Measure for measure,7.0,1.1.37,DUKE VINCENTIO,As if we had them not. Spirits are not finely touch'd
58407,58408,Measure for measure,7.0,1.1.38,DUKE VINCENTIO,"But to fine issues, nor Nature never lends"
58408,58409,Measure for measure,7.0,1.1.39,DUKE VINCENTIO,The smallest scruple of her excellence
58409,58410,Measure for measure,7.0,1.1.40,DUKE VINCENTIO,"But, like a thrifty goddess, she determines"
58410,58411,Measure for measure,7.0,1.1.41,DUKE VINCENTIO,"Herself the glory of a creditor,"
58411,58412,Measure for measure,7.0,1.1.42,DUKE VINCENTIO,Both thanks and use. But I do bend my speech
