,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
61363,61364,Merchant of Venice,171.0,,DUKE VINCENTIO,ACT I
61364,61365,Merchant of Venice,171.0,,DUKE VINCENTIO,SCENE I. Venice. A street.
61365,61366,Merchant of Venice,171.0,,DUKE VINCENTIO,"Enter ANTONIO, SALARINO, and SALANIO"
61366,61367,Merchant of Venice,1.0,1.1.1,ANTONIO,"In sooth, I know not why I am so sad:"
61367,61368,Merchant of Venice,1.0,1.1.2,ANTONIO,"It wearies me, you say it wearies you,"
61368,61369,Merchant of Venice,1.0,1.1.3,ANTONIO,"But how I caught it, found it, or came by it,"
61369,61370,Merchant of Venice,1.0,1.1.4,ANTONIO,"What stuff 'tis made of, whereof it is born,"
61370,61371,Merchant of Venice,1.0,1.1.5,ANTONIO,"I am to learn,"
61371,61372,Merchant of Venice,1.0,1.1.6,ANTONIO,"And such a want-wit sadness makes of me,"
61372,61373,Merchant of Venice,1.0,1.1.7,ANTONIO,That I have much ado to know myself.
61373,61374,Merchant of Venice,2.0,1.1.8,SALARINO,"Your mind is tossing on the ocean,"
61374,61375,Merchant of Venice,2.0,1.1.9,SALARINO,"There, where your argosies with portly sail,"
61375,61376,Merchant of Venice,2.0,1.1.10,SALARINO,"Like signiors and rich burghers on the flood,"
61376,61377,Merchant of Venice,2.0,1.1.11,SALARINO,"Or, as it were, the pageants of the sea,"
61377,61378,Merchant of Venice,2.0,1.1.12,SALARINO,"Do overpeer the petty traffickers,"
61378,61379,Merchant of Venice,2.0,1.1.13,SALARINO,"That curtsy to them, do them reverence,"
61379,61380,Merchant of Venice,2.0,1.1.14,SALARINO,As they fly by them with their woven wings.
61380,61381,Merchant of Venice,3.0,1.1.15,SALANIO,"Believe me, sir, had I such venture forth,"
61381,61382,Merchant of Venice,3.0,1.1.16,SALANIO,The better part of my affections would
61382,61383,Merchant of Venice,3.0,1.1.17,SALANIO,Be with my hopes abroad. I should be still
61383,61384,Merchant of Venice,3.0,1.1.18,SALANIO,"Plucking the grass, to know where sits the wind,"
61384,61385,Merchant of Venice,3.0,1.1.19,SALANIO,"Peering in maps for ports and piers and roads,"
61385,61386,Merchant of Venice,3.0,1.1.20,SALANIO,And every object that might make me fear
61386,61387,Merchant of Venice,3.0,1.1.21,SALANIO,"Misfortune to my ventures, out of doubt"
61387,61388,Merchant of Venice,3.0,1.1.22,SALANIO,Would make me sad.
61388,61389,Merchant of Venice,4.0,1.1.23,SALARINO,My wind cooling my broth
61389,61390,Merchant of Venice,4.0,1.1.24,SALARINO,"Would blow me to an ague, when I thought"
61390,61391,Merchant of Venice,4.0,1.1.25,SALARINO,What harm a wind too great at sea might do.
61391,61392,Merchant of Venice,4.0,1.1.26,SALARINO,"I should not see the sandy hour-glass run,"
61392,61393,Merchant of Venice,4.0,1.1.27,SALARINO,"But I should think of shallows and of flats,"
61393,61394,Merchant of Venice,4.0,1.1.28,SALARINO,"And see my wealthy Andrew dock'd in sand,"
61394,61395,Merchant of Venice,4.0,1.1.29,SALARINO,Vailing her high-top lower than her ribs
61395,61396,Merchant of Venice,4.0,1.1.30,SALARINO,To kiss her burial. Should I go to church
61396,61397,Merchant of Venice,4.0,1.1.31,SALARINO,"And see the holy edifice of stone,"
61397,61398,Merchant of Venice,4.0,1.1.32,SALARINO,"And not bethink me straight of dangerous rocks,"
61398,61399,Merchant of Venice,4.0,1.1.33,SALARINO,"Which touching but my gentle vessel's side,"
61399,61400,Merchant of Venice,4.0,1.1.34,SALARINO,"Would scatter all her spices on the stream,"
61400,61401,Merchant of Venice,4.0,1.1.35,SALARINO,"Enrobe the roaring waters with my silks,"
61401,61402,Merchant of Venice,4.0,1.1.36,SALARINO,"And, in a word, but even now worth this,"
61402,61403,Merchant of Venice,4.0,1.1.37,SALARINO,And now worth nothing? Shall I have the thought
61403,61404,Merchant of Venice,4.0,1.1.38,SALARINO,"To think on this, and shall I lack the thought"
61404,61405,Merchant of Venice,4.0,1.1.39,SALARINO,That such a thing bechanced would make me sad?
61405,61406,Merchant of Venice,4.0,1.1.40,SALARINO,"But tell not me, I know, Antonio"
61406,61407,Merchant of Venice,4.0,1.1.41,SALARINO,Is sad to think upon his merchandise.
61407,61408,Merchant of Venice,5.0,1.1.42,ANTONIO,"Believe me, no: I thank my fortune for it,"
61408,61409,Merchant of Venice,5.0,1.1.43,ANTONIO,"My ventures are not in one bottom trusted,"
61409,61410,Merchant of Venice,5.0,1.1.44,ANTONIO,"Nor to one place, nor is my whole estate"
61410,61411,Merchant of Venice,5.0,1.1.45,ANTONIO,Upon the fortune of this present year:
61411,61412,Merchant of Venice,5.0,1.1.46,ANTONIO,Therefore my merchandise makes me not sad.
61412,61413,Merchant of Venice,6.0,1.1.47,SALARINO,"Why, then you are in love."
61413,61414,Merchant of Venice,7.0,1.1.48,ANTONIO,"Fie, fie!"
61414,61415,Merchant of Venice,8.0,1.1.49,SALARINO,"Not in love neither? Then let us say you are sad,"
61415,61416,Merchant of Venice,8.0,1.1.50,SALARINO,Because you are not merry: and 'twere as easy
61416,61417,Merchant of Venice,8.0,1.1.51,SALARINO,"For you to laugh and leap and say you are merry,"
61417,61418,Merchant of Venice,8.0,1.1.52,SALARINO,"Because you are not sad. Now, by two-headed Janus,"
61418,61419,Merchant of Venice,8.0,1.1.53,SALARINO,Nature hath framed strange fellows in her time:
61419,61420,Merchant of Venice,8.0,1.1.54,SALARINO,Some that will evermore peep through their eyes
61420,61421,Merchant of Venice,8.0,1.1.55,SALARINO,"And laugh like parrots at a bag-piper,"
61421,61422,Merchant of Venice,8.0,1.1.56,SALARINO,And other of such vinegar aspect
61422,61423,Merchant of Venice,8.0,1.1.57,SALARINO,"That they'll not show their teeth in way of smile,"
61423,61424,Merchant of Venice,8.0,1.1.58,SALARINO,Though Nestor swear the jest be laughable.
61424,61425,Merchant of Venice,8.0,,SALARINO,"Enter BASSANIO, LORENZO, and GRATIANO"
61425,61426,Merchant of Venice,9.0,1.1.59,SALANIO,"Here comes Bassanio, your most noble kinsman,"
61426,61427,Merchant of Venice,9.0,1.1.60,SALANIO,Gratiano and Lorenzo. Fare ye well:
61427,61428,Merchant of Venice,9.0,1.1.61,SALANIO,We leave you now with better company.
61428,61429,Merchant of Venice,10.0,1.1.62,SALARINO,"I would have stay'd till I had made you merry,"
61429,61430,Merchant of Venice,10.0,1.1.63,SALARINO,If worthier friends had not prevented me.
61430,61431,Merchant of Venice,11.0,1.1.64,ANTONIO,Your worth is very dear in my regard.
61431,61432,Merchant of Venice,11.0,1.1.65,ANTONIO,"I take it, your own business calls on you"
61432,61433,Merchant of Venice,11.0,1.1.66,ANTONIO,And you embrace the occasion to depart.
61433,61434,Merchant of Venice,12.0,1.1.67,SALARINO,"Good morrow, my good lords."
61434,61435,Merchant of Venice,13.0,1.1.68,BASSANIO,"Good signiors both, when shall we laugh? say, when?"
61435,61436,Merchant of Venice,13.0,1.1.69,BASSANIO,You grow exceeding strange: must it be so?
61436,61437,Merchant of Venice,14.0,1.1.70,SALARINO,We'll make our leisures to attend on yours.
61437,61438,Merchant of Venice,14.0,,SALARINO,Exeunt Salarino and Salanio
61438,61439,Merchant of Venice,15.0,1.1.71,LORENZO,"My Lord Bassanio, since you have found Antonio,"
61439,61440,Merchant of Venice,15.0,1.1.72,LORENZO,"We two will leave you: but at dinner-time,"
61440,61441,Merchant of Venice,15.0,1.1.73,LORENZO,"I pray you, have in mind where we must meet."
61441,61442,Merchant of Venice,16.0,1.1.74,BASSANIO,I will not fail you.
61442,61443,Merchant of Venice,17.0,1.1.75,GRATIANO,"You look not well, Signior Antonio,"
61443,61444,Merchant of Venice,17.0,1.1.76,GRATIANO,You have too much respect upon the world:
61444,61445,Merchant of Venice,17.0,1.1.77,GRATIANO,They lose it that do buy it with much care:
61445,61446,Merchant of Venice,17.0,1.1.78,GRATIANO,"Believe me, you are marvellously changed."
61446,61447,Merchant of Venice,18.0,1.1.79,ANTONIO,"I hold the world but as the world, Gratiano,"
61447,61448,Merchant of Venice,18.0,1.1.80,ANTONIO,"A stage where every man must play a part,"
61448,61449,Merchant of Venice,18.0,1.1.81,ANTONIO,And mine a sad one.
61449,61450,Merchant of Venice,19.0,1.1.82,GRATIANO,Let me play the fool:
61450,61451,Merchant of Venice,19.0,1.1.83,GRATIANO,"With mirth and laughter let old wrinkles come,"
61451,61452,Merchant of Venice,19.0,1.1.84,GRATIANO,And let my liver rather heat with wine
