,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
64165,64166,Merry Wives of Windsor,90.0,,GRATIANO,ACT I
64166,64167,Merry Wives of Windsor,90.0,,GRATIANO,SCENE I. Windsor. Before PAGE's house.
64167,64168,Merry Wives of Windsor,90.0,,GRATIANO,"Enter SHALLOW, SLENDER, and SIR HUGH EVANS"
64168,64169,Merry Wives of Windsor,1.0,1.1.1,SHALLOW,"Sir Hugh, persuade me not, I will make a Star-"
64169,64170,Merry Wives of Windsor,1.0,1.1.2,SHALLOW,chamber matter of it: if he were twenty Sir John
64170,64171,Merry Wives of Windsor,1.0,1.1.3,SHALLOW,"Falstaffs, he shall not abuse Robert Shallow, esquire."
64171,64172,Merry Wives of Windsor,2.0,1.1.4,SLENDER,"In the county of Gloucester, justice of peace and"
64172,64173,Merry Wives of Windsor,2.0,1.1.5,SLENDER,'Coram.'
64173,64174,Merry Wives of Windsor,3.0,1.1.6,SHALLOW,"Ay, cousin Slender, and 'Custalourum."
64174,64175,Merry Wives of Windsor,4.0,1.1.7,SLENDER,"Ay, and 'Rato-lorum' too, and a gentleman born,"
64175,64176,Merry Wives of Windsor,4.0,1.1.8,SLENDER,"master parson, who writes himself 'Armigero,' in any"
64176,64177,Merry Wives of Windsor,4.0,1.1.9,SLENDER,"bill, warrant, quittance, or obligation, 'Armigero.'"
64177,64178,Merry Wives of Windsor,5.0,1.1.10,SHALLOW,"Ay, that I do, and have done any time these three"
64178,64179,Merry Wives of Windsor,5.0,1.1.11,SHALLOW,hundred years.
64179,64180,Merry Wives of Windsor,6.0,1.1.12,SLENDER,"All his successors gone before him hath done't, and"
64180,64181,Merry Wives of Windsor,6.0,1.1.13,SLENDER,all his ancestors that come after him may: they may
64181,64182,Merry Wives of Windsor,6.0,1.1.14,SLENDER,give the dozen white luces in their coat.
64182,64183,Merry Wives of Windsor,7.0,1.1.15,SHALLOW,It is an old coat.
64183,64184,Merry Wives of Windsor,8.0,1.1.16,SIR HUGH EVANS,"The dozen white louses do become an old coat well,"
64184,64185,Merry Wives of Windsor,8.0,1.1.17,SIR HUGH EVANS,"it agrees well, passant, it is a familiar beast to"
64185,64186,Merry Wives of Windsor,8.0,1.1.18,SIR HUGH EVANS,"man, and signifies love."
64186,64187,Merry Wives of Windsor,9.0,1.1.19,SHALLOW,"The luce is the fresh fish, the salt fish is an old coat."
64187,64188,Merry Wives of Windsor,10.0,1.1.20,SLENDER,"I may quarter, coz."
64188,64189,Merry Wives of Windsor,11.0,1.1.21,SHALLOW,"You may, by marrying."
64189,64190,Merry Wives of Windsor,12.0,1.1.22,SIR HUGH EVANS,"It is marring indeed, if he quarter it."
64190,64191,Merry Wives of Windsor,13.0,1.1.23,SHALLOW,Not a whit.
64191,64192,Merry Wives of Windsor,14.0,1.1.24,SIR HUGH EVANS,"Yes, py'r lady, if he has a quarter of your coat,"
64192,64193,Merry Wives of Windsor,14.0,1.1.25,SIR HUGH EVANS,"there is but three skirts for yourself, in my"
64193,64194,Merry Wives of Windsor,14.0,1.1.26,SIR HUGH EVANS,simple conjectures: but that is all one. If Sir
64194,64195,Merry Wives of Windsor,14.0,1.1.27,SIR HUGH EVANS,John Falstaff have committed disparagements unto
64195,64196,Merry Wives of Windsor,14.0,1.1.28,SIR HUGH EVANS,"you, I am of the church, and will be glad to do my"
64196,64197,Merry Wives of Windsor,14.0,1.1.29,SIR HUGH EVANS,benevolence to make atonements and compremises
64197,64198,Merry Wives of Windsor,14.0,1.1.30,SIR HUGH EVANS,between you.
64198,64199,Merry Wives of Windsor,15.0,1.1.31,SHALLOW,"The council shall bear it, it is a riot."
64199,64200,Merry Wives of Windsor,16.0,1.1.32,SIR HUGH EVANS,"It is not meet the council hear a riot, there is no"
64200,64201,Merry Wives of Windsor,16.0,1.1.33,SIR HUGH EVANS,"fear of Got in a riot: the council, look you, shall"
64201,64202,Merry Wives of Windsor,16.0,1.1.34,SIR HUGH EVANS,"desire to hear the fear of Got, and not to hear a"
64202,64203,Merry Wives of Windsor,16.0,1.1.35,SIR HUGH EVANS,"riot, take your vizaments in that."
64203,64204,Merry Wives of Windsor,17.0,1.1.36,SHALLOW,"Ha! o' my life, if I were young again, the sword"
64204,64205,Merry Wives of Windsor,17.0,1.1.37,SHALLOW,should end it.
64205,64206,Merry Wives of Windsor,18.0,1.1.38,SIR HUGH EVANS,"It is petter that friends is the sword, and end it:"
64206,64207,Merry Wives of Windsor,18.0,1.1.39,SIR HUGH EVANS,"and there is also another device in my prain, which"
64207,64208,Merry Wives of Windsor,18.0,1.1.40,SIR HUGH EVANS,peradventure prings goot discretions with it: there
64208,64209,Merry Wives of Windsor,18.0,1.1.41,SIR HUGH EVANS,"is Anne Page, which is daughter to Master Thomas"
64209,64210,Merry Wives of Windsor,18.0,1.1.42,SIR HUGH EVANS,"Page, which is pretty virginity."
