,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
69296,69297,Much Ado about nothing,104.0,5.1.428,PUCK,ACT I
69297,69298,Much Ado about nothing,104.0,5.1.428,PUCK,SCENE I. Before LEONATO'S house.
69298,69299,Much Ado about nothing,104.0,,PUCK,"Enter LEONATO, HERO, and BEATRICE, with a Messenger"
69299,69300,Much Ado about nothing,1.0,1.1.1,LEONATO,I learn in this letter that Don Peter of Arragon
69300,69301,Much Ado about nothing,1.0,1.1.2,LEONATO,comes this night to Messina.
69301,69302,Much Ado about nothing,2.0,1.1.3,Messenger,He is very near by this: he was not three leagues off
69302,69303,Much Ado about nothing,2.0,1.1.4,Messenger,when I left him.
69303,69304,Much Ado about nothing,3.0,1.1.5,LEONATO,How many gentlemen have you lost in this action?
69304,69305,Much Ado about nothing,4.0,1.1.6,Messenger,"But few of any sort, and none of name."
69305,69306,Much Ado about nothing,5.0,1.1.7,LEONATO,A victory is twice itself when the achiever brings
69306,69307,Much Ado about nothing,5.0,1.1.8,LEONATO,home full numbers. I find here that Don Peter hath
69307,69308,Much Ado about nothing,5.0,1.1.9,LEONATO,bestowed much honour on a young Florentine called Claudio.
69308,69309,Much Ado about nothing,6.0,1.1.10,Messenger,Much deserved on his part and equally remembered by
69309,69310,Much Ado about nothing,6.0,1.1.11,Messenger,Don Pedro: he hath borne himself beyond the
69310,69311,Much Ado about nothing,6.0,1.1.12,Messenger,"promise of his age, doing, in the figure of a lamb,"
69311,69312,Much Ado about nothing,6.0,1.1.13,Messenger,the feats of a lion: he hath indeed better
69312,69313,Much Ado about nothing,6.0,1.1.14,Messenger,bettered expectation than you must expect of me to
69313,69314,Much Ado about nothing,6.0,1.1.15,Messenger,tell you how.
69314,69315,Much Ado about nothing,7.0,1.1.16,LEONATO,He hath an uncle here in Messina will be very much
69315,69316,Much Ado about nothing,7.0,1.1.17,LEONATO,glad of it.
69316,69317,Much Ado about nothing,8.0,1.1.18,Messenger,"I have already delivered him letters, and there"
69317,69318,Much Ado about nothing,8.0,1.1.19,Messenger,"appears much joy in him, even so much that joy could"
69318,69319,Much Ado about nothing,8.0,1.1.20,Messenger,not show itself modest enough without a badge of
69319,69320,Much Ado about nothing,8.0,1.1.21,Messenger,bitterness.
69320,69321,Much Ado about nothing,9.0,1.1.22,LEONATO,Did he break out into tears?
69321,69322,Much Ado about nothing,10.0,1.1.23,Messenger,In great measure.
69322,69323,Much Ado about nothing,11.0,1.1.24,LEONATO,A kind overflow of kindness: there are no faces
69323,69324,Much Ado about nothing,11.0,1.1.25,LEONATO,truer than those that are so washed. How much
69324,69325,Much Ado about nothing,11.0,1.1.26,LEONATO,better is it to weep at joy than to joy at weeping!
69325,69326,Much Ado about nothing,12.0,1.1.27,BEATRICE,"I pray you, is Signior Mountanto returned from the"
69326,69327,Much Ado about nothing,12.0,1.1.28,BEATRICE,wars or no?
69327,69328,Much Ado about nothing,13.0,1.1.29,Messenger,"I know none of that name, lady: there was none such"
69328,69329,Much Ado about nothing,13.0,1.1.30,Messenger,in the army of any sort.
69329,69330,Much Ado about nothing,14.0,1.1.31,LEONATO,"What is he that you ask for, niece?"
69330,69331,Much Ado about nothing,15.0,1.1.32,HERO,My cousin means Signior Benedick of Padua.
69331,69332,Much Ado about nothing,16.0,1.1.33,Messenger,"O, he's returned, and as pleasant as ever he was."
69332,69333,Much Ado about nothing,17.0,1.1.34,BEATRICE,He set up his bills here in Messina and challenged
69333,69334,Much Ado about nothing,17.0,1.1.35,BEATRICE,"Cupid at the flight, and my uncle's fool, reading"
69334,69335,Much Ado about nothing,17.0,1.1.36,BEATRICE,"the challenge, subscribed for Cupid, and challenged"
69335,69336,Much Ado about nothing,17.0,1.1.37,BEATRICE,"him at the bird-bolt. I pray you, how many hath he"
69336,69337,Much Ado about nothing,17.0,1.1.38,BEATRICE,killed and eaten in these wars? But how many hath
69337,69338,Much Ado about nothing,17.0,1.1.39,BEATRICE,he killed? for indeed I promised to eat all of his killing.
69338,69339,Much Ado about nothing,18.0,1.1.40,LEONATO,"Faith, niece, you tax Signior Benedick too much,"
69339,69340,Much Ado about nothing,18.0,1.1.41,LEONATO,"but he'll be meet with you, I doubt it not."
69340,69341,Much Ado about nothing,19.0,1.1.42,Messenger,"He hath done good service, lady, in these wars."
69341,69342,Much Ado about nothing,20.0,1.1.43,BEATRICE,"You had musty victual, and he hath holp to eat it:"
69342,69343,Much Ado about nothing,20.0,1.1.44,BEATRICE,"he is a very valiant trencherman, he hath an"
69343,69344,Much Ado about nothing,20.0,1.1.45,BEATRICE,excellent stomach.
69344,69345,Much Ado about nothing,21.0,1.1.46,Messenger,"And a good soldier too, lady."
69345,69346,Much Ado about nothing,22.0,1.1.47,BEATRICE,And a good soldier to a lady: but what is he to a lord?
69346,69347,Much Ado about nothing,23.0,1.1.48,Messenger,"A lord to a lord, a man to a man, stuffed with all"
69347,69348,Much Ado about nothing,23.0,1.1.49,Messenger,honourable virtues.
69348,69349,Much Ado about nothing,24.0,1.1.50,BEATRICE,"It is so, indeed, he is no less than a stuffed man:"
69349,69350,Much Ado about nothing,24.0,1.1.51,BEATRICE,"but for the stuffing,--well, we are all mortal."
69350,69351,Much Ado about nothing,25.0,1.1.52,LEONATO,"You must not, sir, mistake my niece. There is a"
69351,69352,Much Ado about nothing,25.0,1.1.53,LEONATO,kind of merry war betwixt Signior Benedick and her:
69352,69353,Much Ado about nothing,25.0,1.1.54,LEONATO,they never meet but there's a skirmish of wit
69353,69354,Much Ado about nothing,25.0,1.1.55,LEONATO,between them.
69354,69355,Much Ado about nothing,26.0,1.1.56,BEATRICE,Alas! he gets nothing by that. In our last
69355,69356,Much Ado about nothing,26.0,1.1.57,BEATRICE,"conflict four of his five wits went halting off, and"
69356,69357,Much Ado about nothing,26.0,1.1.58,BEATRICE,now is the whole man governed with one: so that if
69357,69358,Much Ado about nothing,26.0,1.1.59,BEATRICE,"he have wit enough to keep himself warm, let him"
69358,69359,Much Ado about nothing,26.0,1.1.60,BEATRICE,bear it for a difference between himself and his
69359,69360,Much Ado about nothing,26.0,1.1.61,BEATRICE,"horse, for it is all the wealth that he hath left,"
69360,69361,Much Ado about nothing,26.0,1.1.62,BEATRICE,to be known a reasonable creature. Who is his
69361,69362,Much Ado about nothing,26.0,1.1.63,BEATRICE,companion now? He hath every month a new sworn brother.
69362,69363,Much Ado about nothing,27.0,1.1.64,Messenger,Is't possible?
69363,69364,Much Ado about nothing,28.0,1.1.65,BEATRICE,Very easily possible: he wears his faith but as
69364,69365,Much Ado about nothing,28.0,1.1.66,BEATRICE,"the fashion of his hat, it ever changes with the"
69365,69366,Much Ado about nothing,28.0,1.1.67,BEATRICE,next block.
69366,69367,Much Ado about nothing,29.0,1.1.68,Messenger,"I see, lady, the gentleman is not in your books."
69367,69368,Much Ado about nothing,30.0,1.1.69,BEATRICE,"No, an he were, I would burn my study. But, I pray"
69368,69369,Much Ado about nothing,30.0,1.1.70,BEATRICE,"you, who is his companion? Is there no young"
69369,69370,Much Ado about nothing,30.0,1.1.71,BEATRICE,squarer now that will make a voyage with him to the devil?
69370,69371,Much Ado about nothing,31.0,1.1.72,Messenger,He is most in the company of the right noble Claudio.
69371,69372,Much Ado about nothing,32.0,1.1.73,BEATRICE,"O Lord, he will hang upon him like a disease: he"
69372,69373,Much Ado about nothing,32.0,1.1.74,BEATRICE,"is sooner caught than the pestilence, and the taker"
69373,69374,Much Ado about nothing,32.0,1.1.75,BEATRICE,runs presently mad. God help the noble Claudio! if
69374,69375,Much Ado about nothing,32.0,1.1.76,BEATRICE,"he have caught the Benedick, it will cost him a"
69375,69376,Much Ado about nothing,32.0,1.1.77,BEATRICE,thousand pound ere a' be cured.
69376,69377,Much Ado about nothing,33.0,1.1.78,Messenger,"I will hold friends with you, lady."
69377,69378,Much Ado about nothing,34.0,1.1.79,BEATRICE,"Do, good friend."
69378,69379,Much Ado about nothing,35.0,1.1.80,LEONATO,"You will never run mad, niece."
