,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
72000,72001,Othello,59.0,,BENEDICK,ACT I
72001,72002,Othello,59.0,,BENEDICK,SCENE I. Venice. A street.
72002,72003,Othello,59.0,,BENEDICK,Enter RODERIGO and IAGO
72003,72004,Othello,1.0,1.1.1,RODERIGO,"Tush! never tell me, I take it much unkindly"
72004,72005,Othello,1.0,1.1.2,RODERIGO,"That thou, Iago, who hast had my purse"
72005,72006,Othello,1.0,1.1.3,RODERIGO,"As if the strings were thine, shouldst know of this."
72006,72007,Othello,2.0,1.1.4,IAGO,"'Sblood, but you will not hear me:"
72007,72008,Othello,2.0,1.1.5,IAGO,"If ever I did dream of such a matter, Abhor me."
72008,72009,Othello,3.0,1.1.6,RODERIGO,Thou told'st me thou didst hold him in thy hate.
72009,72010,Othello,4.0,1.1.7,IAGO,"Despise me, if I do not. Three great ones of the city,"
72010,72011,Othello,4.0,1.1.8,IAGO,"In personal suit to make me his lieutenant,"
72011,72012,Othello,4.0,1.1.9,IAGO,"Off-capp'd to him: and, by the faith of man,"
72012,72013,Othello,4.0,1.1.10,IAGO,"I know my price, I am worth no worse a place:"
72013,72014,Othello,4.0,1.1.11,IAGO,"But he, as loving his own pride and purposes,"
72014,72015,Othello,4.0,1.1.12,IAGO,"Evades them, with a bombast circumstance"
72015,72016,Othello,4.0,1.1.13,IAGO,"Horribly stuff'd with epithets of war,"
72016,72017,Othello,4.0,1.1.14,IAGO,"And, in conclusion,"
72017,72018,Othello,4.0,1.1.15,IAGO,"Nonsuits my mediators, for, 'Certes,' says he,"
72018,72019,Othello,4.0,1.1.16,IAGO,'I have already chose my officer.'
72019,72020,Othello,4.0,1.1.17,IAGO,And what was he?
72020,72021,Othello,4.0,1.1.18,IAGO,"Forsooth, a great arithmetician,"
72021,72022,Othello,4.0,1.1.19,IAGO,"One Michael Cassio, a Florentine,"
72022,72023,Othello,4.0,1.1.20,IAGO,"A fellow almost damn'd in a fair wife,"
72023,72024,Othello,4.0,1.1.21,IAGO,"That never set a squadron in the field,"
72024,72025,Othello,4.0,1.1.22,IAGO,Nor the division of a battle knows
72025,72026,Othello,4.0,1.1.23,IAGO,"More than a spinster, unless the bookish theoric,"
72026,72027,Othello,4.0,1.1.24,IAGO,Wherein the toged consuls can propose
72027,72028,Othello,4.0,1.1.25,IAGO,"As masterly as he: mere prattle, without practise,"
72028,72029,Othello,4.0,1.1.26,IAGO,"Is all his soldiership. But he, sir, had the election:"
72029,72030,Othello,4.0,1.1.27,IAGO,"And I, of whom his eyes had seen the proof"
