,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
75762,75763,Pericles,178.0,,LODOVICO,ACT I
75763,75764,Pericles,178.0,,LODOVICO,PROLOGUE
75764,75765,Pericles,178.0,,LODOVICO,Enter GOWER
75765,75766,Pericles,178.0,,LODOVICO,Before the palace of Antioch
75766,75767,Pericles,178.0,1.0.1,LODOVICO,"To sing a song that old was sung,"
75767,75768,Pericles,178.0,1.0.2,LODOVICO,"From ashes ancient Gower is come,"
75768,75769,Pericles,178.0,1.0.3,LODOVICO,"Assuming man's infirmities,"
75769,75770,Pericles,178.0,1.0.4,LODOVICO,"To glad your ear, and please your eyes."
75770,75771,Pericles,178.0,1.0.5,LODOVICO,"It hath been sung at festivals,"
75771,75772,Pericles,178.0,1.0.6,LODOVICO,"On ember-eves and holy-ales,"
75772,75773,Pericles,178.0,1.0.7,LODOVICO,And lords and ladies in their lives
75773,75774,Pericles,178.0,1.0.8,LODOVICO,Have read it for restoratives:
75774,75775,Pericles,178.0,1.0.9,LODOVICO,"The purchase is to make men glorious,"
75775,75776,Pericles,178.0,1.0.10,LODOVICO,"Et bonum quo antiquius, eo melius."
75776,75777,Pericles,178.0,1.0.11,LODOVICO,"If you, born in these latter times,"
75777,75778,Pericles,178.0,1.0.12,LODOVICO,"When wit's more ripe, accept my rhymes."
75778,75779,Pericles,178.0,1.0.13,LODOVICO,And that to hear an old man sing
75779,75780,Pericles,178.0,1.0.14,LODOVICO,May to your wishes pleasure bring
75780,75781,Pericles,178.0,1.0.15,LODOVICO,"I life would wish, and that I might"
75781,75782,Pericles,178.0,1.0.16,LODOVICO,"Waste it for you, like taper-light."
75782,75783,Pericles,178.0,1.0.17,LODOVICO,"This Antioch, then, Antiochus the Great"
75783,75784,Pericles,178.0,1.0.18,LODOVICO,"Built up, this city, for his chiefest seat:"
75784,75785,Pericles,178.0,1.0.19,LODOVICO,"The fairest in all Syria,"
75785,75786,Pericles,178.0,1.0.20,LODOVICO,I tell you what mine authors say:
75786,75787,Pericles,178.0,1.0.21,LODOVICO,"This king unto him took a fere,"
75787,75788,Pericles,178.0,1.0.22,LODOVICO,"Who died and left a female heir,"
75788,75789,Pericles,178.0,1.0.23,LODOVICO,"So buxom, blithe, and full of face,"
75789,75790,Pericles,178.0,1.0.24,LODOVICO,"As heaven had lent her all his grace,"
75790,75791,Pericles,178.0,1.0.25,LODOVICO,"With whom the father liking took,"
75791,75792,Pericles,178.0,1.0.26,LODOVICO,And her to incest did provoke:
75792,75793,Pericles,178.0,1.0.27,LODOVICO,"Bad child, worse father! to entice his own"
75793,75794,Pericles,178.0,1.0.28,LODOVICO,To evil should be done by none:
