,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
78403,78404,Richard II,31.0,,GOWER,ACT I
78404,78405,Richard II,31.0,,GOWER,SCENE I. London. KING RICHARD II's palace.
78405,78406,Richard II,31.0,,GOWER,"Enter KING RICHARD II, JOHN OF GAUNT, with other Nobles and Attendants"
78406,78407,Richard II,1.0,1.1.1,KING RICHARD II,"Old John of Gaunt, time-honour'd Lancaster,"
78407,78408,Richard II,1.0,1.1.2,KING RICHARD II,"Hast thou, according to thy oath and band,"
78408,78409,Richard II,1.0,1.1.3,KING RICHARD II,"Brought hither Henry Hereford thy bold son,"
78409,78410,Richard II,1.0,1.1.4,KING RICHARD II,"Here to make good the boisterous late appeal,"
78410,78411,Richard II,1.0,1.1.5,KING RICHARD II,"Which then our leisure would not let us hear,"
78411,78412,Richard II,1.0,1.1.6,KING RICHARD II,"Against the Duke of Norfolk, Thomas Mowbray?"
78412,78413,Richard II,2.0,1.1.7,JOHN OF GAUNT,"I have, my liege."
78413,78414,Richard II,3.0,1.1.8,KING RICHARD II,"Tell me, moreover, hast thou sounded him,"
78414,78415,Richard II,3.0,1.1.9,KING RICHARD II,"If he appeal the duke on ancient malice,"
78415,78416,Richard II,3.0,1.1.10,KING RICHARD II,"Or worthily, as a good subject should,"
78416,78417,Richard II,3.0,1.1.11,KING RICHARD II,On some known ground of treachery in him?
78417,78418,Richard II,4.0,1.1.12,JOHN OF GAUNT,"As near as I could sift him on that argument,"
78418,78419,Richard II,4.0,1.1.13,JOHN OF GAUNT,On some apparent danger seen in him
78419,78420,Richard II,4.0,1.1.14,JOHN OF GAUNT,"Aim'd at your highness, no inveterate malice."
78420,78421,Richard II,5.0,1.1.15,KING RICHARD II,"Then call them to our presence, face to face,"
78421,78422,Richard II,5.0,1.1.16,KING RICHARD II,"And frowning brow to brow, ourselves will hear"
78422,78423,Richard II,5.0,1.1.17,KING RICHARD II,The accuser and the accused freely speak:
78423,78424,Richard II,5.0,1.1.18,KING RICHARD II,"High-stomach'd are they both, and full of ire,"
78424,78425,Richard II,5.0,1.1.19,KING RICHARD II,"In rage deaf as the sea, hasty as fire."
78425,78426,Richard II,5.0,,KING RICHARD II,Enter HENRY BOLINGBROKE and THOMAS MOWBRAY
78426,78427,Richard II,6.0,1.1.20,HENRY BOLINGBROKE,Many years of happy days befal
78427,78428,Richard II,6.0,1.1.21,HENRY BOLINGBROKE,"My gracious sovereign, my most loving liege!"
