,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
81340,81341,Richard III,11.0,,HENRY BOLINGBROKE,ACT I
81341,81342,Richard III,11.0,,HENRY BOLINGBROKE,SCENE I. London. A street.
81342,81343,Richard III,11.0,,HENRY BOLINGBROKE,"Enter GLOUCESTER, solus"
81343,81344,Richard III,1.0,1.1.1,GLOUCESTER,Now is the winter of our discontent
81344,81345,Richard III,1.0,1.1.2,GLOUCESTER,"Made glorious summer by this sun of York,"
81345,81346,Richard III,1.0,1.1.3,GLOUCESTER,And all the clouds that lour'd upon our house
81346,81347,Richard III,1.0,1.1.4,GLOUCESTER,In the deep bosom of the ocean buried.
81347,81348,Richard III,1.0,1.1.5,GLOUCESTER,"Now are our brows bound with victorious wreaths,"
81348,81349,Richard III,1.0,1.1.6,GLOUCESTER,"Our bruised arms hung up for monuments,"
81349,81350,Richard III,1.0,1.1.7,GLOUCESTER,"Our stern alarums changed to merry meetings,"
81350,81351,Richard III,1.0,1.1.8,GLOUCESTER,Our dreadful marches to delightful measures.
81351,81352,Richard III,1.0,1.1.9,GLOUCESTER,"Grim-visaged war hath smooth'd his wrinkled front,"
81352,81353,Richard III,1.0,1.1.10,GLOUCESTER,"And now, instead of mounting barded steeds"
81353,81354,Richard III,1.0,1.1.11,GLOUCESTER,"To fright the souls of fearful adversaries,"
81354,81355,Richard III,1.0,1.1.12,GLOUCESTER,He capers nimbly in a lady's chamber
81355,81356,Richard III,1.0,1.1.13,GLOUCESTER,To the lascivious pleasing of a lute.
81356,81357,Richard III,1.0,1.1.14,GLOUCESTER,"But I, that am not shaped for sportive tricks,"
81357,81358,Richard III,1.0,1.1.15,GLOUCESTER,"Nor made to court an amorous looking-glass,"
81358,81359,Richard III,1.0,1.1.16,GLOUCESTER,"I, that am rudely stamp'd, and want love's majesty"
81359,81360,Richard III,1.0,1.1.17,GLOUCESTER,"To strut before a wanton ambling nymph,"
81360,81361,Richard III,1.0,1.1.18,GLOUCESTER,"I, that am curtail'd of this fair proportion,"
81361,81362,Richard III,1.0,1.1.19,GLOUCESTER,"Cheated of feature by dissembling nature,"
81362,81363,Richard III,1.0,1.1.20,GLOUCESTER,"Deformed, unfinish'd, sent before my time"
81363,81364,Richard III,1.0,1.1.21,GLOUCESTER,"Into this breathing world, scarce half made up,"
81364,81365,Richard III,1.0,1.1.22,GLOUCESTER,And that so lamely and unfashionable
81365,81366,Richard III,1.0,1.1.23,GLOUCESTER,"That dogs bark at me as I halt by them,"
81366,81367,Richard III,1.0,1.1.24,GLOUCESTER,"Why, I, in this weak piping time of peace,"
81367,81368,Richard III,1.0,1.1.25,GLOUCESTER,"Have no delight to pass away the time,"
81368,81369,Richard III,1.0,1.1.26,GLOUCESTER,Unless to spy my shadow in the sun
81369,81370,Richard III,1.0,1.1.27,GLOUCESTER,And descant on mine own deformity:
81370,81371,Richard III,1.0,1.1.28,GLOUCESTER,"And therefore, since I cannot prove a lover,"
81371,81372,Richard III,1.0,1.1.29,GLOUCESTER,"To entertain these fair well-spoken days,"
81372,81373,Richard III,1.0,1.1.30,GLOUCESTER,I am determined to prove a villain
81373,81374,Richard III,1.0,1.1.31,GLOUCESTER,And hate the idle pleasures of these days.
81374,81375,Richard III,1.0,1.1.32,GLOUCESTER,"Plots have I laid, inductions dangerous,"
81375,81376,Richard III,1.0,1.1.33,GLOUCESTER,"By drunken prophecies, libels and dreams,"
81376,81377,Richard III,1.0,1.1.34,GLOUCESTER,To set my brother Clarence and the king
81377,81378,Richard III,1.0,1.1.35,GLOUCESTER,In deadly hate the one against the other:
81378,81379,Richard III,1.0,1.1.36,GLOUCESTER,And if King Edward be as true and just
81379,81380,Richard III,1.0,1.1.37,GLOUCESTER,"As I am subtle, false and treacherous,"
81380,81381,Richard III,1.0,1.1.38,GLOUCESTER,"This day should Clarence closely be mew'd up,"
81381,81382,Richard III,1.0,1.1.39,GLOUCESTER,"About a prophecy, which says that 'G'"
81382,81383,Richard III,1.0,1.1.40,GLOUCESTER,Of Edward's heirs the murderer shall be.
81383,81384,Richard III,1.0,1.1.41,GLOUCESTER,"Dive, thoughts, down to my soul: here"
81384,81385,Richard III,1.0,1.1.42,GLOUCESTER,Clarence comes.
81385,81386,Richard III,1.0,,GLOUCESTER,"Enter CLARENCE, guarded, and BRAKENBURY"
81386,81387,Richard III,1.0,1.1.43,GLOUCESTER,"Brother, good day, what means this armed guard"
81387,81388,Richard III,1.0,1.1.44,GLOUCESTER,That waits upon your grace?
81388,81389,Richard III,2.0,1.1.45,CLARENCE,His majesty
81389,81390,Richard III,2.0,1.1.46,CLARENCE,"Tendering my person's safety, hath appointed"
81390,81391,Richard III,2.0,1.1.47,CLARENCE,This conduct to convey me to the Tower.
81391,81392,Richard III,3.0,1.1.48,GLOUCESTER,Upon what cause?
81392,81393,Richard III,4.0,1.1.49,CLARENCE,Because my name is George.
81393,81394,Richard III,5.0,1.1.50,GLOUCESTER,"Alack, my lord, that fault is none of yours,"
81394,81395,Richard III,5.0,1.1.51,GLOUCESTER,"He should, for that, commit your godfathers:"
81395,81396,Richard III,5.0,1.1.52,GLOUCESTER,"O, belike his majesty hath some intent"
81396,81397,Richard III,5.0,1.1.53,GLOUCESTER,That you shall be new-christen'd in the Tower.
81397,81398,Richard III,5.0,1.1.54,GLOUCESTER,"But what's the matter, Clarence?  may I know?"
81398,81399,Richard III,6.0,1.1.55,CLARENCE,"Yea, Richard, when I know, for I protest"
81399,81400,Richard III,6.0,1.1.56,CLARENCE,"As yet I do not: but, as I can learn,"
81400,81401,Richard III,6.0,1.1.57,CLARENCE,"He hearkens after prophecies and dreams,"
81401,81402,Richard III,6.0,1.1.58,CLARENCE,And from the cross-row plucks the letter G.
81402,81403,Richard III,6.0,1.1.59,CLARENCE,And says a wizard told him that by G
81403,81404,Richard III,6.0,1.1.60,CLARENCE,"His issue disinherited should be,"
81404,81405,Richard III,6.0,1.1.61,CLARENCE,"And, for my name of George begins with G,"
81405,81406,Richard III,6.0,1.1.62,CLARENCE,It follows in his thought that I am he.
81406,81407,Richard III,6.0,1.1.63,CLARENCE,"These, as I learn, and such like toys as these"
81407,81408,Richard III,6.0,1.1.64,CLARENCE,Have moved his highness to commit me now.
81408,81409,Richard III,7.0,1.1.65,GLOUCESTER,"Why, this it is, when men are ruled by women:"
81409,81410,Richard III,7.0,1.1.66,GLOUCESTER,'Tis not the king that sends you to the Tower:
81410,81411,Richard III,7.0,1.1.67,GLOUCESTER,"My Lady Grey his wife, Clarence, 'tis she"
81411,81412,Richard III,7.0,1.1.68,GLOUCESTER,That tempers him to this extremity.
81412,81413,Richard III,7.0,1.1.69,GLOUCESTER,"Was it not she and that good man of worship,"
81413,81414,Richard III,7.0,1.1.70,GLOUCESTER,"Anthony Woodville, her brother there,"
81414,81415,Richard III,7.0,1.1.71,GLOUCESTER,"That made him send Lord Hastings to the Tower,"
81415,81416,Richard III,7.0,1.1.72,GLOUCESTER,From whence this present day he is deliver'd?
81416,81417,Richard III,7.0,1.1.73,GLOUCESTER,"We are not safe, Clarence, we are not safe."
81417,81418,Richard III,8.0,1.1.74,CLARENCE,"By heaven, I think there's no man is secure"
81418,81419,Richard III,8.0,1.1.75,CLARENCE,But the queen's kindred and night-walking heralds
81419,81420,Richard III,8.0,1.1.76,CLARENCE,That trudge betwixt the king and Mistress Shore.
81420,81421,Richard III,8.0,1.1.77,CLARENCE,Heard ye not what an humble suppliant
81421,81422,Richard III,8.0,1.1.78,CLARENCE,Lord hastings was to her for his delivery?
81422,81423,Richard III,9.0,1.1.79,GLOUCESTER,Humbly complaining to her deity
81423,81424,Richard III,9.0,1.1.80,GLOUCESTER,Got my lord chamberlain his liberty.
81424,81425,Richard III,9.0,1.1.81,GLOUCESTER,"I'll tell you what, I think it is our way,"
81425,81426,Richard III,9.0,1.1.82,GLOUCESTER,"If we will keep in favour with the king,"
81426,81427,Richard III,9.0,1.1.83,GLOUCESTER,To be her men and wear her livery:
81427,81428,Richard III,9.0,1.1.84,GLOUCESTER,"The jealous o'erworn widow and herself,"
81428,81429,Richard III,9.0,1.1.85,GLOUCESTER,Since that our brother dubb'd them gentlewomen.
81429,81430,Richard III,9.0,1.1.86,GLOUCESTER,Are mighty gossips in this monarchy.
81430,81431,Richard III,10.0,1.1.87,BRAKENBURY,"I beseech your graces both to pardon me,"
81431,81432,Richard III,10.0,1.1.88,BRAKENBURY,His majesty hath straitly given in charge
81432,81433,Richard III,10.0,1.1.89,BRAKENBURY,"That no man shall have private conference,"
81433,81434,Richard III,10.0,1.1.90,BRAKENBURY,"Of what degree soever, with his brother."
81434,81435,Richard III,11.0,1.1.91,GLOUCESTER,"Even so, an't please your worship, Brakenbury,"
81435,81436,Richard III,11.0,1.1.92,GLOUCESTER,You may partake of any thing we say:
81436,81437,Richard III,11.0,1.1.93,GLOUCESTER,"We speak no treason, man: we say the king"
81437,81438,Richard III,11.0,1.1.94,GLOUCESTER,"Is wise and virtuous, and his noble queen"
81438,81439,Richard III,11.0,1.1.95,GLOUCESTER,"Well struck in years, fair, and not jealous,"
81439,81440,Richard III,11.0,1.1.96,GLOUCESTER,"We say that Shore's wife hath a pretty foot,"
81440,81441,Richard III,11.0,1.1.97,GLOUCESTER,"A cherry lip, a bonny eye, a passing pleasing tongue,"
81441,81442,Richard III,11.0,1.1.98,GLOUCESTER,And that the queen's kindred are made gentle-folks:
81442,81443,Richard III,11.0,1.1.99,GLOUCESTER,How say you sir? Can you deny all this?
81443,81444,Richard III,12.0,1.1.100,BRAKENBURY,"With this, my lord, myself have nought to do."
81444,81445,Richard III,13.0,1.1.101,GLOUCESTER,"Naught to do with mistress Shore! I tell thee, fellow,"
