,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
85281,85282,Romeo and Juliet,7.0,,RICHMOND,ACT I
85282,85283,Romeo and Juliet,7.0,,RICHMOND,PROLOGUE
85283,85284,Romeo and Juliet,7.0,1.0.1,RICHMOND,"Two households, both alike in dignity,"
85284,85285,Romeo and Juliet,7.0,1.0.2,RICHMOND,"In fair Verona, where we lay our scene,"
85285,85286,Romeo and Juliet,7.0,1.0.3,RICHMOND,"From ancient grudge break to new mutiny,"
85286,85287,Romeo and Juliet,7.0,1.0.4,RICHMOND,Where civil blood makes civil hands unclean.
85287,85288,Romeo and Juliet,7.0,1.0.5,RICHMOND,From forth the fatal loins of these two foes
85288,85289,Romeo and Juliet,7.0,1.0.6,RICHMOND,"A pair of star-cross'd lovers take their life,"
85289,85290,Romeo and Juliet,7.0,1.0.7,RICHMOND,Whose misadventured piteous overthrows
85290,85291,Romeo and Juliet,7.0,1.0.8,RICHMOND,Do with their death bury their parents' strife.
85291,85292,Romeo and Juliet,7.0,1.0.9,RICHMOND,"The fearful passage of their death-mark'd love,"
85292,85293,Romeo and Juliet,7.0,1.0.10,RICHMOND,"And the continuance of their parents' rage,"
85293,85294,Romeo and Juliet,7.0,1.0.11,RICHMOND,"Which, but their children's end, nought could remove,"
85294,85295,Romeo and Juliet,7.0,1.0.12,RICHMOND,"Is now the two hours' traffic of our stage,"
85295,85296,Romeo and Juliet,7.0,1.0.13,RICHMOND,"The which if you with patient ears attend,"
85296,85297,Romeo and Juliet,7.0,1.0.14,RICHMOND,"What here shall miss, our toil shall strive to mend."
85297,85298,Romeo and Juliet,7.0,1.0.14,RICHMOND,SCENE I. Verona. A public place.
85298,85299,Romeo and Juliet,7.0,,RICHMOND,"Enter SAMPSON and GREGORY, of the house of Capulet, armed with swords and bucklers"
85299,85300,Romeo and Juliet,1.0,1.1.1,SAMPSON,"Gregory, o' my word, we'll not carry coals."
85300,85301,Romeo and Juliet,2.0,1.1.2,GREGORY,"No, for then we should be colliers."
85301,85302,Romeo and Juliet,3.0,1.1.3,SAMPSON,"I mean, an we be in choler, we'll draw."
85302,85303,Romeo and Juliet,4.0,1.1.4,GREGORY,"Ay, while you live, draw your neck out o' the collar."
85303,85304,Romeo and Juliet,5.0,1.1.5,SAMPSON,"I strike quickly, being moved."
85304,85305,Romeo and Juliet,6.0,1.1.6,GREGORY,But thou art not quickly moved to strike.
85305,85306,Romeo and Juliet,7.0,1.1.7,SAMPSON,A dog of the house of Montague moves me.
85306,85307,Romeo and Juliet,8.0,1.1.8,GREGORY,"To move is to stir, and to be valiant is to stand:"
85307,85308,Romeo and Juliet,8.0,1.1.9,GREGORY,"therefore, if thou art moved, thou runn'st away."
85308,85309,Romeo and Juliet,9.0,1.1.10,SAMPSON,A dog of that house shall move me to stand: I will
85309,85310,Romeo and Juliet,9.0,1.1.11,SAMPSON,take the wall of any man or maid of Montague's.
85310,85311,Romeo and Juliet,10.0,1.1.12,GREGORY,"That shows thee a weak slave, for the weakest goes"
