,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
88594,88595,Taming of the Shrew,65.0,,PRINCE,SCENE I. Before an alehouse on a heath.
88595,88596,Taming of the Shrew,65.0,,PRINCE,Enter Hostess and SLY
88596,88597,Taming of the Shrew,1.0,0.1.1,SLY,"I'll pheeze you, in faith."
88597,88598,Taming of the Shrew,2.0,0.1.2,Hostess,"A pair of stocks, you rogue!"
88598,88599,Taming of the Shrew,3.0,0.1.3,SLY,"Ye are a baggage: the Slys are no rogues, look in"
88599,88600,Taming of the Shrew,3.0,0.1.4,SLY,"the chronicles, we came in with Richard Conqueror."
88600,88601,Taming of the Shrew,3.0,0.1.5,SLY,"Therefore paucas pallabris, let the world slide: sessa!"
88601,88602,Taming of the Shrew,4.0,0.1.6,Hostess,You will not pay for the glasses you have burst?
88602,88603,Taming of the Shrew,5.0,0.1.7,SLY,"No, not a denier. Go by, Jeronimy: go to thy cold"
88603,88604,Taming of the Shrew,5.0,0.1.8,SLY,"bed, and warm thee."
88604,88605,Taming of the Shrew,6.0,0.1.9,Hostess,"I know my remedy, I must go fetch the"
88605,88606,Taming of the Shrew,6.0,0.1.10,Hostess,third--borough.
88606,88607,Taming of the Shrew,6.0,,Hostess,Exit
88607,88608,Taming of the Shrew,7.0,0.1.11,SLY,"Third, or fourth, or fifth borough, I'll answer him"
88608,88609,Taming of the Shrew,7.0,0.1.12,SLY,"by law: I'll not budge an inch, boy: let him come,"
88609,88610,Taming of the Shrew,7.0,0.1.13,SLY,and kindly.
88610,88611,Taming of the Shrew,7.0,,SLY,Falls asleep
88611,88612,Taming of the Shrew,7.0,,SLY,"Horns winded. Enter a Lord from hunting, with his train"
88612,88613,Taming of the Shrew,8.0,0.1.14,Lord,"Huntsman, I charge thee, tender well my hounds:"
88613,88614,Taming of the Shrew,8.0,0.1.15,Lord,"Brach Merriman, the poor cur is emboss'd,"
88614,88615,Taming of the Shrew,8.0,0.1.16,Lord,And couple Clowder with the deep--mouth'd brach.
88615,88616,Taming of the Shrew,8.0,0.1.17,Lord,"Saw'st thou not, boy, how Silver made it good"
88616,88617,Taming of the Shrew,8.0,0.1.18,Lord,"At the hedge-corner, in the coldest fault?"
88617,88618,Taming of the Shrew,8.0,0.1.19,Lord,I would not lose the dog for twenty pound.
88618,88619,Taming of the Shrew,9.0,0.1.20,First Huntsman,"Why, Belman is as good as he, my lord,"
88619,88620,Taming of the Shrew,9.0,0.1.21,First Huntsman,He cried upon it at the merest loss
88620,88621,Taming of the Shrew,9.0,0.1.22,First Huntsman,And twice to-day pick'd out the dullest scent:
88621,88622,Taming of the Shrew,9.0,0.1.23,First Huntsman,"Trust me, I take him for the better dog."
88622,88623,Taming of the Shrew,10.0,0.1.24,Lord,"Thou art a fool: if Echo were as fleet,"
88623,88624,Taming of the Shrew,10.0,0.1.25,Lord,I would esteem him worth a dozen such.
88624,88625,Taming of the Shrew,10.0,0.1.26,Lord,But sup them well and look unto them all:
88625,88626,Taming of the Shrew,10.0,0.1.27,Lord,To-morrow I intend to hunt again.
88626,88627,Taming of the Shrew,11.0,0.1.28,First Huntsman,"I will, my lord."
88627,88628,Taming of the Shrew,12.0,0.1.29,Lord,"What's here? one dead, or drunk? See, doth he breathe?"
88628,88629,Taming of the Shrew,13.0,0.1.30,Second Huntsman,"He breathes, my lord. Were he not warm'd with ale,"
88629,88630,Taming of the Shrew,13.0,0.1.31,Second Huntsman,This were a bed but cold to sleep so soundly.
88630,88631,Taming of the Shrew,14.0,0.1.32,Lord,O monstrous beast! how like a swine he lies!
