,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
91400,91401,The Tempest,93.0,,LUCENTIO,ACT I
91401,91402,The Tempest,93.0,,LUCENTIO,SCENE I. On a ship at sea: a tempestuous noise
91402,91403,The Tempest,93.0,1.1.1,LUCENTIO,of thunder and lightning heard.
91403,91404,The Tempest,93.0,,LUCENTIO,Enter a Master and a Boatswain
91404,91405,The Tempest,1.0,1.1.2,Master,Boatswain!
91405,91406,The Tempest,2.0,1.1.3,Boatswain,"Here, master: what cheer?"
91406,91407,The Tempest,3.0,1.1.4,Master,"Good, speak to the mariners: fall to't, yarely,"
91407,91408,The Tempest,3.0,1.1.5,Master,"or we run ourselves aground: bestir, bestir."
91408,91409,The Tempest,3.0,,Master,Exit
91409,91410,The Tempest,3.0,,Master,Enter Mariners
91410,91411,The Tempest,4.0,1.1.6,Boatswain,"Heigh, my hearts! cheerly, cheerly, my hearts!"
91411,91412,The Tempest,4.0,1.1.7,Boatswain,"yare, yare! Take in the topsail. Tend to the"
91412,91413,The Tempest,4.0,1.1.8,Boatswain,"master's whistle. Blow, till thou burst thy wind,"
91413,91414,The Tempest,4.0,1.1.9,Boatswain,if room enough!
91414,91415,The Tempest,4.0,,Boatswain,"Enter ALONSO, SEBASTIAN, ANTONIO, FERDINAND, GONZALO, and others"
91415,91416,The Tempest,5.0,1.1.10,ALONSO,"Good boatswain, have care. Where's the master?"
91416,91417,The Tempest,5.0,1.1.11,ALONSO,Play the men.
91417,91418,The Tempest,6.0,1.1.12,Boatswain,"I pray now, keep below."
91418,91419,The Tempest,7.0,1.1.13,ANTONIO,"Where is the master, boatswain?"
91419,91420,The Tempest,8.0,1.1.14,Boatswain,Do you not hear him? You mar our labour: keep your
91420,91421,The Tempest,8.0,1.1.15,Boatswain,cabins: you do assist the storm.
91421,91422,The Tempest,9.0,1.1.16,GONZALO,"Nay, good, be patient."
91422,91423,The Tempest,10.0,1.1.17,Boatswain,When the sea is. Hence! What cares these roarers
91423,91424,The Tempest,10.0,1.1.18,Boatswain,for the name of king? To cabin: silence! trouble us not.
