,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
93803,93804,Timon of Athens,78.0,5.1.383,PROSPERO,ACT I
93804,93805,Timon of Athens,78.0,5.1.383,PROSPERO,SCENE I. Athens. A hall in Timon's house.
93805,93806,Timon of Athens,78.0,,PROSPERO,"Enter Poet, Painter, Jeweller, Merchant, and others, at several doors"
93806,93807,Timon of Athens,1.0,1.1.1,Poet,"Good day, sir."
93807,93808,Timon of Athens,2.0,1.1.2,Painter,I am glad you're well.
93808,93809,Timon of Athens,3.0,1.1.3,Poet,I have not seen you long: how goes the world?
93809,93810,Timon of Athens,4.0,1.1.4,Painter,"It wears, sir, as it grows."
93810,93811,Timon of Athens,5.0,1.1.5,Poet,"Ay, that's well known:"
93811,93812,Timon of Athens,5.0,1.1.6,Poet,"But what particular rarity? what strange,"
93812,93813,Timon of Athens,5.0,1.1.7,Poet,"Which manifold record not matches? See,"
93813,93814,Timon of Athens,5.0,1.1.8,Poet,Magic of bounty! all these spirits thy power
93814,93815,Timon of Athens,5.0,1.1.9,Poet,Hath conjured to attend. I know the merchant.
93815,93816,Timon of Athens,6.0,1.1.10,Painter,"I know them both, th' other's a jeweller."
93816,93817,Timon of Athens,7.0,1.1.11,Merchant,"O, 'tis a worthy lord."
93817,93818,Timon of Athens,8.0,1.1.12,Jeweller,"Nay, that's most fix'd."
93818,93819,Timon of Athens,9.0,1.1.13,Merchant,"A most incomparable man, breathed, as it were,"
93819,93820,Timon of Athens,9.0,1.1.14,Merchant,To an untirable and continuate goodness:
93820,93821,Timon of Athens,9.0,1.1.15,Merchant,He passes.
93821,93822,Timon of Athens,9.0,1.1.16,Merchant,Jeweller:	I have a jewel here--
93822,93823,Timon of Athens,10.0,1.1.17,Merchant,"O, pray, let's see't: for the Lord Timon, sir?"
93823,93824,Timon of Athens,10.0,1.1.18,Merchant,"Jeweller:	If he will touch the estimate: but, for that--"
93824,93825,Timon of Athens,11.0,1.1.19,Poet,[Reciting to himself]  'When we for recompense have
93825,93826,Timon of Athens,11.0,1.1.20,Poet,"praised the vile,"
93826,93827,Timon of Athens,11.0,1.1.21,Poet,It stains the glory in that happy verse
93827,93828,Timon of Athens,11.0,1.1.22,Poet,Which aptly sings the good.'
93828,93829,Timon of Athens,12.0,1.1.23,Merchant,'Tis a good form.
93829,93830,Timon of Athens,12.0,,Merchant,Looking at the jewel
93830,93831,Timon of Athens,13.0,1.1.24,Jeweller,"And rich: here is a water, look ye."
93831,93832,Timon of Athens,14.0,1.1.25,Painter,"You are rapt, sir, in some work, some dedication"
93832,93833,Timon of Athens,14.0,1.1.26,Painter,To the great lord.
93833,93834,Timon of Athens,15.0,1.1.27,Poet,A thing slipp'd idly from me.
93834,93835,Timon of Athens,15.0,1.1.28,Poet,"Our poesy is as a gum, which oozes"
93835,93836,Timon of Athens,15.0,1.1.29,Poet,From whence 'tis nourish'd: the fire i' the flint
93836,93837,Timon of Athens,15.0,1.1.30,Poet,"Shows not till it be struck, our gentle flame"
93837,93838,Timon of Athens,15.0,1.1.31,Poet,Provokes itself and like the current flies
93838,93839,Timon of Athens,15.0,1.1.32,Poet,Each bound it chafes. What have you there?
93839,93840,Timon of Athens,16.0,1.1.33,Painter,"A picture, sir. When comes your book forth?"
93840,93841,Timon of Athens,17.0,1.1.34,Poet,"Upon the heels of my presentment, sir."
93841,93842,Timon of Athens,17.0,1.1.35,Poet,Let's see your piece.
93842,93843,Timon of Athens,18.0,1.1.36,Painter,'Tis a good piece.
93843,93844,Timon of Athens,19.0,1.1.37,Poet,So 'tis: this comes off well and excellent.
93844,93845,Timon of Athens,20.0,1.1.38,Painter,Indifferent.
93845,93846,Timon of Athens,21.0,1.1.39,Poet,Admirable: how this grace
93846,93847,Timon of Athens,21.0,1.1.40,Poet,Speaks his own standing! what a mental power
93847,93848,Timon of Athens,21.0,1.1.41,Poet,This eye shoots forth! how big imagination
93848,93849,Timon of Athens,21.0,1.1.42,Poet,Moves in this lip! to the dumbness of the gesture
93849,93850,Timon of Athens,21.0,1.1.43,Poet,One might interpret.
93850,93851,Timon of Athens,22.0,1.1.44,Painter,It is a pretty mocking of the life.
93851,93852,Timon of Athens,22.0,1.1.45,Painter,"Here is a touch, is't good?"
93852,93853,Timon of Athens,23.0,1.1.46,Poet,"I will say of it,"
93853,93854,Timon of Athens,23.0,1.1.47,Poet,It tutors nature: artificial strife
93854,93855,Timon of Athens,23.0,1.1.48,Poet,"Lives in these touches, livelier than life."
93855,93856,Timon of Athens,23.0,,Poet,"Enter certain Senators, and pass over"
