,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
96465,96466,Titus Andronicus,14.0,,ALCIBIADES,ACT I
96466,96467,Titus Andronicus,14.0,,ALCIBIADES,SCENE I. Rome. Before the Capitol.
96467,96468,Titus Andronicus,14.0,,ALCIBIADES,"The Tomb of the ANDRONICI appearing, the Tribunes  and Senators aloft. Enter, below, from one side,  SATURNINUS and his Followers, and, from the other side, BASSIANUS and his Followers, with drum and colours"
96468,96469,Titus Andronicus,1.0,1.1.1,SATURNINUS,"Noble patricians, patrons of my right,"
96469,96470,Titus Andronicus,1.0,1.1.2,SATURNINUS,"Defend the justice of my cause with arms,"
96470,96471,Titus Andronicus,1.0,1.1.3,SATURNINUS,"And, countrymen, my loving followers,"
96471,96472,Titus Andronicus,1.0,1.1.4,SATURNINUS,Plead my successive title with your swords:
96472,96473,Titus Andronicus,1.0,1.1.5,SATURNINUS,"I am his first-born son, that was the last"
96473,96474,Titus Andronicus,1.0,1.1.6,SATURNINUS,"That wore the imperial diadem of Rome,"
96474,96475,Titus Andronicus,1.0,1.1.7,SATURNINUS,"Then let my father's honours live in me,"
96475,96476,Titus Andronicus,1.0,1.1.8,SATURNINUS,Nor wrong mine age with this indignity.
96476,96477,Titus Andronicus,2.0,1.1.9,BASSIANUS,"Romans, friends, followers, favorers of my right,"
96477,96478,Titus Andronicus,2.0,1.1.10,BASSIANUS,"If ever Bassianus, Caesar's son,"
96478,96479,Titus Andronicus,2.0,1.1.11,BASSIANUS,"Were gracious in the eyes of royal Rome,"
96479,96480,Titus Andronicus,2.0,1.1.12,BASSIANUS,Keep then this passage to the Capitol
96480,96481,Titus Andronicus,2.0,1.1.13,BASSIANUS,And suffer not dishonour to approach
96481,96482,Titus Andronicus,2.0,1.1.14,BASSIANUS,"The imperial seat, to virtue consecrate,"
96482,96483,Titus Andronicus,2.0,1.1.15,BASSIANUS,"To justice, continence and nobility,"
96483,96484,Titus Andronicus,2.0,1.1.16,BASSIANUS,"But let desert in pure election shine,"
96484,96485,Titus Andronicus,2.0,1.1.17,BASSIANUS,"And, Romans, fight for freedom in your choice."
96485,96486,Titus Andronicus,2.0,,BASSIANUS,"Enter MARCUS ANDRONICUS, aloft, with the crown"
96486,96487,Titus Andronicus,3.0,1.1.18,MARCUS ANDRONICUS,"Princes, that strive by factions and by friends"
96487,96488,Titus Andronicus,3.0,1.1.19,MARCUS ANDRONICUS,"Ambitiously for rule and empery,"
96488,96489,Titus Andronicus,3.0,1.1.20,MARCUS ANDRONICUS,"Know that the people of Rome, for whom we stand"
96489,96490,Titus Andronicus,3.0,1.1.21,MARCUS ANDRONICUS,"A special party, have, by common voice,"
96490,96491,Titus Andronicus,3.0,1.1.22,MARCUS ANDRONICUS,"In election for the Roman empery,"
96491,96492,Titus Andronicus,3.0,1.1.23,MARCUS ANDRONICUS,"Chosen Andronicus, surnamed Pius"
96492,96493,Titus Andronicus,3.0,1.1.24,MARCUS ANDRONICUS,For many good and great deserts to Rome:
96493,96494,Titus Andronicus,3.0,1.1.25,MARCUS ANDRONICUS,"A nobler man, a braver warrior,"
96494,96495,Titus Andronicus,3.0,1.1.26,MARCUS ANDRONICUS,Lives not this day within the city walls:
96495,96496,Titus Andronicus,3.0,1.1.27,MARCUS ANDRONICUS,He by the senate is accit'd home
96496,96497,Titus Andronicus,3.0,1.1.28,MARCUS ANDRONICUS,"From weary wars against the barbarous Goths,"
96497,96498,Titus Andronicus,3.0,1.1.29,MARCUS ANDRONICUS,"That, with his sons, a terror to our foes,"
96498,96499,Titus Andronicus,3.0,1.1.30,MARCUS ANDRONICUS,"Hath yoked a nation strong, train'd up in arms."
96499,96500,Titus Andronicus,3.0,1.1.31,MARCUS ANDRONICUS,Ten years are spent since first he undertook
