,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
99191,99192,Troilus and Cressida,43.0,,LUCIUS,ACT I
99192,99193,Troilus and Cressida,43.0,,LUCIUS,PROLOGUE
99193,99194,Troilus and Cressida,43.0,1.0.1,LUCIUS,"In Troy, there lies the scene. From isles of Greece"
99194,99195,Troilus and Cressida,43.0,1.0.2,LUCIUS,"The princes orgulous, their high blood chafed,"
99195,99196,Troilus and Cressida,43.0,1.0.3,LUCIUS,"Have to the port of Athens sent their ships,"
99196,99197,Troilus and Cressida,43.0,1.0.4,LUCIUS,Fraught with the ministers and instruments
99197,99198,Troilus and Cressida,43.0,1.0.5,LUCIUS,"Of cruel war: sixty and nine, that wore"
99198,99199,Troilus and Cressida,43.0,1.0.6,LUCIUS,"Their crownets regal, from the Athenian bay"
99199,99200,Troilus and Cressida,43.0,1.0.7,LUCIUS,"Put forth toward Phrygia, and their vow is made"
99200,99201,Troilus and Cressida,43.0,1.0.8,LUCIUS,"To ransack Troy, within whose strong immures"
99201,99202,Troilus and Cressida,43.0,1.0.9,LUCIUS,"The ravish'd Helen, Menelaus' queen,"
99202,99203,Troilus and Cressida,43.0,1.0.10,LUCIUS,"With wanton Paris sleeps, and that's the quarrel."
99203,99204,Troilus and Cressida,43.0,1.0.11,LUCIUS,"To Tenedos they come,"
99204,99205,Troilus and Cressida,43.0,1.0.12,LUCIUS,And the deep-drawing barks do there disgorge
99205,99206,Troilus and Cressida,43.0,1.0.13,LUCIUS,Their warlike fraughtage: now on Dardan plains
99206,99207,Troilus and Cressida,43.0,1.0.14,LUCIUS,The fresh and yet unbruised Greeks do pitch
99207,99208,Troilus and Cressida,43.0,1.0.15,LUCIUS,"Their brave pavilions: Priam's six-gated city,"
99208,99209,Troilus and Cressida,43.0,1.0.16,LUCIUS,"Dardan, and Tymbria, Helias, Chetas, Troien,"
99209,99210,Troilus and Cressida,43.0,1.0.17,LUCIUS,"And Antenorides, with massy staples"
99210,99211,Troilus and Cressida,43.0,1.0.18,LUCIUS,"And corresponsive and fulfilling bolts,"
99211,99212,Troilus and Cressida,43.0,1.0.19,LUCIUS,Sperr up the sons of Troy.
99212,99213,Troilus and Cressida,43.0,1.0.20,LUCIUS,"Now expectation, tickling skittish spirits,"
99213,99214,Troilus and Cressida,43.0,1.0.21,LUCIUS,"On one and other side, Trojan and Greek,"
99214,99215,Troilus and Cressida,43.0,1.0.22,LUCIUS,Sets all on hazard: and hither am I come
99215,99216,Troilus and Cressida,43.0,1.0.23,LUCIUS,"A prologue arm'd, but not in confidence"
99216,99217,Troilus and Cressida,43.0,1.0.24,LUCIUS,"Of author's pen or actor's voice, but suited"
99217,99218,Troilus and Cressida,43.0,1.0.25,LUCIUS,"In like conditions as our argument,"
99218,99219,Troilus and Cressida,43.0,1.0.26,LUCIUS,"To tell you, fair beholders, that our play"
99219,99220,Troilus and Cressida,43.0,1.0.27,LUCIUS,"Leaps o'er the vaunt and firstlings of those broils,"
99220,99221,Troilus and Cressida,43.0,1.0.28,LUCIUS,"Beginning in the middle, starting thence away"
99221,99222,Troilus and Cressida,43.0,1.0.29,LUCIUS,To what may be digested in a play.
99222,99223,Troilus and Cressida,43.0,1.0.30,LUCIUS,"Like or find fault, do as your pleasures are:"
99223,99224,Troilus and Cressida,43.0,1.0.31,LUCIUS,"Now good or bad, 'tis but the chance of war."
99224,99225,Troilus and Cressida,43.0,1.0.31,LUCIUS,SCENE I. Troy. Before Priam's palace.
99225,99226,Troilus and Cressida,43.0,,LUCIUS,"Enter TROILUS armed, and PANDARUS"
99226,99227,Troilus and Cressida,1.0,1.1.1,TROILUS,"Call here my varlet, I'll unarm again:"
99227,99228,Troilus and Cressida,1.0,1.1.2,TROILUS,"Why should I war without the walls of Troy,"
99228,99229,Troilus and Cressida,1.0,1.1.3,TROILUS,That find such cruel battle here within?
99229,99230,Troilus and Cressida,1.0,1.1.4,TROILUS,"Each Trojan that is master of his heart,"
99230,99231,Troilus and Cressida,1.0,1.1.5,TROILUS,"Let him to field, Troilus, alas! hath none."
99231,99232,Troilus and Cressida,2.0,1.1.6,PANDARUS,Will this gear ne'er be mended?
99232,99233,Troilus and Cressida,3.0,1.1.7,TROILUS,"The Greeks are strong and skilful to their strength,"
99233,99234,Troilus and Cressida,3.0,1.1.8,TROILUS,"Fierce to their skill and to their fierceness valiant,"
99234,99235,Troilus and Cressida,3.0,1.1.9,TROILUS,"But I am weaker than a woman's tear,"
99235,99236,Troilus and Cressida,3.0,1.1.10,TROILUS,"Tamer than sleep, fonder than ignorance,"
99236,99237,Troilus and Cressida,3.0,1.1.11,TROILUS,Less valiant than the virgin in the night
99237,99238,Troilus and Cressida,3.0,1.1.12,TROILUS,And skilless as unpractised infancy.
99238,99239,Troilus and Cressida,4.0,1.1.13,PANDARUS,"Well, I have told you enough of this: for my part,"
99239,99240,Troilus and Cressida,4.0,1.1.14,PANDARUS,I'll not meddle nor make no further. He that will
99240,99241,Troilus and Cressida,4.0,1.1.15,PANDARUS,have a cake out of the wheat must needs tarry the grinding.
99241,99242,Troilus and Cressida,5.0,1.1.16,TROILUS,Have I not tarried?
99242,99243,Troilus and Cressida,6.0,1.1.17,PANDARUS,"Ay, the grinding, but you must tarry"
99243,99244,Troilus and Cressida,6.0,1.1.18,PANDARUS,the bolting.
99244,99245,Troilus and Cressida,7.0,1.1.19,TROILUS,Have I not tarried?
99245,99246,Troilus and Cressida,8.0,1.1.20,PANDARUS,"Ay, the bolting, but you must tarry the leavening."
99246,99247,Troilus and Cressida,9.0,1.1.21,TROILUS,Still have I tarried.
99247,99248,Troilus and Cressida,10.0,1.1.22,PANDARUS,"Ay, to the leavening, but here's yet in the word"
99248,99249,Troilus and Cressida,10.0,1.1.23,PANDARUS,"'hereafter' the kneading, the making of the cake, the"
99249,99250,Troilus and Cressida,10.0,1.1.24,PANDARUS,"heating of the oven and the baking, nay, you must"
99250,99251,Troilus and Cressida,10.0,1.1.25,PANDARUS,"stay the cooling too, or you may chance to burn your lips."
99251,99252,Troilus and Cressida,11.0,1.1.26,TROILUS,"Patience herself, what goddess e'er she be,"
99252,99253,Troilus and Cressida,11.0,1.1.27,TROILUS,Doth lesser blench at sufferance than I do.
99253,99254,Troilus and Cressida,11.0,1.1.28,TROILUS,"At Priam's royal table do I sit,"
99254,99255,Troilus and Cressida,11.0,1.1.29,TROILUS,"And when fair Cressid comes into my thoughts,--"
99255,99256,Troilus and Cressida,11.0,1.1.30,TROILUS,"So, traitor! 'When she comes!' When is she thence?"
99256,99257,Troilus and Cressida,12.0,1.1.31,PANDARUS,"Well, she looked yesternight fairer than ever I saw"
99257,99258,Troilus and Cressida,12.0,1.1.32,PANDARUS,"her look, or any woman else."
99258,99259,Troilus and Cressida,13.0,1.1.33,TROILUS,"I was about to tell thee:--when my heart,"
99259,99260,Troilus and Cressida,13.0,1.1.34,TROILUS,"As wedged with a sigh, would rive in twain,"
99260,99261,Troilus and Cressida,13.0,1.1.35,TROILUS,"Lest Hector or my father should perceive me,"
99261,99262,Troilus and Cressida,13.0,1.1.36,TROILUS,"I have, as when the sun doth light a storm,"
99262,99263,Troilus and Cressida,13.0,1.1.37,TROILUS,Buried this sigh in wrinkle of a smile:
99263,99264,Troilus and Cressida,13.0,1.1.38,TROILUS,"But sorrow, that is couch'd in seeming gladness,"
99264,99265,Troilus and Cressida,13.0,1.1.39,TROILUS,Is like that mirth fate turns to sudden sadness.
99265,99266,Troilus and Cressida,14.0,1.1.40,PANDARUS,An her hair were not somewhat darker than Helen's--
99266,99267,Troilus and Cressida,14.0,1.1.41,PANDARUS,"well, go to--there were no more comparison between"
99267,99268,Troilus and Cressida,14.0,1.1.42,PANDARUS,"the women: but, for my part, she is my kinswoman, I"
99268,99269,Troilus and Cressida,14.0,1.1.43,PANDARUS,"would not, as they term it, praise her: but I would"
99269,99270,Troilus and Cressida,14.0,1.1.44,PANDARUS,"somebody had heard her talk yesterday, as I did. I"
99270,99271,Troilus and Cressida,14.0,1.1.45,PANDARUS,"will not dispraise your sister Cassandra's wit, but--"
99271,99272,Troilus and Cressida,15.0,1.1.46,TROILUS,"O Pandarus! I tell thee, Pandarus,--"
99272,99273,Troilus and Cressida,15.0,1.1.47,TROILUS,"When I do tell thee, there my hopes lie drown'd,"
99273,99274,Troilus and Cressida,15.0,1.1.48,TROILUS,Reply not in how many fathoms deep
99274,99275,Troilus and Cressida,15.0,1.1.49,TROILUS,They lie indrench'd. I tell thee I am mad
99275,99276,Troilus and Cressida,15.0,1.1.50,TROILUS,"In Cressid's love: thou answer'st 'she is fair,'"
99276,99277,Troilus and Cressida,15.0,1.1.51,TROILUS,Pour'st in the open ulcer of my heart
99277,99278,Troilus and Cressida,15.0,1.1.52,TROILUS,"Her eyes, her hair, her cheek, her gait, her voice,"
99278,99279,Troilus and Cressida,15.0,1.1.53,TROILUS,"Handlest in thy discourse, O, that her hand,"
99279,99280,Troilus and Cressida,15.0,1.1.54,TROILUS,"In whose comparison all whites are ink,"
99280,99281,Troilus and Cressida,15.0,1.1.55,TROILUS,"Writing their own reproach, to whose soft seizure"
99281,99282,Troilus and Cressida,15.0,1.1.56,TROILUS,The cygnet's down is harsh and spirit of sense
99282,99283,Troilus and Cressida,15.0,1.1.57,TROILUS,"Hard as the palm of ploughman: this thou tell'st me,"
99283,99284,Troilus and Cressida,15.0,1.1.58,TROILUS,"As true thou tell'st me, when I say I love her,"
99284,99285,Troilus and Cressida,15.0,1.1.59,TROILUS,"But, saying thus, instead of oil and balm,"
99285,99286,Troilus and Cressida,15.0,1.1.60,TROILUS,Thou lay'st in every gash that love hath given me
99286,99287,Troilus and Cressida,15.0,1.1.61,TROILUS,The knife that made it.
99287,99288,Troilus and Cressida,16.0,1.1.62,PANDARUS,I speak no more than truth.
99288,99289,Troilus and Cressida,17.0,1.1.63,TROILUS,Thou dost not speak so much.
99289,99290,Troilus and Cressida,18.0,1.1.64,PANDARUS,"Faith, I'll not meddle in't. Let her be as she is:"
99290,99291,Troilus and Cressida,18.0,1.1.65,PANDARUS,"if she be fair, 'tis the better for her, an she be"
99291,99292,Troilus and Cressida,18.0,1.1.66,PANDARUS,"not, she has the mends in her own hands."
99292,99293,Troilus and Cressida,19.0,1.1.67,TROILUS,"Good Pandarus, how now, Pandarus!"
99293,99294,Troilus and Cressida,20.0,1.1.68,PANDARUS,"I have had my labour for my travail, ill-thought on of"
99294,99295,Troilus and Cressida,20.0,1.1.69,PANDARUS,"her and ill-thought on of you, gone between and"
99295,99296,Troilus and Cressida,20.0,1.1.70,PANDARUS,"between, but small thanks for my labour."
99296,99297,Troilus and Cressida,21.0,1.1.71,TROILUS,"What, art thou angry, Pandarus? what, with me?"
99297,99298,Troilus and Cressida,22.0,1.1.72,PANDARUS,"Because she's kin to me, therefore she's not so fair"
99298,99299,Troilus and Cressida,22.0,1.1.73,PANDARUS,"as Helen: an she were not kin to me, she would be as"
99299,99300,Troilus and Cressida,22.0,1.1.74,PANDARUS,fair on Friday as Helen is on Sunday. But what care
99300,99301,Troilus and Cressida,22.0,1.1.75,PANDARUS,"I? I care not an she were a black-a-moor, 'tis all one to me."
99301,99302,Troilus and Cressida,23.0,1.1.76,TROILUS,Say I she is not fair?
99302,99303,Troilus and Cressida,24.0,1.1.77,PANDARUS,I do not care whether you do or no. She's a fool to
99303,99304,Troilus and Cressida,24.0,1.1.78,PANDARUS,"stay behind her father, let her to the Greeks, and so"
99304,99305,Troilus and Cressida,24.0,1.1.79,PANDARUS,"I'll tell her the next time I see her: for my part,"
99305,99306,Troilus and Cressida,24.0,1.1.80,PANDARUS,I'll meddle nor make no more i' the matter.
99306,99307,Troilus and Cressida,25.0,1.1.81,TROILUS,"Pandarus,--"
99307,99308,Troilus and Cressida,26.0,1.1.82,PANDARUS,Not I.
99308,99309,Troilus and Cressida,27.0,1.1.83,TROILUS,"Sweet Pandarus,--"
99309,99310,Troilus and Cressida,28.0,1.1.84,PANDARUS,"Pray you, speak no more to me: I will leave all as I"
99310,99311,Troilus and Cressida,28.0,1.1.85,PANDARUS,"found it, and there an end."
99311,99312,Troilus and Cressida,28.0,,PANDARUS,Exit PANDARUS. An alarum
99312,99313,Troilus and Cressida,29.0,1.1.86,TROILUS,"Peace, you ungracious clamours! peace, rude sounds!"
99313,99314,Troilus and Cressida,29.0,1.1.87,TROILUS,"Fools on both sides! Helen must needs be fair,"
99314,99315,Troilus and Cressida,29.0,1.1.88,TROILUS,When with your blood you daily paint her thus.
99315,99316,Troilus and Cressida,29.0,1.1.89,TROILUS,"I cannot fight upon this argument,"
99316,99317,Troilus and Cressida,29.0,1.1.90,TROILUS,It is too starved a subject for my sword.
99317,99318,Troilus and Cressida,29.0,1.1.91,TROILUS,"But Pandarus,--O gods, how do you plague me!"
99318,99319,Troilus and Cressida,29.0,1.1.92,TROILUS,"I cannot come to Cressid but by Pandar,"
99319,99320,Troilus and Cressida,29.0,1.1.93,TROILUS,And he's as tetchy to be woo'd to woo.
99320,99321,Troilus and Cressida,29.0,1.1.94,TROILUS,As she is stubborn-chaste against all suit.
99321,99322,Troilus and Cressida,29.0,1.1.95,TROILUS,"Tell me, Apollo, for thy Daphne's love,"
99322,99323,Troilus and Cressida,29.0,1.1.96,TROILUS,"What Cressid is, what Pandar, and what we?"
99323,99324,Troilus and Cressida,29.0,1.1.97,TROILUS,"Her bed is India, there she lies, a pearl:"
99324,99325,Troilus and Cressida,29.0,1.1.98,TROILUS,"Between our Ilium and where she resides,"
99325,99326,Troilus and Cressida,29.0,1.1.99,TROILUS,"Let it be call'd the wild and wandering flood,"
99326,99327,Troilus and Cressida,29.0,1.1.100,TROILUS,"Ourself the merchant, and this sailing Pandar"
99327,99328,Troilus and Cressida,29.0,1.1.101,TROILUS,"Our doubtful hope, our convoy and our bark."
99328,99329,Troilus and Cressida,29.0,,TROILUS,Alarum. Enter AENEAS
99329,99330,Troilus and Cressida,30.0,1.1.102,AENEAS,"How now, Prince Troilus! wherefore not afield?"
99330,99331,Troilus and Cressida,31.0,1.1.103,TROILUS,"Because not there: this woman's answer sorts,"
99331,99332,Troilus and Cressida,31.0,1.1.104,TROILUS,For womanish it is to be from thence.
99332,99333,Troilus and Cressida,31.0,1.1.105,TROILUS,"What news, AEneas, from the field to-day?"
99333,99334,Troilus and Cressida,32.0,1.1.106,AENEAS,That Paris is returned home and hurt.
99334,99335,Troilus and Cressida,33.0,1.1.107,TROILUS,"By whom, AEneas?"
99335,99336,Troilus and Cressida,34.0,1.1.108,AENEAS,"Troilus, by Menelaus."
99336,99337,Troilus and Cressida,35.0,1.1.109,TROILUS,"Let Paris bleed, 'tis but a scar to scorn,"
99337,99338,Troilus and Cressida,35.0,1.1.110,TROILUS,Paris is gored with Menelaus' horn.
99338,99339,Troilus and Cressida,35.0,,TROILUS,Alarum
99339,99340,Troilus and Cressida,36.0,1.1.111,AENEAS,"Hark, what good sport is out of town to-day!"
99340,99341,Troilus and Cressida,37.0,1.1.112,TROILUS,"Better at home, if 'would I might' were 'may.'"
99341,99342,Troilus and Cressida,37.0,1.1.113,TROILUS,But to the sport abroad: are you bound thither?
99342,99343,Troilus and Cressida,38.0,1.1.114,AENEAS,In all swift haste.
99343,99344,Troilus and Cressida,39.0,1.1.115,TROILUS,"Come, go we then together."
99344,99345,Troilus and Cressida,39.0,,TROILUS,Exeunt
99345,99346,Troilus and Cressida,39.0,,TROILUS,SCENE II. The Same. A street.
99346,99347,Troilus and Cressida,39.0,,TROILUS,Enter CRESSIDA and ALEXANDER
99347,99348,Troilus and Cressida,1.0,1.2.1,CRESSIDA,Who were those went by?
99348,99349,Troilus and Cressida,2.0,1.2.2,ALEXANDER,Queen Hecuba and Helen.
99349,99350,Troilus and Cressida,3.0,1.2.3,CRESSIDA,And whither go they?
99350,99351,Troilus and Cressida,4.0,1.2.4,ALEXANDER,"Up to the eastern tower,"
99351,99352,Troilus and Cressida,4.0,1.2.5,ALEXANDER,"Whose height commands as subject all the vale,"
99352,99353,Troilus and Cressida,4.0,1.2.6,ALEXANDER,"To see the battle. Hector, whose patience"
99353,99354,Troilus and Cressida,4.0,1.2.7,ALEXANDER,"Is, as a virtue, fix'd, to-day was moved:"
99354,99355,Troilus and Cressida,4.0,1.2.8,ALEXANDER,"He chid Andromache and struck his armourer,"
99355,99356,Troilus and Cressida,4.0,1.2.9,ALEXANDER,"And, like as there were husbandry in war,"
99356,99357,Troilus and Cressida,4.0,1.2.10,ALEXANDER,"Before the sun rose he was harness'd light,"
99357,99358,Troilus and Cressida,4.0,1.2.11,ALEXANDER,"And to the field goes he, where every flower"
99358,99359,Troilus and Cressida,4.0,1.2.12,ALEXANDER,"Did, as a prophet, weep what it foresaw"
99359,99360,Troilus and Cressida,4.0,1.2.13,ALEXANDER,In Hector's wrath.
99360,99361,Troilus and Cressida,5.0,1.2.14,CRESSIDA,What was his cause of anger?
99361,99362,Troilus and Cressida,6.0,1.2.15,ALEXANDER,"The noise goes, this: there is among the Greeks"
99362,99363,Troilus and Cressida,6.0,1.2.16,ALEXANDER,"A lord of Trojan blood, nephew to Hector,"
99363,99364,Troilus and Cressida,6.0,1.2.17,ALEXANDER,They call him Ajax.
99364,99365,Troilus and Cressida,7.0,1.2.18,CRESSIDA,"Good, and what of him?"
99365,99366,Troilus and Cressida,8.0,1.2.19,ALEXANDER,"They say he is a very man per se,"
99366,99367,Troilus and Cressida,8.0,1.2.20,ALEXANDER,And stands alone.
99367,99368,Troilus and Cressida,9.0,1.2.21,CRESSIDA,"So do all men, unless they are drunk, sick, or have no legs."
99368,99369,Troilus and Cressida,10.0,1.2.22,ALEXANDER,"This man, lady, hath robbed many beasts of their"
99369,99370,Troilus and Cressida,10.0,1.2.23,ALEXANDER,"particular additions, he is as valiant as the lion,"
99370,99371,Troilus and Cressida,10.0,1.2.24,ALEXANDER,"churlish as the bear, slow as the elephant: a man"
99371,99372,Troilus and Cressida,10.0,1.2.25,ALEXANDER,into whom nature hath so crowded humours that his
99372,99373,Troilus and Cressida,10.0,1.2.26,ALEXANDER,"valour is crushed into folly, his folly sauced with"
99373,99374,Troilus and Cressida,10.0,1.2.27,ALEXANDER,discretion: there is no man hath a virtue that he
99374,99375,Troilus and Cressida,10.0,1.2.28,ALEXANDER,"hath not a glimpse of, nor any man an attaint but he"
99375,99376,Troilus and Cressida,10.0,1.2.29,ALEXANDER,carries some stain of it: he is melancholy without
99376,99377,Troilus and Cressida,10.0,1.2.30,ALEXANDER,"cause, and merry against the hair: he hath the"
99377,99378,Troilus and Cressida,10.0,1.2.31,ALEXANDER,"joints of every thing, but everything so out of joint"
99378,99379,Troilus and Cressida,10.0,1.2.32,ALEXANDER,"that he is a gouty Briareus, many hands and no use,"
99379,99380,Troilus and Cressida,10.0,1.2.33,ALEXANDER,"or purblind Argus, all eyes and no sight."
99380,99381,Troilus and Cressida,11.0,1.2.34,CRESSIDA,"But how should this man, that makes"
99381,99382,Troilus and Cressida,11.0,1.2.35,CRESSIDA,"me smile, make Hector angry?"
99382,99383,Troilus and Cressida,12.0,1.2.36,ALEXANDER,They say he yesterday coped Hector in the battle and
99383,99384,Troilus and Cressida,12.0,1.2.37,ALEXANDER,"struck him down, the disdain and shame whereof hath"
99384,99385,Troilus and Cressida,12.0,1.2.38,ALEXANDER,ever since kept Hector fasting and waking.
99385,99386,Troilus and Cressida,13.0,1.2.39,CRESSIDA,Who comes here?
99386,99387,Troilus and Cressida,14.0,1.2.40,ALEXANDER,"Madam, your uncle Pandarus."
99387,99388,Troilus and Cressida,14.0,,ALEXANDER,Enter PANDARUS
99388,99389,Troilus and Cressida,15.0,1.2.41,CRESSIDA,Hector's a gallant man.
99389,99390,Troilus and Cressida,16.0,1.2.42,ALEXANDER,"As may be in the world, lady."
99390,99391,Troilus and Cressida,17.0,1.2.43,PANDARUS,What's that? what's that?
99391,99392,Troilus and Cressida,18.0,1.2.44,CRESSIDA,"Good morrow, uncle Pandarus."
99392,99393,Troilus and Cressida,19.0,1.2.45,PANDARUS,"Good morrow, cousin Cressid: what do you talk of?"
99393,99394,Troilus and Cressida,19.0,1.2.46,PANDARUS,"Good morrow, Alexander. How do you, cousin? When"
99394,99395,Troilus and Cressida,19.0,1.2.47,PANDARUS,were you at Ilium?
99395,99396,Troilus and Cressida,20.0,1.2.48,CRESSIDA,"This morning, uncle."
99396,99397,Troilus and Cressida,21.0,1.2.49,PANDARUS,What were you talking of when I came? Was Hector
99397,99398,Troilus and Cressida,21.0,1.2.50,PANDARUS,armed and gone ere ye came to Ilium? Helen was not
99398,99399,Troilus and Cressida,21.0,1.2.51,PANDARUS,"up, was she?"
99399,99400,Troilus and Cressida,22.0,1.2.52,CRESSIDA,"Hector was gone, but Helen was not up."
99400,99401,Troilus and Cressida,23.0,1.2.53,PANDARUS,Even so: Hector was stirring early.
99401,99402,Troilus and Cressida,24.0,1.2.54,CRESSIDA,"That were we talking of, and of his anger."
99402,99403,Troilus and Cressida,25.0,1.2.55,PANDARUS,Was he angry?
99403,99404,Troilus and Cressida,26.0,1.2.56,CRESSIDA,So he says here.
99404,99405,Troilus and Cressida,27.0,1.2.57,PANDARUS,"True, he was so: I know the cause too: he'll lay"
99405,99406,Troilus and Cressida,27.0,1.2.58,PANDARUS,"about him to-day, I can tell them that: and there's"
99406,99407,Troilus and Cressida,27.0,1.2.59,PANDARUS,Troilus will not come far behind him: let them take
99407,99408,Troilus and Cressida,27.0,1.2.60,PANDARUS,"heed of Troilus, I can tell them that too."
99408,99409,Troilus and Cressida,28.0,1.2.61,CRESSIDA,"What, is he angry too?"
99409,99410,Troilus and Cressida,29.0,1.2.62,PANDARUS,"Who, Troilus? Troilus is the better man of the two."
99410,99411,Troilus and Cressida,30.0,1.2.63,CRESSIDA,O Jupiter! there's no comparison.
99411,99412,Troilus and Cressida,31.0,1.2.64,PANDARUS,"What, not between Troilus and Hector? Do you know a"
99412,99413,Troilus and Cressida,31.0,1.2.65,PANDARUS,man if you see him?
99413,99414,Troilus and Cressida,32.0,1.2.66,CRESSIDA,"Ay, if I ever saw him before and knew him."
99414,99415,Troilus and Cressida,33.0,1.2.67,PANDARUS,"Well, I say Troilus is Troilus."
99415,99416,Troilus and Cressida,34.0,1.2.68,CRESSIDA,"Then you say as I say, for, I am sure, he is not Hector."
99416,99417,Troilus and Cressida,35.0,1.2.69,PANDARUS,"No, nor Hector is not Troilus in some degrees."
99417,99418,Troilus and Cressida,36.0,1.2.70,CRESSIDA,"'Tis just to each of them, he is himself."
99418,99419,Troilus and Cressida,37.0,1.2.71,PANDARUS,"Himself! Alas, poor Troilus! I would he were."
99419,99420,Troilus and Cressida,38.0,1.2.72,CRESSIDA,So he is.
99420,99421,Troilus and Cressida,39.0,1.2.73,PANDARUS,"Condition, I had gone barefoot to India."
99421,99422,Troilus and Cressida,40.0,1.2.74,CRESSIDA,He is not Hector.
99422,99423,Troilus and Cressida,41.0,1.2.75,PANDARUS,"Himself! no, he's not himself: would a' were"
99423,99424,Troilus and Cressida,41.0,1.2.76,PANDARUS,"himself! Well, the gods are above, time must friend"
