,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
105550,105551,Two Gentlemen of Verona,127.0,,Clown,ACT I
105551,105552,Two Gentlemen of Verona,127.0,,Clown,SCENE I. Verona. An open place.
105552,105553,Two Gentlemen of Verona,127.0,,Clown,Enter VALENTINE and PROTEUS
105553,105554,Two Gentlemen of Verona,1.0,1.1.1,VALENTINE,"Cease to persuade, my loving Proteus:"
105554,105555,Two Gentlemen of Verona,1.0,1.1.2,VALENTINE,Home-keeping youth have ever homely wits.
105555,105556,Two Gentlemen of Verona,1.0,1.1.3,VALENTINE,Were't not affection chains thy tender days
105556,105557,Two Gentlemen of Verona,1.0,1.1.4,VALENTINE,"To the sweet glances of thy honour'd love,"
105557,105558,Two Gentlemen of Verona,1.0,1.1.5,VALENTINE,I rather would entreat thy company
105558,105559,Two Gentlemen of Verona,1.0,1.1.6,VALENTINE,"To see the wonders of the world abroad,"
105559,105560,Two Gentlemen of Verona,1.0,1.1.7,VALENTINE,"Than, living dully sluggardized at home,"
105560,105561,Two Gentlemen of Verona,1.0,1.1.8,VALENTINE,Wear out thy youth with shapeless idleness.
105561,105562,Two Gentlemen of Verona,1.0,1.1.9,VALENTINE,"But since thou lovest, love still and thrive therein,"
105562,105563,Two Gentlemen of Verona,1.0,1.1.10,VALENTINE,Even as I would when I to love begin.
105563,105564,Two Gentlemen of Verona,2.0,1.1.11,PROTEUS,"Wilt thou be gone? Sweet Valentine, adieu!"
105564,105565,Two Gentlemen of Verona,2.0,1.1.12,PROTEUS,"Think on thy Proteus, when thou haply seest"
105565,105566,Two Gentlemen of Verona,2.0,1.1.13,PROTEUS,Some rare note-worthy object in thy travel:
105566,105567,Two Gentlemen of Verona,2.0,1.1.14,PROTEUS,Wish me partaker in thy happiness
105567,105568,Two Gentlemen of Verona,2.0,1.1.15,PROTEUS,"When thou dost meet good hap, and in thy danger,"
105568,105569,Two Gentlemen of Verona,2.0,1.1.16,PROTEUS,"If ever danger do environ thee,"
105569,105570,Two Gentlemen of Verona,2.0,1.1.17,PROTEUS,"Commend thy grievance to my holy prayers,"
