,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
55779,55780,macbeth,405.0,,ADRIANO DE ARMADO,ACT I
55780,55781,macbeth,405.0,,ADRIANO DE ARMADO,SCENE I. A desert place.
55781,55782,macbeth,405.0,,ADRIANO DE ARMADO,Thunder and lightning. Enter three Witches
55782,55783,macbeth,1.0,1.1.1,First Witch,When shall we three meet again
55783,55784,macbeth,1.0,1.1.2,First Witch,"In thunder, lightning, or in rain?"
55784,55785,macbeth,2.0,1.1.3,Second Witch,"When the hurlyburly's done,"
55785,55786,macbeth,2.0,1.1.4,Second Witch,When the battle's lost and won.
55786,55787,macbeth,3.0,1.1.5,Third Witch,That will be ere the set of sun.
55787,55788,macbeth,4.0,1.1.6,First Witch,Where the place?
55788,55789,macbeth,5.0,1.1.7,Second Witch,Upon the heath.
55789,55790,macbeth,6.0,1.1.8,Third Witch,There to meet with Macbeth.
55790,55791,macbeth,7.0,1.1.9,First Witch,"I come, Graymalkin!"
55791,55792,macbeth,8.0,1.1.10,Second Witch,Paddock calls.
55792,55793,macbeth,9.0,1.1.11,Third Witch,Anon.
55793,55794,macbeth,10.0,1.1.12,ALL,"Fair is foul, and foul is fair:"
55794,55795,macbeth,10.0,1.1.13,ALL,Hover through the fog and filthy air.
55795,55796,macbeth,10.0,,ALL,Exeunt
55796,55797,macbeth,10.0,,ALL,SCENE II. A camp near Forres.
55797,55798,macbeth,10.0,,ALL,"Alarum within. Enter DUNCAN, MALCOLM, DONALBAIN, LENNOX, with Attendants, meeting a bleeding Sergeant"
55798,55799,macbeth,1.0,1.2.1,DUNCAN,"What bloody man is that? He can report,"
55799,55800,macbeth,1.0,1.2.2,DUNCAN,"As seemeth by his plight, of the revolt"
55800,55801,macbeth,1.0,1.2.3,DUNCAN,The newest state.
55801,55802,macbeth,2.0,1.2.4,MALCOLM,This is the sergeant
55802,55803,macbeth,2.0,1.2.5,MALCOLM,Who like a good and hardy soldier fought
55803,55804,macbeth,2.0,1.2.6,MALCOLM,"'Gainst my captivity. Hail, brave friend!"
55804,55805,macbeth,2.0,1.2.7,MALCOLM,Say to the king the knowledge of the broil
55805,55806,macbeth,2.0,1.2.8,MALCOLM,As thou didst leave it.
55806,55807,macbeth,3.0,1.2.9,Sergeant,"Doubtful it stood,"
55807,55808,macbeth,3.0,1.2.10,Sergeant,"As two spent swimmers, that do cling together"
55808,55809,macbeth,3.0,1.2.11,Sergeant,And choke their art. The merciless Macdonwald--
55809,55810,macbeth,3.0,1.2.12,Sergeant,"Worthy to be a rebel, for to that"
55810,55811,macbeth,3.0,1.2.13,Sergeant,The multiplying villanies of nature
55811,55812,macbeth,3.0,1.2.14,Sergeant,Do swarm upon him--from the western isles
55812,55813,macbeth,3.0,1.2.15,Sergeant,"Of kerns and gallowglasses is supplied,"
55813,55814,macbeth,3.0,1.2.16,Sergeant,"And fortune, on his damned quarrel smiling,"
55814,55815,macbeth,3.0,1.2.17,Sergeant,Show'd like a rebel's whore: but all's too weak:
